"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
5311,"TN23DR","E01024843","9E891067-C8B1-2C71-E053-A03BA40A7146","Playing Field",50294.452349999,127.349915,10,326654,49.4516129032258,"Less than or equal to 300m",225.227937387097,29955.9295241925,8.96774193548387,273621.225806452,4039.68455163286,"TN2 3DR","TN2","3DR","TN23DR"
5312,"TN23JB","E01024841","9E89103D-D33F-2C71-E053-A03BA40A7146","Public Park Or Garden",5212.31160000382,66.70832,6,257549,42.3695652173913,"Less than or equal to 300m",143.632329478261,50739.8159967423,7.15217391304348,284473.043478261,1006.09201312793,"TN2 3JB","TN2","3JB","TN23JB"
5313,"TN23UN","E01024839","9E891067-C8B1-2C71-E053-A03BA40A7146","Playing Field",50294.452349999,332.88586,3,60069,26.0361445783133,"300-600m",441.668164686747,35849.2357801203,4.08433734939759,122980.771084337,4039.68455163286,"TN2 3UN","TN2","3UN","TN23UN"
5314,"TN23XH","E01024843","9E891067-C8B1-2C71-E053-A03BA40A7146","Playing Field",50294.452349999,162.80664,11,342479,49.4516129032258,"Less than or equal to 300m",225.227937387097,29955.9295241925,8.96774193548387,273621.225806452,4039.68455163286,"TN2 3XH","TN2","3XH","TN23XH"
5315,"TN25QR","E01024817","9E89103F-9725-2C71-E053-A03BA40A7146","Public Park Or Garden",21217.6293500049,635.81525,6,215803,40.0227272727273,"600-900m",511.276729090909,31783.9071306838,6.38636363636364,223394.75,3212.33302145883,"TN2 5QR","TN2","5QR","TN25QR"
10597,"TN23LA","E01024841","9E891067-C65A-2C71-E053-A03BA40A7146","Playing Field",37982.4123500029,162.78821,9,418376,42.3695652173913,"Less than or equal to 300m",143.632329478261,50739.8159967423,7.15217391304348,284473.043478261,1015.32205563885,"TN2 3LA","TN2","3LA","TN23LA"
10598,"TN25HQ","E01024824","9E891067-F964-2C71-E053-A03BA40A7146","Playing Field",78077.4001000012,390.84012,6,316528,44.2631578947368,"300-600m",170.027055210526,78592.6829368424,5.94736842105263,342252.157894737,1860.17248488453,"TN2 5HQ","TN2","5HQ","TN25HQ"
15074,"TN23QS","E01024821","9E8910ED-FC7C-2C71-E053-A03BA40A7146","Public Park Or Garden",157547.569199985,372.69962,6,345747,38.7627118644068,"300-600m",178.708676779661,110840.969498302,6.64406779661017,352137,2982.79679301422,"TN2 3QS","TN2","3QS","TN23QS"
15075,"TN23TY","E01024841","9E891067-CD4C-2C71-E053-A03BA40A7146","Playing Field",4563.16354999994,74.20242,7,258343,42.3695652173913,"Less than or equal to 300m",143.632329478261,50739.8159967423,7.15217391304348,284473.043478261,1082.40483909787,"TN2 3TY","TN2","3TY","TN23TY"
19037,"TN23RE","E01024823","9E8911BC-2A27-2C71-E053-A03BA40A7146","Public Park Or Garden",76287.2790000071,471.87393,7,449163,22.6904761904762,"300-600m",252.814752547619,68973.459091077,7.08333333333333,360740.535714286,3625.29831997175,"TN2 3RE","TN2","3RE","TN23RE"
19038,"TN23SZ","E01024841","9E891067-C652-2C71-E053-A03BA40A7146","Public Park Or Garden",143510.849100007,134.62912,8,250749,42.3695652173913,"Less than or equal to 300m",143.632329478261,50739.8159967423,7.15217391304348,284473.043478261,6475.51819043571,"TN2 3SZ","TN2","3SZ","TN23SZ"
19039,"TN23TL","E01024840","9E891067-CD4C-2C71-E053-A03BA40A7146","Playing Field",4563.16354999994,183.89671,7,248263,55.4054054054054,"Less than or equal to 300m",122.67366327027,57899.9390905404,8.56756756756757,269386.297297297,1082.40483909787,"TN2 3TL","TN2","3TL","TN23TL"
22355,"TN23LP","E01024842","9E8910ED-FC7C-2C71-E053-A03BA40A7146","Public Park Or Garden",157547.569199985,414.7445,6,364802,36.0652173913044,"300-600m",310.147570304348,84439.5012608619,5.10869565217391,285329.043478261,2982.79679301422,"TN2 3LP","TN2","3LP","TN23LP"
25256,"TN24EH","E01024827","9E891068-1E7D-2C71-E053-A03BA40A7146","Playing Field",25715.6630000042,778.8485,1,25715,48.8387096774193,"600-900m",683.928188709677,25715.6630000042,1.32258064516129,31628.8709677419,4337.28385899815,"TN2 4EH","TN2","4EH","TN24EH"
27809,"TN23RG","E01024823","9E8911BC-2A27-2C71-E053-A03BA40A7146","Public Park Or Garden",76287.2790000071,458.41574,7,449163,22.6904761904762,"300-600m",252.814752547619,68973.459091077,7.08333333333333,360740.535714286,3625.29831997175,"TN2 3RG","TN2","3RG","TN23RG"
27810,"TN23TT","E01024841","9E891067-CD4C-2C71-E053-A03BA40A7146","Playing Field",4563.16354999994,175.41095,7,258343,42.3695652173913,"Less than or equal to 300m",143.632329478261,50739.8159967423,7.15217391304348,284473.043478261,1082.40483909787,"TN2 3TT","TN2","3TT","TN23TT"
30083,"TN23RH","E01024821","9E8911BC-2A27-2C71-E053-A03BA40A7146","Public Park Or Garden",76287.2790000071,233.00215,8,359959,38.7627118644068,"Less than or equal to 300m",178.708676779661,110840.969498302,6.64406779661017,352137,3625.29831997175,"TN2 3RH","TN2","3RH","TN23RH"
33654,"TN24HX","E01024826","9E891068-1E7D-2C71-E053-A03BA40A7146","Playing Field",25715.6630000042,524.49023,3,62381,44.2727272727273,"300-600m",326.880615424243,25715.6630000042,2.6969696969697,54772.9393939394,4337.28385899815,"TN2 4HX","TN2","4HX","TN24HX"
40255,"TN23RY","E01024832","9E891067-C652-2C71-E053-A03BA40A7146","Public Park Or Garden",143510.849100007,302.00165,5,346089,60.2413793103448,"300-600m",264.025049344828,23161.437818966,5.82758620689655,419024.275862069,6475.51819043571,"TN2 3RY","TN2","3RY","TN23RY"
40983,"TN24LT","E01024826","9E891068-1E7D-2C71-E053-A03BA40A7146","Playing Field",25715.6630000042,272.24988,3,62381,44.2727272727273,"Less than or equal to 300m",326.880615424243,25715.6630000042,2.6969696969697,54772.9393939394,4337.28385899815,"TN2 4LT","TN2","4LT","TN24LT"
51546,"TN23RF","E01024834","9E891067-C652-2C71-E053-A03BA40A7146","Public Park Or Garden",143510.849100007,56.400356,10,269971,53.6888888888889,"Less than or equal to 300m",146.835318422222,78573.4063988929,7.42222222222222,370212.911111111,6475.51819043571,"TN2 3RF","TN2","3RF","TN23RF"
51547,"TN23SA","E01024832","9E891067-C652-2C71-E053-A03BA40A7146","Public Park Or Garden",143510.849100007,256.86768,5,346089,60.2413793103448,"Less than or equal to 300m",264.025049344828,23161.437818966,5.82758620689655,419024.275862069,6475.51819043571,"TN2 3SA","TN2","3SA","TN23SA"
51548,"TN23SJ","E01024834","9E891067-C652-2C71-E053-A03BA40A7146","Public Park Or Garden",143510.849100007,101.00495,9,408296,53.6888888888889,"Less than or equal to 300m",146.835318422222,78573.4063988929,7.42222222222222,370212.911111111,6475.51819043571,"TN2 3SJ","TN2","3SJ","TN23SJ"
51549,"TN24UU","E01024821","9E8910ED-FC7C-2C71-E053-A03BA40A7146","Public Park Or Garden",157547.569199985,233.33452,6,348494,38.7627118644068,"Less than or equal to 300m",178.708676779661,110840.969498302,6.64406779661017,352137,2982.79679301422,"TN2 4UU","TN2","4UU","TN24UU"
56734,"TN25LA","E01024817","9E89103F-9725-2C71-E053-A03BA40A7146","Public Park Or Garden",21217.6293500049,715.3216,7,205055,40.0227272727273,"600-900m",511.276729090909,31783.9071306838,6.38636363636364,223394.75,3212.33302145883,"TN2 5LA","TN2","5LA","TN25LA"
61133,"TN23AB","E01024840","9E891067-CD4C-2C71-E053-A03BA40A7146","Playing Field",4563.16354999994,249.6898,8,251660,55.4054054054054,"Less than or equal to 300m",122.67366327027,57899.9390905404,8.56756756756757,269386.297297297,1082.40483909787,"TN2 3AB","TN2","3AB","TN23AB"
61134,"TN25DE","E01024820","9E891067-ED80-2C71-E053-A03BA40A7146","Playing Field",10132.1623499997,164.3472,8,414033,38.9777777777778,"Less than or equal to 300m",153.075378666667,31210.5634966685,7.68888888888889,394864.955555555,545.688888888889,"TN2 5DE","TN2","5DE","TN25DE"
61135,"TN25PH","E01024797","9E891068-4251-2C71-E053-A03BA40A7146","Playing Field",84953.906000001,758.716,1,84953,44.7368421052632,"600-900m",821.527507631579,79666.4908644747,1.34210526315789,87263.4473684211,3439.96378198461,"TN2 5PH","TN2","5PH","TN25PH"
65025,"TN24JJ","E01024827","9E891068-1E7D-2C71-E053-A03BA40A7146","Playing Field",25715.6630000042,574.6164,2,52515,48.8387096774193,"300-600m",683.928188709677,25715.6630000042,1.32258064516129,31628.8709677419,4337.28385899815,"TN2 4JJ","TN2","4JJ","TN24JJ"
65026,"TN25DH","E01024820","9E8910ED-FC76-2C71-E053-A03BA40A7146","Playing Field",5232.86425000142,61.073727,8,414033,38.9777777777778,"Less than or equal to 300m",153.075378666667,31210.5634966685,7.68888888888889,394864.955555555,510.890909090909,"TN2 5DH","TN2","5DH","TN25DH"
68358,"TN23ET","E01024842","9E891067-F59D-2C71-E053-A03BA40A7146","Playing Field",15986.5218999936,313.60007,6,364802,36.0652173913044,"300-600m",310.147570304348,84439.5012608619,5.10869565217391,285329.043478261,999.472146972985,"TN2 3ET","TN2","3ET","TN23ET"
71228,"TN23NT","E01024822","9E891067-C652-2C71-E053-A03BA40A7146","Public Park Or Garden",143510.849100007,369.5416,8,417582,28.6285714285714,"300-600m",300.537010467742,138429.859979022,5.06451612903226,363398.322580645,6475.51819043571,"TN2 3NT","TN2","3NT","TN23NT"
73703,"TN23PZ","E01024822","9E8910ED-FC7C-2C71-E053-A03BA40A7146","Public Park Or Garden",157547.569199985,91.214035,5,417813,28.6285714285714,"Less than or equal to 300m",300.537010467742,138429.859979022,5.06451612903226,363398.322580645,2982.79679301422,"TN2 3PZ","TN2","3PZ","TN23PZ"
73704,"TN25LH","E01024818","9E891068-4251-2C71-E053-A03BA40A7146","Playing Field",84953.906000001,429.141,5,176943,38.8695652173913,"300-600m",245.966738934783,72676.4975652167,3.43478260869565,159760.630434783,3439.96378198461,"TN2 5LH","TN2","5LH","TN25LH"
73705,"TN25NN","E01024797","9E891068-4251-2C71-E053-A03BA40A7146","Playing Field",84953.906000001,586.2124,1,84953,44.7368421052632,"300-600m",821.527507631579,79666.4908644747,1.34210526315789,87263.4473684211,3439.96378198461,"TN2 5NN","TN2","5NN","TN25NN"
75915,"TN23QH","E01024842","9E8910ED-FC7C-2C71-E053-A03BA40A7146","Public Park Or Garden",157547.569199985,142.706,4,355027,36.0652173913044,"Less than or equal to 300m",310.147570304348,84439.5012608619,5.10869565217391,285329.043478261,2982.79679301422,"TN2 3QH","TN2","3QH","TN23QH"
77866,"TN25BB","E01024820","9E891067-ED80-2C71-E053-A03BA40A7146","Playing Field",10132.1623499997,192.23424,8,414033,38.9777777777778,"Less than or equal to 300m",153.075378666667,31210.5634966685,7.68888888888889,394864.955555555,545.688888888889,"TN2 5BB","TN2","5BB","TN25BB"
79553,"TN23NG","E01024822","9E8910ED-FC7C-2C71-E053-A03BA40A7146","Public Park Or Garden",157547.569199985,225.85393,4,341526,28.6285714285714,"Less than or equal to 300m",300.537010467742,138429.859979022,5.06451612903226,363398.322580645,2982.79679301422,"TN2 3NG","TN2","3NG","TN23NG"
79554,"TN24RL","E01024842","9E891067-F59D-2C71-E053-A03BA40A7146","Playing Field",15986.5218999936,93.813644,3,25761,36.0652173913044,"Less than or equal to 300m",310.147570304348,84439.5012608619,5.10869565217391,285329.043478261,999.472146972985,"TN2 4RL","TN2","4RL","TN24RL"
82331,"TN23PJ","E01024822","9E891067-C652-2C71-E053-A03BA40A7146","Public Park Or Garden",143510.849100007,379.3178,5,346089,28.6285714285714,"300-600m",300.537010467742,138429.859979022,5.06451612903226,363398.322580645,6475.51819043571,"TN2 3PJ","TN2","3PJ","TN23PJ"
