"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"TN56AA",0.338273,51.06306,7157.767,6813.532,"81B333AB-70C6-33F1-E053-A03BA40A2BEA","2E823D0A-618F-470D-A947-10F0CBE11206","TN5","6AA",51.06319,0.4406993
"TN56AB",0.340359,51.06195,7013.404,6813.532,"81B333AB-70C6-33F1-E053-A03BA40A2BEA","2E823D0A-618F-470D-A947-10F0CBE11206","TN5","6AB",51.06319,0.4406993
"TN56AD",0.340485,51.0619,7004.73,6813.532,"81B333AB-70C6-33F1-E053-A03BA40A2BEA","2E823D0A-618F-470D-A947-10F0CBE11206","TN5","6AD",51.06319,0.4406993
"TN56AE",0.338246,51.06307,7159.653,6813.532,"81B333AB-70C6-33F1-E053-A03BA40A2BEA","2E823D0A-618F-470D-A947-10F0CBE11206","TN5","6AE",51.06319,0.4406993
"TN56AF",0.340438,51.06209,7007.599,6813.532,"81B333AB-70C6-33F1-E053-A03BA40A2BEA","2E823D0A-618F-470D-A947-10F0CBE11206","TN5","6AF",51.06319,0.4406993
"TN56AG",0.339824,51.06209,7050.494,6813.532,"81B333AB-70C6-33F1-E053-A03BA40A2BEA","2E823D0A-618F-470D-A947-10F0CBE11206","TN5","6AG",51.06319,0.4406993
"TN56AH",0.3351,51.06352,7263.772,48077.88,"81B33325-17EA-33F1-E053-A03BA40A2BEA","DB0A016D-0617-424A-ABAD-0EA6E04031B4","TN5","6AH",51.11448,0.2700428
"TN56AJ",0.337999,51.06269,7177.148,6813.532,"81B333AB-70C6-33F1-E053-A03BA40A2BEA","2E823D0A-618F-470D-A947-10F0CBE11206","TN5","6AJ",51.06319,0.4406993
"TN56AL",0.338812,51.0624,7120.678,6813.532,"81B333AB-70C6-33F1-E053-A03BA40A2BEA","2E823D0A-618F-470D-A947-10F0CBE11206","TN5","6AL",51.06319,0.4406993
"TN56AN",0.339102,51.06222,7100.701,6813.532,"81B333AB-70C6-33F1-E053-A03BA40A2BEA","2E823D0A-618F-470D-A947-10F0CBE11206","TN5","6AN",51.06319,0.4406993
"TN56AP",0.340105,51.06174,7031.669,6813.532,"81B333AB-70C6-33F1-E053-A03BA40A2BEA","2E823D0A-618F-470D-A947-10F0CBE11206","TN5","6AP",51.06319,0.4406993
"TN56AQ",0.340465,51.06181,7006.351,6813.532,"81B333AB-70C6-33F1-E053-A03BA40A2BEA","2E823D0A-618F-470D-A947-10F0CBE11206","TN5","6AQ",51.06319,0.4406993
"TN56AR",0.339876,51.06227,7046.531,6813.532,"81B333AB-70C6-33F1-E053-A03BA40A2BEA","2E823D0A-618F-470D-A947-10F0CBE11206","TN5","6AR",51.06319,0.4406993
"TN56AS",0.34025,51.06206,7020.8,6813.532,"81B333AB-70C6-33F1-E053-A03BA40A2BEA","2E823D0A-618F-470D-A947-10F0CBE11206","TN5","6AS",51.06319,0.4406993
"TN56AT",0.341588,51.06144,6928.934,6813.532,"81B333AB-70C6-33F1-E053-A03BA40A2BEA","2E823D0A-618F-470D-A947-10F0CBE11206","TN5","6AT",51.06319,0.4406993
"TN56AU",0.342213,51.06106,6886.618,6813.532,"81B333AB-70C6-33F1-E053-A03BA40A2BEA","2E823D0A-618F-470D-A947-10F0CBE11206","TN5","6AU",51.06319,0.4406993
"TN56AW",0.339656,51.06187,7062.716,6813.532,"81B333AB-70C6-33F1-E053-A03BA40A2BEA","2E823D0A-618F-470D-A947-10F0CBE11206","TN5","6AW",51.06319,0.4406993
"TN56AX",0.342752,51.06073,6850.384,6813.532,"81B333AB-70C6-33F1-E053-A03BA40A2BEA","2E823D0A-618F-470D-A947-10F0CBE11206","TN5","6AX",51.06319,0.4406993
"TN56AY",0.342964,51.06011,6838.702,6813.532,"81B333AB-70C6-33F1-E053-A03BA40A2BEA","2E823D0A-618F-470D-A947-10F0CBE11206","TN5","6AY",51.06319,0.4406993
"TN56AZ",0.340221,51.06035,7028.927,6813.532,"81B333AB-70C6-33F1-E053-A03BA40A2BEA","2E823D0A-618F-470D-A947-10F0CBE11206","TN5","6AZ",51.06319,0.4406993
"TN56BA",0.341649,51.06064,6927.791,6813.532,"81B333AB-70C6-33F1-E053-A03BA40A2BEA","2E823D0A-618F-470D-A947-10F0CBE11206","TN5","6BA",51.06319,0.4406993
"TN56BB",0.342209,51.06017,6891.084,6813.532,"81B333AB-70C6-33F1-E053-A03BA40A2BEA","2E823D0A-618F-470D-A947-10F0CBE11206","TN5","6BB",51.06319,0.4406993
"TN56BD",0.342748,51.05981,6855.57,6813.532,"81B333AB-70C6-33F1-E053-A03BA40A2BEA","2E823D0A-618F-470D-A947-10F0CBE11206","TN5","6BD",51.06319,0.4406993
"TN56BE",0.342392,51.05982,6880.313,6813.532,"81B333AB-70C6-33F1-E053-A03BA40A2BEA","2E823D0A-618F-470D-A947-10F0CBE11206","TN5","6BE",51.06319,0.4406993
"TN56BF",0.328958,51.06571,6807.115,48077.88,"81B33325-17EA-33F1-E053-A03BA40A2BEA","DB0A016D-0617-424A-ABAD-0EA6E04031B4","TN5","6BF",51.11448,0.2700428
"TN56BG",0.343648,51.06009,6791.092,6813.532,"81B333AB-70C6-33F1-E053-A03BA40A2BEA","2E823D0A-618F-470D-A947-10F0CBE11206","TN5","6BG",51.06319,0.4406993
"TN56BH",0.340924,51.06185,6974.17,6813.532,"81B333AB-70C6-33F1-E053-A03BA40A2BEA","2E823D0A-618F-470D-A947-10F0CBE11206","TN5","6BH",51.06319,0.4406993
"TN56BJ",0.340829,51.06195,6980.57,6813.532,"81B333AB-70C6-33F1-E053-A03BA40A2BEA","2E823D0A-618F-470D-A947-10F0CBE11206","TN5","6BJ",51.06319,0.4406993
