"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"TQ88AA",-3.779372,50.23484,459.029,2546.645,"81B332F6-08F0-33F1-E053-A03BA40A2BEA","1D6A8E23-A16F-48BC-A221-19F43B2B24A6","TQ8","8AA",50.23891,-3.778256
"TQ88AB",-3.777889,50.2357,357.5564,2546.645,"81B332F6-08F0-33F1-E053-A03BA40A2BEA","1D6A8E23-A16F-48BC-A221-19F43B2B24A6","TQ8","8AB",50.23891,-3.778256
"TQ88AD",-3.777546,50.23666,255.0179,2546.645,"81B332F6-08F0-33F1-E053-A03BA40A2BEA","1D6A8E23-A16F-48BC-A221-19F43B2B24A6","TQ8","8AD",50.23891,-3.778256
"TQ88AE",-3.777569,50.23776,137.1034,2546.645,"81B332F6-08F0-33F1-E053-A03BA40A2BEA","1D6A8E23-A16F-48BC-A221-19F43B2B24A6","TQ8","8AE",50.23891,-3.778256
"TQ88AF",-3.777393,50.23754,163.7264,2546.645,"81B332F6-08F0-33F1-E053-A03BA40A2BEA","1D6A8E23-A16F-48BC-A221-19F43B2B24A6","TQ8","8AF",50.23891,-3.778256
"TQ88AG",-3.777091,50.23762,165.4662,2546.645,"81B332F6-08F0-33F1-E053-A03BA40A2BEA","1D6A8E23-A16F-48BC-A221-19F43B2B24A6","TQ8","8AG",50.23891,-3.778256
"TQ88AH",-3.77502,50.23772,257.5017,2546.645,"81B332F6-08F0-33F1-E053-A03BA40A2BEA","7E835116-D15F-4AD3-AAE7-C82E4521E763","TQ8","8AH",50.23927,-3.777719
"TQ88AJ",-3.776499,50.23716,230.8921,2546.645,"81B332F6-08F0-33F1-E053-A03BA40A2BEA","1D6A8E23-A16F-48BC-A221-19F43B2B24A6","TQ8","8AJ",50.23891,-3.778256
"TQ88AL",-3.776905,50.23638,296.8628,2546.645,"81B332F6-08F0-33F1-E053-A03BA40A2BEA","1D6A8E23-A16F-48BC-A221-19F43B2B24A6","TQ8","8AL",50.23891,-3.778256
"TQ88AN",-3.77648,50.2355,399.6643,2546.645,"81B332F6-08F0-33F1-E053-A03BA40A2BEA","1D6A8E23-A16F-48BC-A221-19F43B2B24A6","TQ8","8AN",50.23891,-3.778256
"TQ88AP",-3.779252,50.23361,593.2411,2546.645,"81B332F6-08F0-33F1-E053-A03BA40A2BEA","1D6A8E23-A16F-48BC-A221-19F43B2B24A6","TQ8","8AP",50.23891,-3.778256
"TQ88AQ",-3.776107,50.23829,157.8371,2546.645,"81B332F6-08F0-33F1-E053-A03BA40A2BEA","7E835116-D15F-4AD3-AAE7-C82E4521E763","TQ8","8AQ",50.23927,-3.777719
"TQ88AR",-3.776579,50.23336,627.8994,2546.645,"81B332F6-08F0-33F1-E053-A03BA40A2BEA","1D6A8E23-A16F-48BC-A221-19F43B2B24A6","TQ8","8AR",50.23891,-3.778256
