"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"TR210AA",-5.539592,50.11887,192.7383,26099.65,"81B3332F-EC9A-33F1-E053-A03BA40A2BEA","E40880FF-A94F-41C6-ABD5-1411197DAC83","TR21","0AA",50.11726,-5.540618
"TR210AB",-6.283112,49.92254,4313.051,39937.33,"81B3336A-A7D7-33F1-E053-A03BA40A2BEA","F21D0852-8D5A-416D-8A6B-5916F14F684C","TR21","0AB",49.94679,-6.330153
"TR210AD",-6.30552,49.91361,4089.26,39937.33,"81B3336A-A7D7-33F1-E053-A03BA40A2BEA","F21D0852-8D5A-416D-8A6B-5916F14F684C","TR21","0AD",49.94679,-6.330153
"TR210HE",-6.308668,49.91161,4203.64,39937.33,"81B3336A-A7D7-33F1-E053-A03BA40A2BEA","F21D0852-8D5A-416D-8A6B-5916F14F684C","TR21","0HE",49.94679,-6.330153
"TR210HU",-6.317306,49.91763,3370.037,39937.33,"81B3336A-A7D7-33F1-E053-A03BA40A2BEA","F21D0852-8D5A-416D-8A6B-5916F14F684C","TR21","0HU",49.94679,-6.330153
"TR210HW",-6.313018,49.91394,3853.109,39937.33,"81B3336A-A7D7-33F1-E053-A03BA40A2BEA","F21D0852-8D5A-416D-8A6B-5916F14F684C","TR21","0HW",49.94679,-6.330153
"TR210HX",-6.312967,49.91414,3833.202,39937.33,"81B3336A-A7D7-33F1-E053-A03BA40A2BEA","F21D0852-8D5A-416D-8A6B-5916F14F684C","TR21","0HX",49.94679,-6.330153
"TR210HY",-6.317887,49.91586,3549.063,39937.33,"81B3336A-A7D7-33F1-E053-A03BA40A2BEA","F21D0852-8D5A-416D-8A6B-5916F14F684C","TR21","0HY",49.94679,-6.330153
"TR210HZ",-6.317313,49.91474,3680.015,39937.33,"81B3336A-A7D7-33F1-E053-A03BA40A2BEA","F21D0852-8D5A-416D-8A6B-5916F14F684C","TR21","0HZ",49.94679,-6.330153
"TR210JA",-6.321034,49.91538,3553.26,39937.33,"81B3336A-A7D7-33F1-E053-A03BA40A2BEA","F21D0852-8D5A-416D-8A6B-5916F14F684C","TR21","0JA",49.94679,-6.330153
"TR210JB",-6.318393,49.91421,3719.397,39937.33,"81B3336A-A7D7-33F1-E053-A03BA40A2BEA","F21D0852-8D5A-416D-8A6B-5916F14F684C","TR21","0JB",49.94679,-6.330153
