"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
22415,"TR48HW","E01018826","9E891046-2615-2C71-E053-A03BA40A7146","Playing Field",15275.7680500001,411.21405,1,15275,30.8026315789474,"300-600m",737.165199486842,11288.2802493423,1.30263157894737,15368.6052631579,954.881578947369,"TR4 8HW","TR4","8HW","TR48HW"
22416,"TR48UQ","E01018820","9E89106A-6281-2C71-E053-A03BA40A7146","Playing Field",13145.3117000003,123.62848,1,13145,17.7889908256881,"Less than or equal to 300m",401.332237723077,13343.9134538464,1,13343.5846153846,1118.94662218515,"TR4 8UQ","TR4","8UQ","TR48UQ"
32032,"TR48LH","E01018820","9E89106A-6281-2C71-E053-A03BA40A7146","Playing Field",13145.3117000003,678.8527,1,13145,17.7889908256881,"600-900m",401.332237723077,13343.9134538464,1,13343.5846153846,1118.94662218515,"TR4 8LH","TR4","8LH","TR48LH"
39457,"TR49RD","E01018815","9E89106A-0077-2C71-E053-A03BA40A7146","Playing Field",4139.64909999972,279.30807,1,4139,25.8,"Less than or equal to 300m",652.304784047619,4453.06651190444,1,4452.42857142857,1006.2,"TR4 9RD","TR4","9RD","TR49RD"
42207,"TR48HN","E01018826","9E891046-2615-2C71-E053-A03BA40A7146","Playing Field",15275.7680500001,826.7412,1,15275,30.8026315789474,"600-900m",737.165199486842,11288.2802493423,1.30263157894737,15368.6052631579,954.881578947369,"TR4 8HN","TR4","8HN","TR48HN"
42766,"TR49AZ","E01018815","9E89106A-0077-2C71-E053-A03BA40A7146","Playing Field",4139.64909999972,607.20013,1,4139,25.8,"600-900m",652.304784047619,4453.06651190444,1,4452.42857142857,1006.2,"TR4 9AZ","TR4","9AZ","TR49AZ"
43189,"TR48LU","E01018820","9E89106A-6281-2C71-E053-A03BA40A7146","Playing Field",13145.3117000003,474.07172,1,13145,17.7889908256881,"300-600m",401.332237723077,13343.9134538464,1,13343.5846153846,1118.94662218515,"TR4 8LU","TR4","8LU","TR48LU"
44394,"TR49QB","E01018833","9E891037-1ACE-2C71-E053-A03BA40A7146","Playing Field",6228.60620000012,49.25444,1,6228,19.2048192771084,"Less than or equal to 300m",326.69810296875,6228.60620000012,1,6228,614.55421686747,"TR4 9QB","TR4","9QB","TR49QB"
45269,"TR49BU","E01018815","9E89106A-0077-2C71-E053-A03BA40A7146","Playing Field",4139.64909999972,488.88956,1,4139,25.8,"300-600m",652.304784047619,4453.06651190444,1,4452.42857142857,1006.2,"TR4 9BU","TR4","9BU","TR49BU"
45270,"TR49QF","E01018833","9E891037-1ACE-2C71-E053-A03BA40A7146","Playing Field",6228.60620000012,435.19766,1,6228,19.2048192771084,"300-600m",326.69810296875,6228.60620000012,1,6228,614.55421686747,"TR4 9QF","TR4","9QF","TR49QF"
45742,"TR48PD","E01018820","9E89106A-6281-2C71-E053-A03BA40A7146","Playing Field",13145.3117000003,183.09833,1,13145,17.7889908256881,"Less than or equal to 300m",401.332237723077,13343.9134538464,1,13343.5846153846,1118.94662218515,"TR4 8PD","TR4","8PD","TR48PD"
46342,"TR49RL","E01018815","9E89106A-0077-2C71-E053-A03BA40A7146","Playing Field",4139.64909999972,262.90872,1,4139,25.8,"Less than or equal to 300m",652.304784047619,4453.06651190444,1,4452.42857142857,1006.2,"TR4 9RL","TR4","9RL","TR49RL"
61203,"TR48LP","E01018820","9E89106A-6281-2C71-E053-A03BA40A7146","Playing Field",13145.3117000003,15.524175,1,13145,17.7889908256881,"Less than or equal to 300m",401.332237723077,13343.9134538464,1,13343.5846153846,1118.94662218515,"TR4 8LP","TR4","8LP","TR48LP"
61204,"TR48NN","E01018820","9E89106A-6281-2C71-E053-A03BA40A7146","Playing Field",13145.3117000003,150.4726,1,13145,17.7889908256881,"Less than or equal to 300m",401.332237723077,13343.9134538464,1,13343.5846153846,1118.94662218515,"TR4 8NN","TR4","8NN","TR48NN"
90795,"TR48QD","E01018820","9E89106A-6281-2C71-E053-A03BA40A7146","Playing Field",13145.3117000003,511.98145,1,13145,17.7889908256881,"300-600m",401.332237723077,13343.9134538464,1,13343.5846153846,1118.94662218515,"TR4 8QD","TR4","8QD","TR48QD"
91856,"TR48DY","E01018826","9E891036-E94E-2C71-E053-A03BA40A7146","Playing Field",7546.54705000026,311.7082,1,7546,30.8026315789474,"300-600m",737.165199486842,11288.2802493423,1.30263157894737,15368.6052631579,1201.30263157895,"TR4 8DY","TR4","8DY","TR48DY"
103220,"TR48DS","E01018826","9E891036-E94E-2C71-E053-A03BA40A7146","Playing Field",7546.54705000026,182.87975,2,22281,30.8026315789474,"Less than or equal to 300m",737.165199486842,11288.2802493423,1.30263157894737,15368.6052631579,1201.30263157895,"TR4 8DS","TR4","8DS","TR48DS"
107854,"TR49QN","E01018833","9E891037-1ACE-2C71-E053-A03BA40A7146","Playing Field",6228.60620000012,228.2192,1,6228,19.2048192771084,"Less than or equal to 300m",326.69810296875,6228.60620000012,1,6228,614.55421686747,"TR4 9QN","TR4","9QN","TR49QN"
