"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
5444,"TS201DS","E01012260","9E89103E-4407-2C71-E053-A03BA40A7146","Public Park Or Garden",10930.2134500012,129.00388,4,93807,30.5087719298246,"Less than or equal to 300m",252.126136149123,18662.1877157901,4.12280701754386,1013586.98245614,3213.08815707185,"TS20 1DS","TS20","1DS","TS201DS"
10699,"TS202JW","E01012195","9E8910E7-B739-2C71-E053-A03BA40A7146","Playing Field",59899.3837999977,86.127815,4,111135,42.5555555555556,"Less than or equal to 300m",231.918157083333,59899.3837999977,4.27777777777778,671354.722222222,5899.29910161032,"TS20 2JW","TS20","2JW","TS202JW"
15182,"TS201LX","E01012210","9E8910C9-21C9-2C71-E053-A03BA40A7146","Public Park Or Garden",9358.23939999745,315.00635,3,33908,48.6,"300-600m",334.8641962,9777.43247999845,3.06666666666667,838946.8,2635.29603658536,"TS20 1LX","TS20","1LX","TS201LX"
15183,"TS201PD","E01012211","9E8910C9-21C9-2C71-E053-A03BA40A7146","Public Park Or Garden",9358.23939999745,226.43321,3,33908,43.2926829268293,"Less than or equal to 300m",346.13957195122,9664.96604390062,3.51219512195122,263171.731707317,2635.29603658536,"TS20 1PD","TS20","1PD","TS201PD"
15184,"TS202EE","E01012268","9E8910E7-C36D-2C71-E053-A03BA40A7146","Playing Field",85056.4120500005,220.43593,4,1765165,20.4177215189873,"Less than or equal to 300m",339.015709873418,59939.7881499986,4.0126582278481,942566.126582278,1998.82275490252,"TS20 2EE","TS20","2EE","TS202EE"
19120,"TS202BP","E01012268","9E8910E7-C36D-2C71-E053-A03BA40A7146","Playing Field",85056.4120500005,475.9254,4,221694,20.4177215189873,"300-600m",339.015709873418,59939.7881499986,4.0126582278481,942566.126582278,1998.82275490252,"TS20 2BP","TS20","2BP","TS202BP"
22431,"TS201RF","E01012213","9E8910E7-B642-2C71-E053-A03BA40A7146","Playing Field",13619.5889999939,164.64812,4,93807,44.2333333333333,"Less than or equal to 300m",302.757215333333,16704.9086533275,3.23333333333333,119481.133333333,5169.17194240944,"TS20 1RF","TS20","1RF","TS201RF"
22432,"TS202SL","E01012261","9E89103E-4407-2C71-E053-A03BA40A7146","Public Park Or Garden",10930.2134500012,534.2705,5,1714505,39.8333333333333,"300-600m",375.891212055556,896979.115126398,4.83333333333333,1682433.08333333,3213.08815707185,"TS20 2SL","TS20","2SL","TS202SL"
25312,"TS201DT","E01012260","9E89103E-4407-2C71-E053-A03BA40A7146","Public Park Or Garden",10930.2134500012,26,4,93807,30.5087719298246,"Less than or equal to 300m",252.126136149123,18662.1877157901,4.12280701754386,1013586.98245614,3213.08815707185,"TS20 1DT","TS20","1DT","TS201DT"
27861,"TS201EP","E01012192","9E89103E-4407-2C71-E053-A03BA40A7146","Public Park Or Garden",10930.2134500012,316.787,4,93807,37.8205128205128,"300-600m",198.726965692308,24727.6612294841,3.82051282051282,135221.025641026,3213.08815707185,"TS20 1EP","TS20","1EP","TS201EP"
