"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"TS231AA",-1.295329,54.5973,144.8293,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","C21D201E-DE80-4A52-9049-BB04F63E6FA1","TS23","1AA",54.59683,-1.297424
"TS231AB",-1.294335,54.59748,210.6941,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","587EAAFE-A987-4756-8789-BB67FD4B4810","TS23","1AB",54.59636,-1.296963
"TS231AD",-1.289687,54.59509,467.5947,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","9805B282-BC5C-45E0-A45A-6B2367ACDF66","TS23","1AD",54.59424,-1.296796
"TS231AE",-1.29459,54.59704,170.5938,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","587EAAFE-A987-4756-8789-BB67FD4B4810","TS23","1AE",54.59636,-1.296963
"TS231AF",-1.293549,54.5964,219.9848,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","587EAAFE-A987-4756-8789-BB67FD4B4810","TS23","1AF",54.59636,-1.296963
"TS231AG",-1.292818,54.59568,277.4592,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","587EAAFE-A987-4756-8789-BB67FD4B4810","TS23","1AG",54.59636,-1.296963
"TS231AH",-1.292197,54.5967,309.3809,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","587EAAFE-A987-4756-8789-BB67FD4B4810","TS23","1AH",54.59636,-1.296963
"TS231AJ",-1.289738,54.5966,466.1851,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","587EAAFE-A987-4756-8789-BB67FD4B4810","TS23","1AJ",54.59636,-1.296963
"TS231AL",-1.288017,54.59586,578.9618,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","587EAAFE-A987-4756-8789-BB67FD4B4810","TS23","1AL",54.59636,-1.296963
"TS231AN",-1.288864,54.59522,522.45,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","9805B282-BC5C-45E0-A45A-6B2367ACDF66","TS23","1AN",54.59424,-1.296796
"TS231AP",-1.287777,54.59631,591.7814,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","587EAAFE-A987-4756-8789-BB67FD4B4810","TS23","1AP",54.59636,-1.296963
"TS231AQ",-1.292429,54.59581,298.2997,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","587EAAFE-A987-4756-8789-BB67FD4B4810","TS23","1AQ",54.59636,-1.296963
"TS231AR",-1.288449,54.59682,550.893,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","587EAAFE-A987-4756-8789-BB67FD4B4810","TS23","1AR",54.59636,-1.296963
"TS231AS",-1.287935,54.59792,607.1059,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","587EAAFE-A987-4756-8789-BB67FD4B4810","TS23","1AS",54.59636,-1.296963
"TS231AT",-1.287913,54.59826,620.0805,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","587EAAFE-A987-4756-8789-BB67FD4B4810","TS23","1AT",54.59636,-1.296963
"TS231AU",-1.289743,54.59717,473.827,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","587EAAFE-A987-4756-8789-BB67FD4B4810","TS23","1AU",54.59636,-1.296963
"TS231AW",-1.287091,54.5957,640.1327,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","587EAAFE-A987-4756-8789-BB67FD4B4810","TS23","1AW",54.59636,-1.296963
"TS231AX",-1.290194,54.59794,470.1494,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","587EAAFE-A987-4756-8789-BB67FD4B4810","TS23","1AX",54.59636,-1.296963
"TS231AY",-1.291802,54.59808,383.825,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","587EAAFE-A987-4756-8789-BB67FD4B4810","TS23","1AY",54.59636,-1.296963
"TS231AZ",-1.294259,54.59829,260.8591,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","C21D201E-DE80-4A52-9049-BB04F63E6FA1","TS23","1AZ",54.59683,-1.297424
"TS231BA",-1.29319,54.59744,271.3968,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","587EAAFE-A987-4756-8789-BB67FD4B4810","TS23","1BA",54.59636,-1.296963
"TS231BB",-1.290193,54.59621,436.4165,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","587EAAFE-A987-4756-8789-BB67FD4B4810","TS23","1BB",54.59636,-1.296963
"TS231BD",-1.286994,54.59684,644.4319,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","587EAAFE-A987-4756-8789-BB67FD4B4810","TS23","1BD",54.59636,-1.296963
"TS231BE",-1.286051,54.59678,704.5165,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","587EAAFE-A987-4756-8789-BB67FD4B4810","TS23","1BE",54.59636,-1.296963
"TS231BF",-1.283837,54.59497,838.8596,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","9805B282-BC5C-45E0-A45A-6B2367ACDF66","TS23","1BF",54.59424,-1.296796
"TS231BG",-1.285403,54.59751,755.7052,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","587EAAFE-A987-4756-8789-BB67FD4B4810","TS23","1BG",54.59636,-1.296963
"TS231BH",-1.286877,54.59736,659.2443,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","587EAAFE-A987-4756-8789-BB67FD4B4810","TS23","1BH",54.59636,-1.296963
"TS231BJ",-1.291937,54.59118,208.9786,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","19585425-4068-4079-B4F2-43E02791EF11","TS23","1BJ",54.59044,-1.294919
"TS231BL",-1.289965,54.59686,454.2316,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","587EAAFE-A987-4756-8789-BB67FD4B4810","TS23","1BL",54.59636,-1.296963
"TS231BN",-1.292671,54.59346,279.5293,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","9805B282-BC5C-45E0-A45A-6B2367ACDF66","TS23","1BN",54.59424,-1.296796
"TS231BP",-1.291661,54.59371,335.9439,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","9805B282-BC5C-45E0-A45A-6B2367ACDF66","TS23","1BP",54.59424,-1.296796
"TS231BQ",-1.285594,54.59813,758.5805,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","587EAAFE-A987-4756-8789-BB67FD4B4810","TS23","1BQ",54.59636,-1.296963
"TS231BS",-1.291658,54.59299,350.5779,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","9A536C68-B3B4-424A-B4EF-53EF251BCC2C","TS23","1BS",54.59253,-1.297041
"TS231BT",-1.290119,54.59335,441.2631,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","9805B282-BC5C-45E0-A45A-6B2367ACDF66","TS23","1BT",54.59424,-1.296796
"TS231BU",-1.290795,54.59367,391.7119,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","9805B282-BC5C-45E0-A45A-6B2367ACDF66","TS23","1BU",54.59424,-1.296796
"TS231BW",-1.292731,54.59445,262.9325,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","9805B282-BC5C-45E0-A45A-6B2367ACDF66","TS23","1BW",54.59424,-1.296796
"TS231BX",-1.293059,54.59338,258.988,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","9805B282-BC5C-45E0-A45A-6B2367ACDF66","TS23","1BX",54.59424,-1.296796
"TS231BY",-1.29031,54.59126,310.6081,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","19585425-4068-4079-B4F2-43E02791EF11","TS23","1BY",54.59044,-1.294919
"TS231BZ",-1.291724,54.59178,253.7609,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","19585425-4068-4079-B4F2-43E02791EF11","TS23","1BZ",54.59044,-1.294919
"TS231DA",-1.293001,54.5923,240.8977,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","19585425-4068-4079-B4F2-43E02791EF11","TS23","1DA",54.59044,-1.294919
"TS231DB",-1.292442,54.59151,198.7651,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","19585425-4068-4079-B4F2-43E02791EF11","TS23","1DB",54.59044,-1.294919
"TS231DD",-1.292514,54.59093,164.2635,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","19585425-4068-4079-B4F2-43E02791EF11","TS23","1DD",54.59044,-1.294919
"TS231DE",-1.292325,54.5902,169.1974,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","19585425-4068-4079-B4F2-43E02791EF11","TS23","1DE",54.59044,-1.294919
"TS231DF",-1.288444,54.58912,442.2765,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","19585425-4068-4079-B4F2-43E02791EF11","TS23","1DF",54.59044,-1.294919
"TS231DG",-1.286949,54.58871,401.2858,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","2E946897-2C46-473F-AFC0-C0D54DE9CF43","TS23","1DG",54.5853,-1.284935
"TS231DH",-1.288883,54.58877,430.9042,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","19585425-4068-4079-B4F2-43E02791EF11","TS23","1DH",54.59044,-1.294919
"TS231DJ",-1.290443,54.58899,330.5576,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","19585425-4068-4079-B4F2-43E02791EF11","TS23","1DJ",54.59044,-1.294919
"TS231DL",-1.289588,54.58828,419.0578,1572958,"81B33386-7E78-33F1-E053-A03BA40A2BEA","19585425-4068-4079-B4F2-43E02791EF11","TS23","1DL",54.59044,-1.294919
