"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"TW151AA",-0.440238,51.4321,303.6326,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","8A7EE771-FEC2-4D3C-A0DF-4FD39992465E","TW15","1AA",51.43483,-0.4399605
"TW151AB",-0.447558,51.433,564.5354,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","8A7EE771-FEC2-4D3C-A0DF-4FD39992465E","TW15","1AB",51.43483,-0.4399605
"TW151AD",-0.445944,51.43267,479.034,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","8A7EE771-FEC2-4D3C-A0DF-4FD39992465E","TW15","1AD",51.43483,-0.4399605
"TW151AE",-0.446619,51.43397,471.3743,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","8A7EE771-FEC2-4D3C-A0DF-4FD39992465E","TW15","1AE",51.43483,-0.4399605
"TW151AF",-0.446057,51.43401,432.1751,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","8A7EE771-FEC2-4D3C-A0DF-4FD39992465E","TW15","1AF",51.43483,-0.4399605
"TW151AG",-0.44472,51.43313,379.9252,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","8A7EE771-FEC2-4D3C-A0DF-4FD39992465E","TW15","1AG",51.43483,-0.4399605
"TW151AH",-0.444718,51.43403,341.4378,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","8A7EE771-FEC2-4D3C-A0DF-4FD39992465E","TW15","1AH",51.43483,-0.4399605
"TW151AJ",-0.442988,51.43161,414.9421,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","8A7EE771-FEC2-4D3C-A0DF-4FD39992465E","TW15","1AJ",51.43483,-0.4399605
"TW151AL",-0.442429,51.43155,402.8834,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","8A7EE771-FEC2-4D3C-A0DF-4FD39992465E","TW15","1AL",51.43483,-0.4399605
"TW151AN",-0.442096,51.43035,519.8073,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","8A7EE771-FEC2-4D3C-A0DF-4FD39992465E","TW15","1AN",51.43483,-0.4399605
"TW151AP",-0.440849,51.43146,379.113,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","8A7EE771-FEC2-4D3C-A0DF-4FD39992465E","TW15","1AP",51.43483,-0.4399605
"TW151AQ",-0.445177,51.43406,371.407,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","8A7EE771-FEC2-4D3C-A0DF-4FD39992465E","TW15","1AQ",51.43483,-0.4399605
"TW151AR",-0.441075,51.43287,231.1415,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","8A7EE771-FEC2-4D3C-A0DF-4FD39992465E","TW15","1AR",51.43483,-0.4399605
"TW151AS",-0.441446,51.43338,191.3256,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","8A7EE771-FEC2-4D3C-A0DF-4FD39992465E","TW15","1AS",51.43483,-0.4399605
"TW151AT",-0.438755,51.43508,88.0604,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","8A7EE771-FEC2-4D3C-A0DF-4FD39992465E","TW15","1AT",51.43483,-0.4399605
"TW151AU",-0.442757,51.43542,204.6827,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","8A7EE771-FEC2-4D3C-A0DF-4FD39992465E","TW15","1AU",51.43483,-0.4399605
"TW151AW",-0.441397,51.43142,391.1887,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","8A7EE771-FEC2-4D3C-A0DF-4FD39992465E","TW15","1AW",51.43483,-0.4399605
"TW151AX",-0.440738,51.43811,13.86244,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","7BFB95DD-79FE-4BFA-B0CF-361E1A4685DC","TW15","1AX",51.43799,-0.4407163
"TW151AY",-0.444635,51.42759,867.3259,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","8A7EE771-FEC2-4D3C-A0DF-4FD39992465E","TW15","1AY",51.43483,-0.4399605
"TW151AZ",-0.440474,51.43572,105.4693,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","8A7EE771-FEC2-4D3C-A0DF-4FD39992465E","TW15","1AZ",51.43483,-0.4399605
"TW151BA",-0.441054,51.43814,28.54791,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","7BFB95DD-79FE-4BFA-B0CF-361E1A4685DC","TW15","1BA",51.43799,-0.4407163
"TW151BB",-0.441795,51.43369,179.5685,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","8A7EE771-FEC2-4D3C-A0DF-4FD39992465E","TW15","1BB",51.43483,-0.4399605
"TW151BD",-0.442102,51.43396,176.9557,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","8A7EE771-FEC2-4D3C-A0DF-4FD39992465E","TW15","1BD",51.43483,-0.4399605
"TW151BE",-0.441771,51.43438,135.0357,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","8A7EE771-FEC2-4D3C-A0DF-4FD39992465E","TW15","1BE",51.43483,-0.4399605
"TW151BF",-0.440516,51.43661,154.0834,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","7BFB95DD-79FE-4BFA-B0CF-361E1A4685DC","TW15","1BF",51.43799,-0.4407163
"TW151BG",-0.442693,51.43436,196.2646,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","8A7EE771-FEC2-4D3C-A0DF-4FD39992465E","TW15","1BG",51.43483,-0.4399605
"TW151BH",-0.443558,51.43346,292.1216,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","8A7EE771-FEC2-4D3C-A0DF-4FD39992465E","TW15","1BH",51.43483,-0.4399605
"TW151BJ",-0.444635,51.42759,867.3259,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","8A7EE771-FEC2-4D3C-A0DF-4FD39992465E","TW15","1BJ",51.43483,-0.4399605
"TW151BL",-0.446067,51.43521,425.4339,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","8A7EE771-FEC2-4D3C-A0DF-4FD39992465E","TW15","1BL",51.43483,-0.4399605
"TW151BN",-0.444896,51.4275,883.0554,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","8A7EE771-FEC2-4D3C-A0DF-4FD39992465E","TW15","1BN",51.43483,-0.4399605
"TW151BP",-0.452029,51.43353,848.8429,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","8A7EE771-FEC2-4D3C-A0DF-4FD39992465E","TW15","1BP",51.43483,-0.4399605
"TW151BQ",-0.443501,51.43428,252.7235,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","8A7EE771-FEC2-4D3C-A0DF-4FD39992465E","TW15","1BQ",51.43483,-0.4399605
"TW151BS",-0.449242,51.43298,675.4927,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","8A7EE771-FEC2-4D3C-A0DF-4FD39992465E","TW15","1BS",51.43483,-0.4399605
"TW151BT",-0.449474,51.43335,679.6557,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","8A7EE771-FEC2-4D3C-A0DF-4FD39992465E","TW15","1BT",51.43483,-0.4399605
"TW151BU",-0.450908,51.43348,773.4435,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","8A7EE771-FEC2-4D3C-A0DF-4FD39992465E","TW15","1BU",51.43483,-0.4399605
"TW151BW",-0.444635,51.42759,867.3259,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","8A7EE771-FEC2-4D3C-A0DF-4FD39992465E","TW15","1BW",51.43483,-0.4399605
"TW151BX",-0.451945,51.43474,751.2239,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","00231149-0882-430C-9828-F605F20A7866","TW15","1BX",51.44148,-0.4526186
"TW151BY",-0.451957,51.43565,650.4251,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","00231149-0882-430C-9828-F605F20A7866","TW15","1BY",51.44148,-0.4526186
"TW151BZ",-0.451947,51.43339,846.139,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","8A7EE771-FEC2-4D3C-A0DF-4FD39992465E","TW15","1BZ",51.43483,-0.4399605
"TW151DA",-0.434802,51.42276,1388.862,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","8A7EE771-FEC2-4D3C-A0DF-4FD39992465E","TW15","1DA",51.43483,-0.4399605
"TW151DB",-0.452328,51.43278,886.9194,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","8A7EE771-FEC2-4D3C-A0DF-4FD39992465E","TW15","1DB",51.43483,-0.4399605
"TW151DD",-0.454018,51.43342,901.8915,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","00231149-0882-430C-9828-F605F20A7866","TW15","1DD",51.44148,-0.4526186
"TW151DE",-0.445478,51.42077,1599.621,53374.24,"81B3347F-FFA6-33F1-E053-A03BA40A2BEA","54ADFBCE-C36B-41D8-A646-02054759EDC3","TW15","1DE",51.40929,-0.4315803
"TW151DF",-0.452574,51.43359,877.8736,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","00231149-0882-430C-9828-F605F20A7866","TW15","1DF",51.44148,-0.4526186
"TW151DG",-0.454287,51.43313,935.5261,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","00231149-0882-430C-9828-F605F20A7866","TW15","1DG",51.44148,-0.4526186
"TW151DH",-0.45329,51.43239,962.8763,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","8A7EE771-FEC2-4D3C-A0DF-4FD39992465E","TW15","1DH",51.43483,-0.4399605
"TW151DJ",-0.453538,51.4323,982.392,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","8A7EE771-FEC2-4D3C-A0DF-4FD39992465E","TW15","1DJ",51.43483,-0.4399605
"TW151DL",-0.454438,51.43249,1007.992,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","00231149-0882-430C-9828-F605F20A7866","TW15","1DL",51.44148,-0.4526186
"TW151DN",-0.452519,51.43181,932.7849,1051938,"81B332FF-A057-33F1-E053-A03BA40A2BEA","8A7EE771-FEC2-4D3C-A0DF-4FD39992465E","TW15","1DN",51.43483,-0.4399605
