"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
5510,"TW45LP","E01003840","9E89103E-43E8-2C71-E053-A03BA40A7146","Public Park Or Garden",913053.013600016,310.85043,2,958847,62.2962962962963,"300-600m",351.636722222222,880932.323957422,2.51851851851852,1027148.22222222,19810.6312692889,"TW4 5LP","TW4","5LP","TW45LP"
5511,"TW47LZ","E01002589","9E891090-C2A5-2C71-E053-A03BA40A7146","Public Park Or Garden",39112.0919999975,353.62408,3,978433,38.4098360655738,"300-600m",319.81422,290258.784222956,2.44262295081967,569654.409836066,9067.8788661485,"TW4 7LZ","TW4","7LZ","TW47LZ"
10744,"TW46EN","E01002666","9E891090-C2A5-2C71-E053-A03BA40A7146","Public Park Or Garden",39112.0919999975,335.57413,3,976598,101.866666666667,"300-600m",272.577597666667,738264.829280012,2.73333333333333,970327.333333333,9067.8788661485,"TW4 6EN","TW4","6EN","TW46EN"
10745,"TW47PR","E01002587","9E891090-C2A5-2C71-E053-A03BA40A7146","Public Park Or Garden",39112.0919999975,385.30118,2,65380,92.2608695652174,"300-600m",383.794224565218,33528.0109782599,2.39130434782609,82778.1739130435,9067.8788661485,"TW4 7PR","TW4","7PR","TW47PR"
19161,"TW46DD","E01002589","9E89103E-43E8-2C71-E053-A03BA40A7146","Public Park Or Garden",913053.013600016,470.69522,3,978433,38.4098360655738,"300-600m",319.81422,290258.784222956,2.44262295081967,569654.409836066,19810.6312692889,"TW4 6DD","TW4","6DD","TW46DD"
19162,"TW47NN","E01002588","9E891080-C887-2C71-E053-A03BA40A7146","Playing Field",26268.705650001,427.51608,2,65380,66.75,"300-600m",316.644751785714,28562.1674982147,2,65380,7232.39534265047,"TW4 7NN","TW4","7NN","TW47NN"
22471,"TW47RU","E01002587","9E891090-C2A5-2C71-E053-A03BA40A7146","Public Park Or Garden",39112.0919999975,488.43936,2,65380,92.2608695652174,"300-600m",383.794224565218,33528.0109782599,2.39130434782609,82778.1739130435,9067.8788661485,"TW4 7RU","TW4","7RU","TW47RU"
27889,"TW47NS","E01002588","9E891080-C887-2C71-E053-A03BA40A7146","Playing Field",26268.705650001,283.6371,2,65380,66.75,"Less than or equal to 300m",316.644751785714,28562.1674982147,2,65380,7232.39534265047,"TW4 7NS","TW4","7NS","TW47NS"
38601,"TW46EX","E01002589","9E89103E-43E8-2C71-E053-A03BA40A7146","Public Park Or Garden",913053.013600016,469.73184,3,978433,38.4098360655738,"300-600m",319.81422,290258.784222956,2.44262295081967,569654.409836066,19810.6312692889,"TW4 6EX","TW4","6EX","TW46EX"
38602,"TW47BB","E01002663","9E891090-C2A5-2C71-E053-A03BA40A7146","Public Park Or Garden",39112.0919999975,408.14212,4,1143114,83.2222222222222,"300-600m",307.249671703704,58432.6720148157,4.66666666666667,1129608.92592593,9067.8788661485,"TW4 7BB","TW4","7BB","TW47BB"
38603,"TW47HH","E01002665","9E89103E-43E8-2C71-E053-A03BA40A7146","Public Park Or Garden",913053.013600016,247.22662,3,976598,85.0952380952381,"Less than or equal to 300m",230.740090190476,913053.013600016,3.14285714285714,1007151.85714286,19810.6312692889,"TW4 7HH","TW4","7HH","TW47HH"
41630,"TW45EZ","E01002647","9E89103E-43E8-2C71-E053-A03BA40A7146","Public Park Or Garden",913053.013600016,149.21461,1,913053,89.08,"Less than or equal to 300m",371.6170596,913053.013600016,2.04,973925.84,19810.6312692889,"TW4 5EZ","TW4","5EZ","TW45EZ"
42778,"TW47PQ","E01002588","9E891080-C887-2C71-E053-A03BA40A7146","Playing Field",26268.705650001,194.74342,2,65380,66.75,"Less than or equal to 300m",316.644751785714,28562.1674982147,2,65380,7232.39534265047,"TW4 7PQ","TW4","7PQ","TW47PQ"
51751,"TW46LE","E01002583","9E891080-B3B1-2C71-E053-A03BA40A7146","Public Park Or Garden",204685.279349994,412.2002,4,851384,67.44,"300-600m",337.8794204,190411.953453995,3.64,841927.52,7026.77277777777,"TW4 6LE","TW4","6LE","TW46LE"
51752,"TW47DE","E01002660","9E8910D1-E92D-2C71-E053-A03BA40A7146","Playing Field",24433.5394500006,102.044106,6,1206368,80.2083333333333,"Less than or equal to 300m",209.247746083333,73079.8716416654,4.33333333333333,1093873.125,5828.89752590863,"TW4 7DE","TW4","7DE","TW47DE"
65138,"TW45PJ","E01003843","9E8910DA-3A76-2C71-E053-A03BA40A7146","Public Park Or Garden",307362.181899996,250.13995,5,1868160,61,"Less than or equal to 300m",227.977750222222,340625.505176387,4.44444444444445,1635097.36111111,13254.5567908326,"TW4 5PJ","TW4","5PJ","TW45PJ"
