"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"UB100AA",-0.471592,51.53699,1300.321,30772.59,"81B3333C-11BC-33F1-E053-A03BA40A2BEA","F25C1B28-FFF0-4F4D-910C-0CDAA5A66BB7","UB10","0AA",51.54539,-0.4846651
"UB100AB",-0.472525,51.53799,1175.784,30772.59,"81B3333C-11BC-33F1-E053-A03BA40A2BEA","F25C1B28-FFF0-4F4D-910C-0CDAA5A66BB7","UB10","0AB",51.54539,-0.4846651
"UB100AD",-0.473419,51.5391,1046.181,30772.59,"81B3333C-11BC-33F1-E053-A03BA40A2BEA","F25C1B28-FFF0-4F4D-910C-0CDAA5A66BB7","UB10","0AD",51.54539,-0.4846651
"UB100AE",-0.4727,51.54181,918.1572,30772.59,"81B3333C-11BC-33F1-E053-A03BA40A2BEA","F25C1B28-FFF0-4F4D-910C-0CDAA5A66BB7","UB10","0AE",51.54539,-0.4846651
"UB100AF",-0.471067,51.53546,1450.444,30772.59,"81B3333C-11BC-33F1-E053-A03BA40A2BEA","F25C1B28-FFF0-4F4D-910C-0CDAA5A66BB7","UB10","0AF",51.54539,-0.4846651
"UB100AG",-0.473221,51.53872,1085.005,30772.59,"81B3333C-11BC-33F1-E053-A03BA40A2BEA","F25C1B28-FFF0-4F4D-910C-0CDAA5A66BB7","UB10","0AG",51.54539,-0.4846651
"UB100AH",-0.471883,51.53562,1400.402,30772.59,"81B3333C-11BC-33F1-E053-A03BA40A2BEA","F25C1B28-FFF0-4F4D-910C-0CDAA5A66BB7","UB10","0AH",51.54539,-0.4846651
"UB100AJ",-0.47112,51.53515,1474.098,30772.59,"81B3333C-11BC-33F1-E053-A03BA40A2BEA","F25C1B28-FFF0-4F4D-910C-0CDAA5A66BB7","UB10","0AJ",51.54539,-0.4846651
"UB100AL",-0.453056,51.53466,1142.814,7915.161,"81B3334D-FD35-33F1-E053-A03BA40A2BEA","23043F66-A594-46ED-9B95-39A07FFF9565","UB10","0AL",51.52765,-0.4409743
"UB100AN",-0.452802,51.5362,1254.619,7915.161,"81B3334D-FD35-33F1-E053-A03BA40A2BEA","23043F66-A594-46ED-9B95-39A07FFF9565","UB10","0AN",51.52765,-0.4409743
"UB100AP",-0.453161,51.53794,1421.543,7915.161,"81B3334D-FD35-33F1-E053-A03BA40A2BEA","23043F66-A594-46ED-9B95-39A07FFF9565","UB10","0AP",51.52765,-0.4409743
"UB100AQ",-0.473972,51.53826,1084.398,30772.59,"81B3333C-11BC-33F1-E053-A03BA40A2BEA","F25C1B28-FFF0-4F4D-910C-0CDAA5A66BB7","UB10","0AQ",51.54539,-0.4846651
"UB100AR",-0.452747,51.53866,1470.994,7915.161,"81B3334D-FD35-33F1-E053-A03BA40A2BEA","23043F66-A594-46ED-9B95-39A07FFF9565","UB10","0AR",51.52765,-0.4409743
"UB100AS",-0.452302,51.53946,1529.294,7915.161,"81B3334D-FD35-33F1-E053-A03BA40A2BEA","23043F66-A594-46ED-9B95-39A07FFF9565","UB10","0AS",51.52765,-0.4409743
"UB100AT",-0.451647,51.5405,1608.782,7915.161,"81B3334D-FD35-33F1-E053-A03BA40A2BEA","23043F66-A594-46ED-9B95-39A07FFF9565","UB10","0AT",51.52765,-0.4409743
"UB100AU",-0.471999,51.53689,1288.475,30772.59,"81B3333C-11BC-33F1-E053-A03BA40A2BEA","F25C1B28-FFF0-4F4D-910C-0CDAA5A66BB7","UB10","0AU",51.54539,-0.4846651
"UB100AW",-0.452945,51.53708,1336.697,7915.161,"81B3334D-FD35-33F1-E053-A03BA40A2BEA","23043F66-A594-46ED-9B95-39A07FFF9565","UB10","0AW",51.52765,-0.4409743
"UB100AX",-0.487341,51.53733,914.7879,30772.59,"81B3333C-11BC-33F1-E053-A03BA40A2BEA","F25C1B28-FFF0-4F4D-910C-0CDAA5A66BB7","UB10","0AX",51.54539,-0.4846651
"UB100AY",-0.460078,51.53638,1639.669,7915.161,"81B3334D-FD35-33F1-E053-A03BA40A2BEA","23043F66-A594-46ED-9B95-39A07FFF9565","UB10","0AY",51.52765,-0.4409743
"UB100AZ",-0.459505,51.53624,1599.014,7915.161,"81B3334D-FD35-33F1-E053-A03BA40A2BEA","23043F66-A594-46ED-9B95-39A07FFF9565","UB10","0AZ",51.52765,-0.4409743
"UB100BA",-0.459675,51.53764,1705.272,7915.161,"81B3334D-FD35-33F1-E053-A03BA40A2BEA","23043F66-A594-46ED-9B95-39A07FFF9565","UB10","0BA",51.52765,-0.4409743
"UB100BB",-0.470999,51.53619,1393.07,30772.59,"81B3333C-11BC-33F1-E053-A03BA40A2BEA","F25C1B28-FFF0-4F4D-910C-0CDAA5A66BB7","UB10","0BB",51.54539,-0.4846651
"UB100BD",-0.460279,51.5398,1567.97,55818.81,"81B332FC-B47F-33F1-E053-A03BA40A2BEA","563550C8-D8F4-417E-B224-56169ABBEA6C","UB10","0BD",51.55215,-0.471202
"UB100BE",-0.46255,51.54259,1220.503,55818.81,"81B332FC-B47F-33F1-E053-A03BA40A2BEA","563550C8-D8F4-417E-B224-56169ABBEA6C","UB10","0BE",51.55215,-0.471202
"UB100BF",-0.461962,51.54251,1248.478,55818.81,"81B332FC-B47F-33F1-E053-A03BA40A2BEA","563550C8-D8F4-417E-B224-56169ABBEA6C","UB10","0BF",51.55215,-0.471202
"UB100BG",-0.458944,51.54221,1393.503,55818.81,"81B332FC-B47F-33F1-E053-A03BA40A2BEA","563550C8-D8F4-417E-B224-56169ABBEA6C","UB10","0BG",51.55215,-0.471202
"UB100BH",-0.460108,51.54401,1186.655,55818.81,"81B332FC-B47F-33F1-E053-A03BA40A2BEA","563550C8-D8F4-417E-B224-56169ABBEA6C","UB10","0BH",51.55215,-0.471202
"UB100BJ",-0.452044,51.54156,1726.06,7915.161,"81B3334D-FD35-33F1-E053-A03BA40A2BEA","23043F66-A594-46ED-9B95-39A07FFF9565","UB10","0BJ",51.52765,-0.4409743
"UB100BL",-0.454604,51.54174,1630.73,55818.81,"81B332FC-B47F-33F1-E053-A03BA40A2BEA","563550C8-D8F4-417E-B224-56169ABBEA6C","UB10","0BL",51.55215,-0.471202
"UB100BN",-0.457452,51.54152,1517.137,55818.81,"81B332FC-B47F-33F1-E053-A03BA40A2BEA","563550C8-D8F4-417E-B224-56169ABBEA6C","UB10","0BN",51.55215,-0.471202
"UB100BP",-0.453302,51.54102,1713.946,7915.161,"81B3334D-FD35-33F1-E053-A03BA40A2BEA","23043F66-A594-46ED-9B95-39A07FFF9565","UB10","0BP",51.52765,-0.4409743
"UB100BQ",-0.460357,51.54562,1043.75,55818.81,"81B332FC-B47F-33F1-E053-A03BA40A2BEA","563550C8-D8F4-417E-B224-56169ABBEA6C","UB10","0BQ",51.55215,-0.471202
"UB100BS",-0.455731,51.54125,1617.141,55818.81,"81B332FC-B47F-33F1-E053-A03BA40A2BEA","563550C8-D8F4-417E-B224-56169ABBEA6C","UB10","0BS",51.55215,-0.471202
"UB100BT",-0.457654,51.54109,1546.096,55818.81,"81B332FC-B47F-33F1-E053-A03BA40A2BEA","563550C8-D8F4-417E-B224-56169ABBEA6C","UB10","0BT",51.55215,-0.471202
"UB100BU",-0.459822,51.54096,1472.614,55818.81,"81B332FC-B47F-33F1-E053-A03BA40A2BEA","563550C8-D8F4-417E-B224-56169ABBEA6C","UB10","0BU",51.55215,-0.471202
"UB100BW",-0.460747,51.54175,1363.822,55818.81,"81B332FC-B47F-33F1-E053-A03BA40A2BEA","563550C8-D8F4-417E-B224-56169ABBEA6C","UB10","0BW",51.55215,-0.471202
"UB100BX",-0.459478,51.53577,1566.36,7915.161,"81B3334D-FD35-33F1-E053-A03BA40A2BEA","23043F66-A594-46ED-9B95-39A07FFF9565","UB10","0BX",51.52765,-0.4409743
"UB100BY",-0.449869,51.53424,957.5964,7915.161,"81B3334D-FD35-33F1-E053-A03BA40A2BEA","23043F66-A594-46ED-9B95-39A07FFF9565","UB10","0BY",51.52765,-0.4409743
"UB100BZ",-0.452573,51.54083,1670.864,7915.161,"81B3334D-FD35-33F1-E053-A03BA40A2BEA","23043F66-A594-46ED-9B95-39A07FFF9565","UB10","0BZ",51.52765,-0.4409743
"UB100DA",-0.45309,51.54047,1653.6,7915.161,"81B3334D-FD35-33F1-E053-A03BA40A2BEA","23043F66-A594-46ED-9B95-39A07FFF9565","UB10","0DA",51.52765,-0.4409743
"UB100DB",-0.445138,51.53457,822.1268,7915.161,"81B3334D-FD35-33F1-E053-A03BA40A2BEA","23043F66-A594-46ED-9B95-39A07FFF9565","UB10","0DB",51.52765,-0.4409743
"UB100DD",-0.450553,51.53449,1008.878,7915.161,"81B3334D-FD35-33F1-E053-A03BA40A2BEA","23043F66-A594-46ED-9B95-39A07FFF9565","UB10","0DD",51.52765,-0.4409743
"UB100DE",-0.4492,51.53485,982.3838,7915.161,"81B3334D-FD35-33F1-E053-A03BA40A2BEA","23043F66-A594-46ED-9B95-39A07FFF9565","UB10","0DE",51.52765,-0.4409743
"UB100DF",-0.448301,51.53204,703.9824,7915.161,"81B3334D-FD35-33F1-E053-A03BA40A2BEA","23043F66-A594-46ED-9B95-39A07FFF9565","UB10","0DF",51.52765,-0.4409743
"UB100DG",-0.448181,51.53345,815.4921,7915.161,"81B3334D-FD35-33F1-E053-A03BA40A2BEA","23043F66-A594-46ED-9B95-39A07FFF9565","UB10","0DG",51.52765,-0.4409743
"UB100DH",-0.44737,51.53523,952.2059,7915.161,"81B3334D-FD35-33F1-E053-A03BA40A2BEA","23043F66-A594-46ED-9B95-39A07FFF9565","UB10","0DH",51.52765,-0.4409743
"UB100DJ",-0.451062,51.53521,1093.195,7915.161,"81B3334D-FD35-33F1-E053-A03BA40A2BEA","23043F66-A594-46ED-9B95-39A07FFF9565","UB10","0DJ",51.52765,-0.4409743
"UB100DL",-0.450089,51.53585,1108.826,7915.161,"81B3334D-FD35-33F1-E053-A03BA40A2BEA","23043F66-A594-46ED-9B95-39A07FFF9565","UB10","0DL",51.52765,-0.4409743
"UB100DN",-0.448346,51.5358,1040.139,7915.161,"81B3334D-FD35-33F1-E053-A03BA40A2BEA","23043F66-A594-46ED-9B95-39A07FFF9565","UB10","0DN",51.52765,-0.4409743
"UB100DP",-0.451007,51.53726,1274.061,7915.161,"81B3334D-FD35-33F1-E053-A03BA40A2BEA","23043F66-A594-46ED-9B95-39A07FFF9565","UB10","0DP",51.52765,-0.4409743
"UB100DQ",-0.445747,51.53548,931.2513,7915.161,"81B3334D-FD35-33F1-E053-A03BA40A2BEA","23043F66-A594-46ED-9B95-39A07FFF9565","UB10","0DQ",51.52765,-0.4409743
"UB100DR",-0.449597,51.53675,1175.058,7915.161,"81B3334D-FD35-33F1-E053-A03BA40A2BEA","23043F66-A594-46ED-9B95-39A07FFF9565","UB10","0DR",51.52765,-0.4409743
"UB100DS",-0.446447,51.53397,799.1124,7915.161,"81B3334D-FD35-33F1-E053-A03BA40A2BEA","23043F66-A594-46ED-9B95-39A07FFF9565","UB10","0DS",51.52765,-0.4409743
"UB100DT",-0.452571,51.53112,890.178,7915.161,"81B3334D-FD35-33F1-E053-A03BA40A2BEA","23043F66-A594-46ED-9B95-39A07FFF9565","UB10","0DT",51.52765,-0.4409743
"UB100DU",-0.447425,51.53362,800.2361,7915.161,"81B3334D-FD35-33F1-E053-A03BA40A2BEA","23043F66-A594-46ED-9B95-39A07FFF9565","UB10","0DU",51.52765,-0.4409743
"UB100DW",-0.446332,51.53609,1009.114,7915.161,"81B3334D-FD35-33F1-E053-A03BA40A2BEA","23043F66-A594-46ED-9B95-39A07FFF9565","UB10","0DW",51.52765,-0.4409743
"UB100DX",-0.45086,51.53649,1197.693,7915.161,"81B3334D-FD35-33F1-E053-A03BA40A2BEA","23043F66-A594-46ED-9B95-39A07FFF9565","UB10","0DX",51.52765,-0.4409743
"UB100DY",-0.453362,51.5316,963.2835,7915.161,"81B3334D-FD35-33F1-E053-A03BA40A2BEA","23043F66-A594-46ED-9B95-39A07FFF9565","UB10","0DY",51.52765,-0.4409743
"UB100DZ",-0.451958,51.53175,886.596,7915.161,"81B3334D-FD35-33F1-E053-A03BA40A2BEA","23043F66-A594-46ED-9B95-39A07FFF9565","UB10","0DZ",51.52765,-0.4409743
"UB100EA",-0.451115,51.53238,877.2222,7915.161,"81B3334D-FD35-33F1-E053-A03BA40A2BEA","23043F66-A594-46ED-9B95-39A07FFF9565","UB10","0EA",51.52765,-0.4409743
