"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
19189,"UB96NH","E01002440","9E8911C4-2F7C-2C71-E053-A03BA40A7146","Playing Field",3067.24410000224,214.01402,6,117770,54.5,"Less than or equal to 300m",176.873644571429,9416.0037452401,5.90476190476191,116467.80952381,708.5,"UB9 6NH","UB9","6NH","UB96NH"
22491,"UB94AP","E01017813","9E89107E-CBC9-2C71-E053-A03BA40A7146","Public Park Or Garden",78724.709100005,89.005615,5,286889,30.5409836065574,"Less than or equal to 300m",335.331792213115,46930.9340163963,3.45901639344262,162311.409836066,1633.73015183913,"UB9 4AP","UB9","4AP","UB94AP"
22492,"UB96JX","E01002439","9E89103E-41D3-2C71-E053-A03BA40A7146","Public Park Or Garden",16641.7109499997,235.63744,6,117770,39.1951219512195,"Less than or equal to 300m",147.40099597561,21990.0910756101,5.70731707317073,116181.902439024,919.191912708601,"UB9 6JX","UB9","6JX","UB96JX"
33717,"UB96DU","E01002441","9E89108E-E2A5-2C71-E053-A03BA40A7146","Playing Field",29466.5761000044,408.06006,5,85732,26.9298245614035,"300-600m",251.3840436,24868.296713337,5,98813.1555555556,1200.88751010317,"UB9 6DU","UB9","6DU","UB96DU"
41632,"UB95ED","E01017813","9E89107E-BBEE-2C71-E053-A03BA40A7146","Playing Field",6289.54904999987,857.9627,1,6289,30.5409836065574,"600-900m",335.331792213115,46930.9340163963,3.45901639344262,162311.409836066,1611.63524932899,"UB9 5ED","UB9","5ED","UB95ED"
56928,"UB96HW","E01002438","9E8910A8-CF13-2C71-E053-A03BA40A7146","Playing Field",13672.2804499992,635.6807,3,77451,23.0338983050847,"600-900m",865.4483015625,29499.9967937513,1.625,49034.90625,1003.43953206704,"UB9 6HW","UB9","6HW","UB96HW"
68506,"UB96HH","E01002439","9E8910A8-CF13-2C71-E053-A03BA40A7146","Playing Field",13672.2804499992,67.11929,5,114703,39.1951219512195,"Less than or equal to 300m",147.40099597561,21990.0910756101,5.70731707317073,116181.902439024,1003.43953206704,"UB9 6HH","UB9","6HH","UB96HH"
71345,"UB94NA","E01017813","9E89107E-C589-2C71-E053-A03BA40A7146","Public Park Or Garden",107286.381950001,213.28384,5,232580,30.5409836065574,"Less than or equal to 300m",335.331792213115,46930.9340163963,3.45901639344262,162311.409836066,349.241430700447,"UB9 4NA","UB9","4NA","UB94NA"
71346,"UB96BP","E01002439","9E8910A8-CF13-2C71-E053-A03BA40A7146","Playing Field",13672.2804499992,156.98407,5,114703,39.1951219512195,"Less than or equal to 300m",147.40099597561,21990.0910756101,5.70731707317073,116181.902439024,1003.43953206704,"UB9 6BP","UB9","6BP","UB96BP"
71347,"UB96LP","E01002439","9E89108E-CEEA-2C71-E053-A03BA40A7146","Playing Field",47137.8145500021,172.02615,6,117770,39.1951219512195,"Less than or equal to 300m",147.40099597561,21990.0910756101,5.70731707317073,116181.902439024,435.60314179413,"UB9 6LP","UB9","6LP","UB96LP"
