"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
5594,"W1J0DZ","E01004761","9E8910BD-8BC0-2C71-E053-A03BA40A7146","Public Park Or Garden",189975.617350002,181.95879,11,1758893,1.75340272217774,"Less than or equal to 300m",187.701558160929,165376.614942436,9.21537229783827,1699842.22497998,2001.33806011511,"W1J 0DZ","W1J","0DZ","W1J0DZ"
5595,"W1J5LZ","E01004761","9E8910B4-7ED6-2C71-E053-A03BA40A7146","Public Park Or Garden",4497.94199999809,159.29846,9,1752423,1.75340272217774,"Less than or equal to 300m",187.701558160929,165376.614942436,9.21537229783827,1699842.22497998,614.666875300487,"W1J 5LZ","W1J","5LZ","W1J5LZ"
5596,"W1J7EL","E01004761","9E8910BD-8BC0-2C71-E053-A03BA40A7146","Public Park Or Garden",189975.617350002,121.20231,11,1758893,1.75340272217774,"Less than or equal to 300m",187.701558160929,165376.614942436,9.21537229783827,1699842.22497998,2001.33806011511,"W1J 7EL","W1J","7EL","W1J7EL"
5597,"W1J9HL","E01004736","9E8910B4-7EE8-2C71-E053-A03BA40A7146","Public Park Or Garden",1977.93250000013,287.6004,10,481389,5.29032258064516,"Less than or equal to 300m",234.512734463441,84962.065248117,10.2069892473118,835395.440860215,4925.41236189755,"W1J 9HL","W1J","9HL","W1J9HL"
15295,"W1J9HR","E01004736","9E8910B4-7EE8-2C71-E053-A03BA40A7146","Public Park Or Garden",1977.93250000013,314.00638,9,480618,5.29032258064516,"300-600m",234.512734463441,84962.065248117,10.2069892473118,835395.440860215,4925.41236189755,"W1J 9HR","W1J","9HR","W1J9HR"
19221,"W1J6QA","E01033595","9E8910B4-7ED3-2C71-E053-A03BA40A7146","Public Park Or Garden",1650.15824999682,381.345,10,1758649,0.691966485953672,"300-600m",227.726583377526,7377.7628124694,8.01379990142927,842890.292262198,364.836056523879,"W1J 6QA","W1J","6QA","W1J6QA"
19222,"W1J8LD","E01004761","9E8910BD-8BC0-2C71-E053-A03BA40A7146","Public Park Or Garden",189975.617350002,103.6195,11,1758893,1.75340272217774,"Less than or equal to 300m",187.701558160929,165376.614942436,9.21537229783827,1699842.22497998,2001.33806011511,"W1J 8LD","W1J","8LD","W1J8LD"
22512,"W1J7DL","E01004761","9E8910BD-8BC0-2C71-E053-A03BA40A7146","Public Park Or Garden",189975.617350002,127.28708,9,1774233,1.75340272217774,"Less than or equal to 300m",187.701558160929,165376.614942436,9.21537229783827,1699842.22497998,2001.33806011511,"W1J 7DL","W1J","7DL","W1J7DL"
22513,"W1J7PG","E01004761","9E8910BD-8BC0-2C71-E053-A03BA40A7146","Public Park Or Garden",189975.617350002,205.00975,10,1758649,1.75340272217774,"Less than or equal to 300m",187.701558160929,165376.614942436,9.21537229783827,1699842.22497998,2001.33806011511,"W1J 7PG","W1J","7PG","W1J7PG"
22514,"W1J7QG","E01004761","9E8910BD-8BC0-2C71-E053-A03BA40A7146","Public Park Or Garden",189975.617350002,179.84715,11,1758893,1.75340272217774,"Less than or equal to 300m",187.701558160929,165376.614942436,9.21537229783827,1699842.22497998,2001.33806011511,"W1J 7QG","W1J","7QG","W1J7QG"
22515,"W1J7TU","E01004761","9E8910BD-8BC0-2C71-E053-A03BA40A7146","Public Park Or Garden",189975.617350002,237.02321,9,1752423,1.75340272217774,"Less than or equal to 300m",187.701558160929,165376.614942436,9.21537229783827,1699842.22497998,2001.33806011511,"W1J 7TU","W1J","7TU","W1J7TU"
33725,"W1J5NF","E01004761","9E8910B4-7ED3-2C71-E053-A03BA40A7146","Public Park Or Garden",1650.15824999682,140.46352,9,1752423,1.75340272217774,"Less than or equal to 300m",187.701558160929,165376.614942436,9.21537229783827,1699842.22497998,364.836056523879,"W1J 5NF","W1J","5NF","W1J5NF"
51849,"W1J5HH","E01004761","9E8910BD-8BC0-2C71-E053-A03BA40A7146","Public Park Or Garden",189975.617350002,220.61731,10,1758649,1.75340272217774,"Less than or equal to 300m",187.701558160929,165376.614942436,9.21537229783827,1699842.22497998,2001.33806011511,"W1J 5HH","W1J","5HH","W1J5HH"
51850,"W1J7QT","E01004761","9E8910BD-8BC0-2C71-E053-A03BA40A7146","Public Park Or Garden",189975.617350002,214.52505,9,1752423,1.75340272217774,"Less than or equal to 300m",187.701558160929,165376.614942436,9.21537229783827,1699842.22497998,2001.33806011511,"W1J 7QT","W1J","7QT","W1J7QT"
51851,"W1J8EH","E01004761","9E8910BD-8BC0-2C71-E053-A03BA40A7146","Public Park Or Garden",189975.617350002,203.21663,10,1758649,1.75340272217774,"Less than or equal to 300m",187.701558160929,165376.614942436,9.21537229783827,1699842.22497998,2001.33806011511,"W1J 8EH","W1J","8EH","W1J8EH"
51852,"W1J8HX","E01004761","9E8910BD-8BC0-2C71-E053-A03BA40A7146","Public Park Or Garden",189975.617350002,57.870544,11,1758893,1.75340272217774,"Less than or equal to 300m",187.701558160929,165376.614942436,9.21537229783827,1699842.22497998,2001.33806011511,"W1J 8HX","W1J","8HX","W1J8HX"
56974,"W1J5DN","E01004761","9E8910B4-7ED3-2C71-E053-A03BA40A7146","Public Park Or Garden",1650.15824999682,247.73575,9,1752423,1.75340272217774,"Less than or equal to 300m",187.701558160929,165376.614942436,9.21537229783827,1699842.22497998,364.836056523879,"W1J 5DN","W1J","5DN","W1J5DN"
56975,"W1J6JA","E01004761","9E8910BD-8BC0-2C71-E053-A03BA40A7146","Public Park Or Garden",189975.617350002,331.1027,10,1758649,1.75340272217774,"300-600m",187.701558160929,165376.614942436,9.21537229783827,1699842.22497998,2001.33806011511,"W1J 6JA","W1J","6JA","W1J6JA"
