"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"W1K1AB",-0.151129,51.50485,81.87539,1296511,"81B33371-CDE5-33F1-E053-A03BA40A2BEA","BCC36B23-CE8E-46CE-86D2-F5B67FE4945A","W1K","1AB",51.50469,-0.1522846
"W1K1AD",-0.149112,51.50448,112.388,189975.6,"81B3337A-E1A4-33F1-E053-A03BA40A2BEA","51C77912-3362-4F0F-ABF9-53810B2DECBB","W1K","1AD",51.50352,-0.1486211
"W1K1AE",-0.151706,51.50696,150.0195,1296511,"81B33371-CDE5-33F1-E053-A03BA40A2BEA","A52A7FAC-38F5-46B0-9E9A-BB11FD540153","W1K","1AE",51.50565,-0.1522509
"W1K1AF",-0.150774,51.5066,146.3424,1296511,"81B33371-CDE5-33F1-E053-A03BA40A2BEA","A52A7FAC-38F5-46B0-9E9A-BB11FD540153","W1K","1AF",51.50565,-0.1522509
"W1K1AG",-0.151016,51.50657,133.0339,1296511,"81B33371-CDE5-33F1-E053-A03BA40A2BEA","A52A7FAC-38F5-46B0-9E9A-BB11FD540153","W1K","1AG",51.50565,-0.1522509
"W1K1AH",-0.151282,51.50651,116.7813,1296511,"81B33371-CDE5-33F1-E053-A03BA40A2BEA","A52A7FAC-38F5-46B0-9E9A-BB11FD540153","W1K","1AH",51.50565,-0.1522509
"W1K1AJ",-0.151382,51.50643,105.4343,1296511,"81B33371-CDE5-33F1-E053-A03BA40A2BEA","A52A7FAC-38F5-46B0-9E9A-BB11FD540153","W1K","1AJ",51.50565,-0.1522509
"W1K1AL",-0.151511,51.5068,137.7293,1296511,"81B33371-CDE5-33F1-E053-A03BA40A2BEA","A52A7FAC-38F5-46B0-9E9A-BB11FD540153","W1K","1AL",51.50565,-0.1522509
"W1K1AN",-0.15137,51.50682,143.4569,1296511,"81B33371-CDE5-33F1-E053-A03BA40A2BEA","A52A7FAC-38F5-46B0-9E9A-BB11FD540153","W1K","1AN",51.50565,-0.1522509
"W1K1AP",-0.151119,51.50687,156.2516,1296511,"81B33371-CDE5-33F1-E053-A03BA40A2BEA","A52A7FAC-38F5-46B0-9E9A-BB11FD540153","W1K","1AP",51.50565,-0.1522509
"W1K1AQ",-0.151106,51.50648,121.5429,1296511,"81B33371-CDE5-33F1-E053-A03BA40A2BEA","A52A7FAC-38F5-46B0-9E9A-BB11FD540153","W1K","1AQ",51.50565,-0.1522509
"W1K1AR",-0.150973,51.50692,166.3291,1296511,"81B33371-CDE5-33F1-E053-A03BA40A2BEA","A52A7FAC-38F5-46B0-9E9A-BB11FD540153","W1K","1AR",51.50565,-0.1522509
