"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"W1U4EN",-0.152154,51.51975,91.37647,8996.818,"81B33371-CAA2-33F1-E053-A03BA40A2BEA","7020A96E-7BA4-4552-94DF-5B5FA6C0C699","W1U","4EN",51.51975,-0.1534746
"W1U4EP",-0.152256,51.51972,84.37441,8996.818,"81B33371-CAA2-33F1-E053-A03BA40A2BEA","7020A96E-7BA4-4552-94DF-5B5FA6C0C699","W1U","4EP",51.51975,-0.1534746
"W1U4EQ",-0.155269,51.52008,64.59037,8996.818,"81B33371-CAA2-33F1-E053-A03BA40A2BEA","0FC429CF-9496-4F5D-81C9-0B31FD68D04E","W1U","4EQ",51.52055,-0.1547082
"W1U4ER",-0.152364,51.5199,78.74063,8996.818,"81B33371-CAA2-33F1-E053-A03BA40A2BEA","7020A96E-7BA4-4552-94DF-5B5FA6C0C699","W1U","4ER",51.51975,-0.1534746
"W1U4ES",-0.152437,51.51989,73.61768,8996.818,"81B33371-CAA2-33F1-E053-A03BA40A2BEA","7020A96E-7BA4-4552-94DF-5B5FA6C0C699","W1U","4ES",51.51975,-0.1534746
"W1U4ET",-0.152437,51.51989,73.61768,8996.818,"81B33371-CAA2-33F1-E053-A03BA40A2BEA","7020A96E-7BA4-4552-94DF-5B5FA6C0C699","W1U","4ET",51.51975,-0.1534746
"W1U4EU",-0.153352,51.52007,36.841,8996.818,"81B33371-CAA2-33F1-E053-A03BA40A2BEA","7020A96E-7BA4-4552-94DF-5B5FA6C0C699","W1U","4EU",51.51975,-0.1534746
"W1U4EW",-0.152339,51.5199,80.45346,8996.818,"81B33371-CAA2-33F1-E053-A03BA40A2BEA","7020A96E-7BA4-4552-94DF-5B5FA6C0C699","W1U","4EW",51.51975,-0.1534746
"W1U4EX",-0.153185,51.51992,28.04301,8996.818,"81B33371-CAA2-33F1-E053-A03BA40A2BEA","7020A96E-7BA4-4552-94DF-5B5FA6C0C699","W1U","4EX",51.51975,-0.1534746
"W1U4EY",-0.152685,51.51919,82.72278,8996.818,"81B33371-CAA2-33F1-E053-A03BA40A2BEA","7020A96E-7BA4-4552-94DF-5B5FA6C0C699","W1U","4EY",51.51975,-0.1534746
"W1U4EZ",-0.152696,51.5199,56.41102,8996.818,"81B33371-CAA2-33F1-E053-A03BA40A2BEA","7020A96E-7BA4-4552-94DF-5B5FA6C0C699","W1U","4EZ",51.51975,-0.1534746
"W1U4GB",-0.155299,51.5204,44.123,8996.818,"81B33371-CAA2-33F1-E053-A03BA40A2BEA","0FC429CF-9496-4F5D-81C9-0B31FD68D04E","W1U","4GB",51.52055,-0.1547082
"W1U4GH",-0.152696,51.5199,56.41102,8996.818,"81B33371-CAA2-33F1-E053-A03BA40A2BEA","7020A96E-7BA4-4552-94DF-5B5FA6C0C699","W1U","4GH",51.51975,-0.1534746
"W1U4HA",-0.155883,51.52058,81.35477,8996.818,"81B33371-CAA2-33F1-E053-A03BA40A2BEA","0FC429CF-9496-4F5D-81C9-0B31FD68D04E","W1U","4HA",51.52055,-0.1547082
"W1U4HB",-0.155955,51.52057,86.3051,8996.818,"81B33371-CAA2-33F1-E053-A03BA40A2BEA","0FC429CF-9496-4F5D-81C9-0B31FD68D04E","W1U","4HB",51.52055,-0.1547082
"W1U4HD",-0.156028,51.52055,91.31892,8996.818,"81B33371-CAA2-33F1-E053-A03BA40A2BEA","0FC429CF-9496-4F5D-81C9-0B31FD68D04E","W1U","4HD",51.52055,-0.1547082
"W1U4HE",-0.156086,51.52054,95.33594,8996.818,"81B33371-CAA2-33F1-E053-A03BA40A2BEA","0FC429CF-9496-4F5D-81C9-0B31FD68D04E","W1U","4HE",51.52055,-0.1547082
"W1U4HF",-0.156231,51.52051,105.4349,8996.818,"81B33371-CAA2-33F1-E053-A03BA40A2BEA","0FC429CF-9496-4F5D-81C9-0B31FD68D04E","W1U","4HF",51.52055,-0.1547082
"W1U4HG",-0.156551,51.52045,127.9242,8996.818,"81B33371-CAA2-33F1-E053-A03BA40A2BEA","0FC429CF-9496-4F5D-81C9-0B31FD68D04E","W1U","4HG",51.52055,-0.1547082
"W1U4HH",-0.155953,51.52026,91.67215,8996.818,"81B33371-CAA2-33F1-E053-A03BA40A2BEA","0FC429CF-9496-4F5D-81C9-0B31FD68D04E","W1U","4HH",51.52055,-0.1547082
"W1U4HJ",-0.155953,51.52026,91.67215,8996.818,"81B33371-CAA2-33F1-E053-A03BA40A2BEA","0FC429CF-9496-4F5D-81C9-0B31FD68D04E","W1U","4HJ",51.52055,-0.1547082
"W1U4HL",-0.155894,51.52029,86.85664,8996.818,"81B33371-CAA2-33F1-E053-A03BA40A2BEA","0FC429CF-9496-4F5D-81C9-0B31FD68D04E","W1U","4HL",51.52055,-0.1547082
"W1U4HN",-0.155835,51.52032,81.75659,8996.818,"81B33371-CAA2-33F1-E053-A03BA40A2BEA","0FC429CF-9496-4F5D-81C9-0B31FD68D04E","W1U","4HN",51.52055,-0.1547082
"W1U4HP",-0.153448,51.52056,27.19558,8996.818,"81B33371-CAA2-33F1-E053-A03BA40A2BEA","7CB4120D-18B0-4945-B07E-C601C9475475","W1U","4HP",51.52059,-0.1538363
