"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
5662,"W60PN","E01001897","9E89103E-42F9-2C71-E053-A03BA40A7146","Public Park Or Garden",18291.8430000031,383.41232,5,193845,62.1304347826087,"300-600m",405.733666521739,46125.88592609,4.69565217391304,188428.434782609,13740.8446917268,"W6 0PN","W6","0PN","W60PN"
5663,"W60UB","E01001928","9E8910A3-E28F-2C71-E053-A03BA40A7146","Public Park Or Garden",124989.007550003,58.00862,7,197170,52.09375,"Less than or equal to 300m",123.796784609375,124989.007550003,6.875,201365.4375,9430.43353042906,"W6 0UB","W6","0UB","W60UB"
5664,"W67BL","E01001869","9E89103E-42F9-2C71-E053-A03BA40A7146","Public Park Or Garden",18291.8430000031,62.289646,4,54679,60,"Less than or equal to 300m",104.441811482759,18291.8430000031,4.37931034482759,153464.862068966,13740.8446917268,"W6 7BL","W6","7BL","W67BL"
5665,"W69HR","E01001898","9E89103E-42F9-2C71-E053-A03BA40A7146","Public Park Or Garden",18291.8430000031,451.37347,3,156837,24.8769230769231,"300-600m",351.942499846154,18000.4672830797,3.86153846153846,141988.584615385,13740.8446917268,"W6 9HR","W6","9HR","W69HR"
5666,"W69JD","E01001899","9E8910D2-3A54-2C71-E053-A03BA40A7146","Public Park Or Garden",13556.9875999992,131.2288,4,163860,43.3823529411765,"Less than or equal to 300m",329.275207176471,36638.1345132354,3.76470588235294,163694.470588235,7481.61753674956,"W6 9JD","W6","9JD","W69JD"
10873,"W60XX","E01002574","9E89103E-42F6-2C71-E053-A03BA40A7146","Public Park Or Garden",10098.7388000002,100.40418,10,276304,58.2222222222222,"Less than or equal to 300m",177.363359962963,10179.7733425922,8.85185185185185,270908.888888889,2827.68546024849,"W6 0XX","W6","0XX","W60XX"
10874,"W69BG","E01001933","9E8910D2-37DC-2C71-E053-A03BA40A7146","Public Park Or Garden",7022.62124999719,102.88343,8,253093,26.6938775510204,"Less than or equal to 300m",166.951557204082,38534.1124255092,7.71428571428571,231385.12244898,2268.01708694566,"W6 9BG","W6","9BG","W69BG"
10875,"W69TD","E01001932","9E8910D2-37DC-2C71-E053-A03BA40A7146","Public Park Or Garden",7022.62124999719,326.58536,7,195730,44.7567567567568,"300-600m",156.738663054054,88319.0794837854,6.62162162162162,193469.648648649,2268.01708694566,"W6 9TD","W6","9TD","W69TD"
10876,"W69TY","E01001933","9E8910D2-37DC-2C71-E053-A03BA40A7146","Public Park Or Garden",7022.62124999719,203.54115,9,264923,26.6938775510204,"Less than or equal to 300m",166.951557204082,38534.1124255092,7.71428571428571,231385.12244898,2268.01708694566,"W6 9TY","W6","9TY","W69TY"
15349,"W60SA","E01001933","9E8910D2-37DC-2C71-E053-A03BA40A7146","Public Park Or Garden",7022.62124999719,259.8865,9,270430,26.6938775510204,"Less than or equal to 300m",166.951557204082,38534.1124255092,7.71428571428571,231385.12244898,2268.01708694566,"W6 0SA","W6","0SA","W60SA"
15350,"W66SS","E01001894","9E8910D2-3A54-2C71-E053-A03BA40A7146","Public Park Or Garden",13556.9875999992,61.03278,6,192094,27,"Less than or equal to 300m",143.340937122449,27201.7247367344,4.73469387755102,174803.979591837,7481.61753674956,"W6 6SS","W6","6SS","W66SS"
15351,"W69NL","E01001933","9E8910D2-37DC-2C71-E053-A03BA40A7146","Public Park Or Garden",7022.62124999719,117.20921,9,264923,26.6938775510204,"Less than or equal to 300m",166.951557204082,38534.1124255092,7.71428571428571,231385.12244898,2268.01708694566,"W6 9NL","W6","9NL","W69NL"
19258,"W60AT","E01001895","9E89103E-42F9-2C71-E053-A03BA40A7146","Public Park Or Garden",18291.8430000031,506.40002,4,180288,78.8421052631579,"300-600m",407.14655,84417.0718947392,5.26315789473684,197826.736842105,13740.8446917268,"W6 0AT","W6","0AT","W60AT"
19259,"W69UE","E01001891","9E8910D2-6376-2C71-E053-A03BA40A7146","Playing Field",31487.5621000011,529.8019,2,45044,55.9024390243902,"300-600m",427.020469512195,25364.9269048785,2.63414634146341,61472.6341463415,13874.2311915111,"W6 9UE","W6","9UE","W69UE"
22550,"W68RN","E01001889","9E89103E-42F9-2C71-E053-A03BA40A7146","Public Park Or Garden",18291.8430000031,594.2794,6,98774,62.4090909090909,"300-600m",507.945272272727,23247.8473863652,5.31818181818182,90527.5909090909,13740.8446917268,"W6 8RN","W6","8RN","W68RN"
25393,"W60DN","E01001899","9E8910A3-E28F-2C71-E053-A03BA40A7146","Public Park Or Garden",124989.007550003,343.75864,6,179833,43.3823529411765,"300-600m",329.275207176471,36638.1345132354,3.76470588235294,163694.470588235,9430.43353042906,"W6 0DN","W6","0DN","W60DN"
27936,"W60ES","E01001928","9E8910A3-E28F-2C71-E053-A03BA40A7146","Public Park Or Garden",124989.007550003,240.91907,7,221282,52.09375,"Less than or equal to 300m",123.796784609375,124989.007550003,6.875,201365.4375,9430.43353042906,"W6 0ES","W6","0ES","W60ES"
27937,"W68EP","E01001886","9E8910D2-6376-2C71-E053-A03BA40A7146","Playing Field",31487.5621000011,61.611687,3,64335,41.0285714285714,"Less than or equal to 300m",122.582266771429,30891.7075171468,2.85714285714286,81815.4285714286,13874.2311915111,"W6 8EP","W6","8EP","W68EP"
27938,"W69BT","E01001893","9E8910D2-3A54-2C71-E053-A03BA40A7146","Public Park Or Garden",13556.9875999992,263.87308,4,188325,31.3846153846154,"Less than or equal to 300m",321.651011538462,13556.9875999992,3.94871794871795,184312.769230769,7481.61753674956,"W6 9BT","W6","9BT","W69BT"
30194,"W67HQ","E01001896","9E89103E-437E-2C71-E053-A03BA40A7146","Public Park Or Garden",31133.9126000046,388.23962,5,198427,64.16,"300-600m",381.2586724,25500.3771120038,4.96,196601.76,12892.3481439227,"W6 7HQ","W6","7HQ","W67HQ"
33729,"W60XJ","E01001930","9E89103E-42F6-2C71-E053-A03BA40A7146","Public Park Or Garden",10098.7388000002,101.53325,8,262489,50.0540540540541,"Less than or equal to 300m",134.941469432432,88314.220991894,7.54054054054054,232701.621621622,2827.68546024849,"W6 0XJ","W6","0XJ","W60XJ"
36505,"W68HB","E01001889","9E8910D2-6376-2C71-E053-A03BA40A7146","Playing Field",31487.5621000011,518.2789,5,85217,62.4090909090909,"300-600m",507.945272272727,23247.8473863652,5.31818181818182,90527.5909090909,13874.2311915111,"W6 8HB","W6","8HB","W68HB"
37621,"W60PA","E01001897","9E89103E-42F9-2C71-E053-A03BA40A7146","Public Park Or Garden",18291.8430000031,380.08026,5,193845,62.1304347826087,"300-600m",405.733666521739,46125.88592609,4.69565217391304,188428.434782609,13740.8446917268,"W6 0PA","W6","0PA","W60PA"
37622,"W67HP","E01001896","9E89103E-437E-2C71-E053-A03BA40A7146","Public Park Or Garden",31133.9126000046,425.7382,5,198427,64.16,"300-600m",381.2586724,25500.3771120038,4.96,196601.76,12892.3481439227,"W6 7HP","W6","7HP","W67HP"
38614,"W69RH","E01001891","9E8910D2-6376-2C71-E053-A03BA40A7146","Playing Field",31487.5621000011,443.71725,2,45044,55.9024390243902,"300-600m",427.020469512195,25364.9269048785,2.63414634146341,61472.6341463415,13874.2311915111,"W6 9RH","W6","9RH","W69RH"
41638,"W60PZ","E01001899","9E8910D2-3A54-2C71-E053-A03BA40A7146","Public Park Or Garden",13556.9875999992,385.161,3,156837,43.3823529411765,"300-600m",329.275207176471,36638.1345132354,3.76470588235294,163694.470588235,7481.61753674956,"W6 0PZ","W6","0PZ","W60PZ"
41639,"W67HZ","E01001896","9E89103E-42F9-2C71-E053-A03BA40A7146","Public Park Or Garden",18291.8430000031,352.2783,4,180288,64.16,"300-600m",381.2586724,25500.3771120038,4.96,196601.76,13740.8446917268,"W6 7HZ","W6","7HZ","W67HZ"
51936,"W60BH","E01001928","9E8910A3-E28F-2C71-E053-A03BA40A7146","Public Park Or Garden",124989.007550003,146.23953,6,179833,52.09375,"Less than or equal to 300m",123.796784609375,124989.007550003,6.875,201365.4375,9430.43353042906,"W6 0BH","W6","0BH","W60BH"
51937,"W67EL","E01001896","9E89103E-437E-2C71-E053-A03BA40A7146","Public Park Or Garden",31133.9126000046,409.02933,5,198427,64.16,"300-600m",381.2586724,25500.3771120038,4.96,196601.76,12892.3481439227,"W6 7EL","W6","7EL","W67EL"
51938,"W68LA","E01001900","9E8910D2-3A54-2C71-E053-A03BA40A7146","Public Park Or Garden",13556.9875999992,630.0127,5,68590,39.6744186046512,"600-900m",536.061479069767,15468.6354116278,4.06976744186047,101297.651162791,7481.61753674956,"W6 8LA","W6","8LA","W68LA"
51939,"W69AH","E01001933","9E8910D2-37DC-2C71-E053-A03BA40A7146","Public Park Or Garden",7022.62124999719,115.97414,9,264923,26.6938775510204,"Less than or equal to 300m",166.951557204082,38534.1124255092,7.71428571428571,231385.12244898,2268.01708694566,"W6 9AH","W6","9AH","W69AH"
51940,"W69RT","E01001893","9E8910D2-3A54-2C71-E053-A03BA40A7146","Public Park Or Garden",13556.9875999992,367.41394,4,188325,31.3846153846154,"300-600m",321.651011538462,13556.9875999992,3.94871794871795,184312.769230769,7481.61753674956,"W6 9RT","W6","9RT","W69RT"
