"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"W84AA",-0.193009,51.50469,273.9243,1066696,"81B33371-CDD1-33F1-E053-A03BA40A2BEA","F02B11D5-7B9E-4F68-B420-45C753FAE621","W8","4AA",51.50554,-0.1892961
"W84AB",-0.193013,51.50459,268.0153,1493.072,"81B3337A-BFA5-33F1-E053-A03BA40A2BEA","86EF55E6-AB8B-4B56-AB96-BAC3D2BA3B31","W8","4AB",51.5022,-0.1925395
"W84AD",-0.193013,51.50459,268.0153,1493.072,"81B3337A-BFA5-33F1-E053-A03BA40A2BEA","86EF55E6-AB8B-4B56-AB96-BAC3D2BA3B31","W8","4AD",51.5022,-0.1925395
"W84AE",-0.193013,51.50459,268.0153,1493.072,"81B3337A-BFA5-33F1-E053-A03BA40A2BEA","86EF55E6-AB8B-4B56-AB96-BAC3D2BA3B31","W8","4AE",51.5022,-0.1925395
"W84AF",-0.193013,51.50459,268.0153,1493.072,"81B3337A-BFA5-33F1-E053-A03BA40A2BEA","86EF55E6-AB8B-4B56-AB96-BAC3D2BA3B31","W8","4AF",51.5022,-0.1925395
"W84AG",-0.192487,51.50512,225.732,1066696,"81B33371-CDD1-33F1-E053-A03BA40A2BEA","F02B11D5-7B9E-4F68-B420-45C753FAE621","W8","4AG",51.50554,-0.1892961
"W84AH",-0.193185,51.50497,276.5462,1066696,"81B33371-CDD1-33F1-E053-A03BA40A2BEA","F02B11D5-7B9E-4F68-B420-45C753FAE621","W8","4AH",51.50554,-0.1892961
"W84AJ",-0.19299,51.50589,258.4876,1066696,"81B33371-CDD1-33F1-E053-A03BA40A2BEA","F02B11D5-7B9E-4F68-B420-45C753FAE621","W8","4AJ",51.50554,-0.1892961
"W84AL",-0.1933,51.50643,294.1405,1066696,"81B33371-CDD1-33F1-E053-A03BA40A2BEA","F02B11D5-7B9E-4F68-B420-45C753FAE621","W8","4AL",51.50554,-0.1892961
"W84AN",-0.193568,51.50695,334.3445,1066696,"81B33371-CDD1-33F1-E053-A03BA40A2BEA","F02B11D5-7B9E-4F68-B420-45C753FAE621","W8","4AN",51.50554,-0.1892961
"W84AP",-0.193978,51.50641,337.9161,1066696,"81B33371-CDD1-33F1-E053-A03BA40A2BEA","F02B11D5-7B9E-4F68-B420-45C753FAE621","W8","4AP",51.50554,-0.1892961
"W84AQ",-0.191616,51.5053,162.8584,1066696,"81B33371-CDD1-33F1-E053-A03BA40A2BEA","F02B11D5-7B9E-4F68-B420-45C753FAE621","W8","4AQ",51.50554,-0.1892961
"W84AR",-0.198586,51.49844,82.79686,211421.2,"81B33371-CDEB-33F1-E053-A03BA40A2BEA","F4A665F2-E19C-4E44-A06B-EE0A6C22DB41","W8","4AR",51.49917,-0.1988494
"W84AS",-0.19354,51.50582,295.359,1066696,"81B33371-CDD1-33F1-E053-A03BA40A2BEA","F02B11D5-7B9E-4F68-B420-45C753FAE621","W8","4AS",51.50554,-0.1892961
"W84AT",-0.194937,51.50912,367.0341,1066696,"81B33371-CDD1-33F1-E053-A03BA40A2BEA","C0012B08-4355-4DFC-A107-89CE5D18D18C","W8","4AT",51.50999,-0.1898232
"W84AU",-0.194595,51.50503,345.3725,1493.072,"81B3337A-BFA5-33F1-E053-A03BA40A2BEA","86EF55E6-AB8B-4B56-AB96-BAC3D2BA3B31","W8","4AU",51.5022,-0.1925395
"W84AW",-0.194252,51.50714,386.0867,1066696,"81B33371-CDD1-33F1-E053-A03BA40A2BEA","F02B11D5-7B9E-4F68-B420-45C753FAE621","W8","4AW",51.50554,-0.1892961
"W84BA",-0.193126,51.50403,207.4128,1493.072,"81B3337A-BFA5-33F1-E053-A03BA40A2BEA","86EF55E6-AB8B-4B56-AB96-BAC3D2BA3B31","W8","4BA",51.5022,-0.1925395
"W84BB",-0.193089,51.50376,177.2843,1493.072,"81B3337A-BFA5-33F1-E053-A03BA40A2BEA","86EF55E6-AB8B-4B56-AB96-BAC3D2BA3B31","W8","4BB",51.5022,-0.1925395
"W84BD",-0.193127,51.50389,192.6201,1493.072,"81B3337A-BFA5-33F1-E053-A03BA40A2BEA","86EF55E6-AB8B-4B56-AB96-BAC3D2BA3B31","W8","4BD",51.5022,-0.1925395
"W84BE",-0.193429,51.50402,212.0895,1493.072,"81B3337A-BFA5-33F1-E053-A03BA40A2BEA","86EF55E6-AB8B-4B56-AB96-BAC3D2BA3B31","W8","4BE",51.5022,-0.1925395
"W84BG",-0.193865,51.50466,288.6452,1493.072,"81B3337A-BFA5-33F1-E053-A03BA40A2BEA","86EF55E6-AB8B-4B56-AB96-BAC3D2BA3B31","W8","4BG",51.5022,-0.1925395
"W84BH",-0.194403,51.50695,386.5724,1066696,"81B33371-CDD1-33F1-E053-A03BA40A2BEA","F02B11D5-7B9E-4F68-B420-45C753FAE621","W8","4BH",51.50554,-0.1892961
"W84BL",-0.194488,51.50773,409.585,1066696,"81B33371-CDD1-33F1-E053-A03BA40A2BEA","C0012B08-4355-4DFC-A107-89CE5D18D18C","W8","4BL",51.50999,-0.1898232
"W84BN",-0.194601,51.50779,411.4352,1066696,"81B33371-CDD1-33F1-E053-A03BA40A2BEA","C0012B08-4355-4DFC-A107-89CE5D18D18C","W8","4BN",51.50999,-0.1898232
"W84BP",-0.195964,51.50685,483.7983,1066696,"81B33371-CDD1-33F1-E053-A03BA40A2BEA","F02B11D5-7B9E-4F68-B420-45C753FAE621","W8","4BP",51.50554,-0.1892961
"W84BQ",-0.19428,51.50534,345.6895,1066696,"81B33371-CDD1-33F1-E053-A03BA40A2BEA","F02B11D5-7B9E-4F68-B420-45C753FAE621","W8","4BQ",51.50554,-0.1892961
"W84BS",-0.195964,51.50685,483.7983,1066696,"81B33371-CDD1-33F1-E053-A03BA40A2BEA","F02B11D5-7B9E-4F68-B420-45C753FAE621","W8","4BS",51.50554,-0.1892961
"W84BT",-0.195928,51.50775,476.8183,27808.06,"81B3338F-8FA3-33F1-E053-A03BA40A2BEA","AC5877A6-FA9A-4D72-B0C6-7527E8CA29FF","W8","4BT",51.5111,-0.2002144
"W84BU",-0.194133,51.50614,341.2199,1066696,"81B33371-CDD1-33F1-E053-A03BA40A2BEA","F02B11D5-7B9E-4F68-B420-45C753FAE621","W8","4BU",51.50554,-0.1892961
"W84BW",-0.195964,51.50685,483.7983,1066696,"81B33371-CDD1-33F1-E053-A03BA40A2BEA","F02B11D5-7B9E-4F68-B420-45C753FAE621","W8","4BW",51.50554,-0.1892961
"W84BX",-0.192808,51.50429,233.3865,1493.072,"81B3337A-BFA5-33F1-E053-A03BA40A2BEA","86EF55E6-AB8B-4B56-AB96-BAC3D2BA3B31","W8","4BX",51.5022,-0.1925395
"W84BY",-0.193757,51.50543,309.0017,1066696,"81B33371-CDD1-33F1-E053-A03BA40A2BEA","F02B11D5-7B9E-4F68-B420-45C753FAE621","W8","4BY",51.50554,-0.1892961
"W84BZ",-0.194595,51.50503,345.3725,1493.072,"81B3337A-BFA5-33F1-E053-A03BA40A2BEA","86EF55E6-AB8B-4B56-AB96-BAC3D2BA3B31","W8","4BZ",51.5022,-0.1925395
"W84DA",-0.19308,51.50435,242.004,1493.072,"81B3337A-BFA5-33F1-E053-A03BA40A2BEA","86EF55E6-AB8B-4B56-AB96-BAC3D2BA3B31","W8","4DA",51.5022,-0.1925395
"W84DB",-0.193246,51.50452,263.0284,1493.072,"81B3337A-BFA5-33F1-E053-A03BA40A2BEA","86EF55E6-AB8B-4B56-AB96-BAC3D2BA3B31","W8","4DB",51.5022,-0.1925395
"W84DD",-0.19463,51.50413,259.0338,1493.072,"81B3337A-BFA5-33F1-E053-A03BA40A2BEA","B13AB736-6279-46CD-A91A-FE6D23DD999C","W8","4DD",51.50208,-0.1928407
"W84DE",-0.193192,51.5048,281.9846,1066696,"81B33371-CDD1-33F1-E053-A03BA40A2BEA","F02B11D5-7B9E-4F68-B420-45C753FAE621","W8","4DE",51.50554,-0.1892961
"W84DF",-0.19319,51.50411,217.0189,1493.072,"81B3337A-BFA5-33F1-E053-A03BA40A2BEA","86EF55E6-AB8B-4B56-AB96-BAC3D2BA3B31","W8","4DF",51.5022,-0.1925395
"W84DG",-0.193221,51.50443,252.8737,1493.072,"81B3337A-BFA5-33F1-E053-A03BA40A2BEA","86EF55E6-AB8B-4B56-AB96-BAC3D2BA3B31","W8","4DG",51.5022,-0.1925395
"W84DH",-0.198586,51.49844,82.79686,211421.2,"81B33371-CDEB-33F1-E053-A03BA40A2BEA","F4A665F2-E19C-4E44-A06B-EE0A6C22DB41","W8","4DH",51.49917,-0.1988494
"W84DP",-0.194965,51.50879,380.3096,1066696,"81B33371-CDD1-33F1-E053-A03BA40A2BEA","C0012B08-4355-4DFC-A107-89CE5D18D18C","W8","4DP",51.50999,-0.1898232
"W84DQ",-0.193023,51.50433,239.4435,1493.072,"81B3337A-BFA5-33F1-E053-A03BA40A2BEA","86EF55E6-AB8B-4B56-AB96-BAC3D2BA3B31","W8","4DQ",51.5022,-0.1925395
"W84DS",-0.194951,51.50877,380.1158,1066696,"81B33371-CDD1-33F1-E053-A03BA40A2BEA","C0012B08-4355-4DFC-A107-89CE5D18D18C","W8","4DS",51.50999,-0.1898232
"W84DT",-0.194679,51.50838,381.0719,1066696,"81B33371-CDD1-33F1-E053-A03BA40A2BEA","C0012B08-4355-4DFC-A107-89CE5D18D18C","W8","4DT",51.50999,-0.1898232
"W84DU",-0.194496,51.50827,376.1009,1066696,"81B33371-CDD1-33F1-E053-A03BA40A2BEA","C0012B08-4355-4DFC-A107-89CE5D18D18C","W8","4DU",51.50999,-0.1898232
"W84DX",-0.19496,51.5089,375.5882,1066696,"81B33371-CDD1-33F1-E053-A03BA40A2BEA","C0012B08-4355-4DFC-A107-89CE5D18D18C","W8","4DX",51.50999,-0.1898232
"W84DY",-0.194136,51.50862,335.2471,1066696,"81B33371-CDD1-33F1-E053-A03BA40A2BEA","C0012B08-4355-4DFC-A107-89CE5D18D18C","W8","4DY",51.50999,-0.1898232
"W84DZ",-0.194136,51.50862,335.2471,1066696,"81B33371-CDD1-33F1-E053-A03BA40A2BEA","C0012B08-4355-4DFC-A107-89CE5D18D18C","W8","4DZ",51.50999,-0.1898232
"W84EA",-0.194429,51.5085,359.4377,1066696,"81B33371-CDD1-33F1-E053-A03BA40A2BEA","C0012B08-4355-4DFC-A107-89CE5D18D18C","W8","4EA",51.50999,-0.1898232
"W84EB",-0.194203,51.50838,352.3068,1066696,"81B33371-CDD1-33F1-E053-A03BA40A2BEA","C0012B08-4355-4DFC-A107-89CE5D18D18C","W8","4EB",51.50999,-0.1898232
"W84ED",-0.1944,51.50814,377.9176,1066696,"81B33371-CDD1-33F1-E053-A03BA40A2BEA","C0012B08-4355-4DFC-A107-89CE5D18D18C","W8","4ED",51.50999,-0.1898232
"W84EE",-0.194227,51.50887,329.229,1066696,"81B33371-CDD1-33F1-E053-A03BA40A2BEA","C0012B08-4355-4DFC-A107-89CE5D18D18C","W8","4EE",51.50999,-0.1898232
"W87EW",-0.199914,51.50388,369.8615,211421.2,"81B33371-CDEB-33F1-E053-A03BA40A2BEA","8534B7D1-A09D-4C3C-AA8B-31CE9C7CBB7F","W8","7EW",51.50575,-0.2043287
"W87EX",-0.200193,51.50411,339.7114,211421.2,"81B33371-CDEB-33F1-E053-A03BA40A2BEA","8534B7D1-A09D-4C3C-AA8B-31CE9C7CBB7F","W8","7EX",51.50575,-0.2043287
"W87EY",-0.199274,51.50402,399.3169,211421.2,"81B33371-CDEB-33F1-E053-A03BA40A2BEA","8534B7D1-A09D-4C3C-AA8B-31CE9C7CBB7F","W8","7EY",51.50575,-0.2043287
"W87EZ",-0.198586,51.49844,82.79686,211421.2,"81B33371-CDEB-33F1-E053-A03BA40A2BEA","F4A665F2-E19C-4E44-A06B-EE0A6C22DB41","W8","7EZ",51.49917,-0.1988494
"W87GA",-0.197702,51.50478,450.5796,1493.072,"81B3337A-BFA5-33F1-E053-A03BA40A2BEA","B13AB736-6279-46CD-A91A-FE6D23DD999C","W8","7GA",51.50208,-0.1928407
"W87GB",-0.198586,51.49844,82.79686,211421.2,"81B33371-CDEB-33F1-E053-A03BA40A2BEA","F4A665F2-E19C-4E44-A06B-EE0A6C22DB41","W8","7GB",51.49917,-0.1988494
"W87GD",-0.198586,51.49844,82.79686,211421.2,"81B33371-CDEB-33F1-E053-A03BA40A2BEA","F4A665F2-E19C-4E44-A06B-EE0A6C22DB41","W8","7GD",51.49917,-0.1988494
"W87GE",-0.198586,51.49844,82.79686,211421.2,"81B33371-CDEB-33F1-E053-A03BA40A2BEA","F4A665F2-E19C-4E44-A06B-EE0A6C22DB41","W8","7GE",51.49917,-0.1988494
"W87GF",-0.198586,51.49844,82.79686,211421.2,"81B33371-CDEB-33F1-E053-A03BA40A2BEA","F4A665F2-E19C-4E44-A06B-EE0A6C22DB41","W8","7GF",51.49917,-0.1988494
