"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"WA120AA",-2.612568,53.45371,116.7839,32462.15,"81B33479-2893-33F1-E053-A03BA40A2BEA","A86543E9-75A3-40F2-9449-BEC8FE336468","WA12","0AA",53.45476,-2.61254
"WA120AB",-2.623518,53.45899,366.3351,103718.5,"81B33367-3C6E-33F1-E053-A03BA40A2BEA","3FC5FFD8-5021-4B75-9460-2A20BA2AA650","WA12","0AB",53.45635,-2.620228
"WA120AD",-2.623475,53.45912,376.0558,103718.5,"81B33367-3C6E-33F1-E053-A03BA40A2BEA","3FC5FFD8-5021-4B75-9460-2A20BA2AA650","WA12","0AD",53.45635,-2.620228
"WA120AE",-2.625393,53.46049,574.2494,103718.5,"81B33367-3C6E-33F1-E053-A03BA40A2BEA","3FC5FFD8-5021-4B75-9460-2A20BA2AA650","WA12","0AE",53.45635,-2.620228
"WA120AG",-2.625702,53.46002,545.8587,103718.5,"81B33367-3C6E-33F1-E053-A03BA40A2BEA","3FC5FFD8-5021-4B75-9460-2A20BA2AA650","WA12","0AG",53.45635,-2.620228
"WA120AH",-2.629174,53.46257,910.8985,103718.5,"81B33367-3C6E-33F1-E053-A03BA40A2BEA","3FC5FFD8-5021-4B75-9460-2A20BA2AA650","WA12","0AH",53.45635,-2.620228
"WA120AJ",-2.628559,53.46277,902.549,103718.5,"81B33367-3C6E-33F1-E053-A03BA40A2BEA","3FC5FFD8-5021-4B75-9460-2A20BA2AA650","WA12","0AJ",53.45635,-2.620228
"WA120AL",-2.631323,53.46428,809.2427,993576.8,"81B332F7-305F-33F1-E053-A03BA40A2BEA","B811EF6A-7E83-4CC6-B5E2-040886FFF69C","WA12","0AL",53.46277,-2.643282
"WA120AN",-2.631103,53.46366,812.2769,993576.8,"81B332F7-305F-33F1-E053-A03BA40A2BEA","B811EF6A-7E83-4CC6-B5E2-040886FFF69C","WA12","0AN",53.46277,-2.643282
"WA120AP",-2.630352,53.46176,846.9694,993576.8,"81B332F7-305F-33F1-E053-A03BA40A2BEA","29507FC4-21CE-47CA-B240-6C0B991BFD02","WA12","0AP",53.46191,-2.643144
