"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
5730,"WA66QG","E01018687","9E8911C4-76F7-2C71-E053-A03BA40A7146","Playing Field",17474.9169999944,550.11725,4,142535,26.5,"300-600m",595.832459,14337.8715219957,3.38,110304.62,2456.13287630403,"WA6 6QG","WA6","6QG","WA66QG"
5731,"WA67BZ","E01018689","9E8910AA-F0BD-2C71-E053-A03BA40A7146","Public Park Or Garden",85956.3448500001,580.00085,4,165134,28.44,"300-600m",206.72202698,38196.4843589993,6.1,203770.4,1092.87236959762,"WA6 7BZ","WA6","7BZ","WA67BZ"
5732,"WA67QJ","E01018688","9E8910AA-F222-2C71-E053-A03BA40A7146","Playing Field",7287.50259999922,115.10864,7,248512,23.6363636363636,"Less than or equal to 300m",211.818566075758,16324.0143265136,6.42424242424242,219563.96969697,1356.6921575199,"WA6 7QJ","WA6","7QJ","WA67QJ"
5733,"WA69QD","E01018697","9E891096-2BCC-2C71-E053-A03BA40A7146","Playing Field",12929.9103000038,628.0963,4,69663,23.1466666666667,"600-900m",273.434089306667,16050.168993336,3.01333333333333,53819.6666666667,2005.45296442688,"WA6 9QD","WA6","9QD","WA69QD"
15385,"WA60EB","E01018695","9E89103A-C20F-2C71-E053-A03BA40A7146","Playing Field",36331.8504999953,643.802,2,39060,26.4848484848485,"600-900m",311.126579409091,34959.0093227229,2.89393939393939,50690.5,2454.02951251648,"WA6 0EB","WA6","0EB","WA60EB"
15386,"WA66QJ","E01018688","9E8910AA-F222-2C71-E053-A03BA40A7146","Playing Field",7287.50259999922,162.78821,7,248512,23.6363636363636,"Less than or equal to 300m",211.818566075758,16324.0143265136,6.42424242424242,219563.96969697,1356.6921575199,"WA6 6QJ","WA6","6QJ","WA66QJ"
15387,"WA67PZ","E01018685","9E8910AA-E563-2C71-E053-A03BA40A7146","Playing Field",58615.7669000015,91.44397,4,113265,49.6785714285714,"Less than or equal to 300m",254.06628425,49756.3123392873,4.89285714285714,157390.178571429,2885.63563369652,"WA6 7PZ","WA6","7PZ","WA67PZ"
15388,"WA68EF","E01018698","9E891052-AEE7-2C71-E053-A03BA40A7146","Playing Field",25732.1377999952,211.81596,3,52165,13.9647887323944,"Less than or equal to 300m",356.683093932039,68334.6175587364,2.06796116504854,87764,679.12118982552,"WA6 8EF","WA6","8EF","WA68EF"
15389,"WA68HL","E01018698","9E8910AA-F631-2C71-E053-A03BA40A7146","Playing Field",14578.1605500023,293.83157,2,40310,13.9647887323944,"Less than or equal to 300m",356.683093932039,68334.6175587364,2.06796116504854,87764,540.997063387503,"WA6 8HL","WA6","8HL","WA68HL"
15390,"WA69AG","E01018696","9E8910AA-F54C-2C71-E053-A03BA40A7146","Playing Field",8157.1938500007,653.6765,2,25830,21.5652173913044,"600-900m",575.662368913044,10230.5660282628,1.73913043478261,22396.2898550725,1169.89451176051,"WA6 9AG","WA6","9AG","WA69AG"
19297,"WA66QL","E01018688","9E8910AA-F222-2C71-E053-A03BA40A7146","Playing Field",7287.50259999922,267.3275,7,248512,23.6363636363636,"Less than or equal to 300m",211.818566075758,16324.0143265136,6.42424242424242,219563.96969697,1356.6921575199,"WA6 6QL","WA6","6QL","WA66QL"
22582,"WA66RD","E01018689","9E8911C4-76F7-2C71-E053-A03BA40A7146","Playing Field",17474.9169999944,107.07941,6,189897,28.44,"Less than or equal to 300m",206.72202698,38196.4843589993,6.1,203770.4,2456.13287630403,"WA6 6RD","WA6","6RD","WA66RD"
25431,"WA66RA","E01018688","9E8911C4-76F7-2C71-E053-A03BA40A7146","Playing Field",17474.9169999944,196.1632,6,189897,23.6363636363636,"Less than or equal to 300m",211.818566075758,16324.0143265136,6.42424242424242,219563.96969697,2456.13287630403,"WA6 6RA","WA6","6RA","WA66RA"
25432,"WA67DA","E01018685","9E8910AA-E563-2C71-E053-A03BA40A7146","Playing Field",58615.7669000015,126.269554,3,76049,49.6785714285714,"Less than or equal to 300m",254.06628425,49756.3123392873,4.89285714285714,157390.178571429,2885.63563369652,"WA6 7DA","WA6","7DA","WA67DA"
25433,"WA69NL","E01018697","9E891096-2BCC-2C71-E053-A03BA40A7146","Playing Field",12929.9103000038,156.58864,3,51990,23.1466666666667,"Less than or equal to 300m",273.434089306667,16050.168993336,3.01333333333333,53819.6666666667,2005.45296442688,"WA6 9NL","WA6","9NL","WA69NL"
27960,"WA67FZ","E01018686","9E8910AA-E563-2C71-E053-A03BA40A7146","Playing Field",58615.7669000015,468.5691,5,130740,47.3225806451613,"300-600m",398.353148806451,53648.5155161303,2.64516129032258,85085.8709677419,2885.63563369652,"WA6 7FZ","WA6","7FZ","WA67FZ"
27961,"WA69LB","E01018696","9E8910AA-F54C-2C71-E053-A03BA40A7146","Playing Field",8157.1938500007,447.02124,1,8157,21.5652173913044,"300-600m",575.662368913044,10230.5660282628,1.73913043478261,22396.2898550725,1169.89451176051,"WA6 9LB","WA6","9LB","WA69LB"
30216,"WA68DB","E01018698","9E891052-AEE7-2C71-E053-A03BA40A7146","Playing Field",25732.1377999952,174.00287,3,52165,13.9647887323944,"Less than or equal to 300m",356.683093932039,68334.6175587364,2.06796116504854,87764,679.12118982552,"WA6 8DB","WA6","8DB","WA68DB"
32104,"WA66HA","E01018690","9E89103E-431B-2C71-E053-A03BA40A7146","Public Park Or Garden",4916.09054999893,817.71204,1,4916,17.327868852459,"600-900m",505.728023,118207.481358195,3.08196721311475,187640.918032787,484.866428076657,"WA6 6HA","WA6","6HA","WA66HA"
32105,"WA69PU","E01018696","9E891096-2BCC-2C71-E053-A03BA40A7146","Playing Field",12929.9103000038,525.3237,4,69663,21.5652173913044,"300-600m",575.662368913044,10230.5660282628,1.73913043478261,22396.2898550725,2005.45296442688,"WA6 9PU","WA6","9PU","WA69PU"
38624,"WA60DT","E01018695","9E89103A-C20F-2C71-E053-A03BA40A7146","Playing Field",36331.8504999953,330.94562,3,51990,26.4848484848485,"300-600m",311.126579409091,34959.0093227229,2.89393939393939,50690.5,2454.02951251648,"WA6 0DT","WA6","0DT","WA60DT"
51989,"WA60QS","E01018697","9E891096-2BCC-2C71-E053-A03BA40A7146","Playing Field",12929.9103000038,157.20369,3,51990,23.1466666666667,"Less than or equal to 300m",273.434089306667,16050.168993336,3.01333333333333,53819.6666666667,2005.45296442688,"WA6 0QS","WA6","0QS","WA60QS"
51990,"WA66RB","E01018688","9E8911C4-76F7-2C71-E053-A03BA40A7146","Playing Field",17474.9169999944,145.23085,6,189897,23.6363636363636,"Less than or equal to 300m",211.818566075758,16324.0143265136,6.42424242424242,219563.96969697,2456.13287630403,"WA6 6RB","WA6","6RB","WA66RB"
51991,"WA69PL","E01018696","9E891096-2BCC-2C71-E053-A03BA40A7146","Playing Field",12929.9103000038,680.0625,2,21087,21.5652173913044,"600-900m",575.662368913044,10230.5660282628,1.73913043478261,22396.2898550725,2005.45296442688,"WA6 9PL","WA6","9PL","WA69PL"
57082,"WA67EB","E01018688","9E8910B4-89F3-2C71-E053-A03BA40A7146","Public Park Or Garden",10146.3672000035,220.53117,7,248512,23.6363636363636,"Less than or equal to 300m",211.818566075758,16324.0143265136,6.42424242424242,219563.96969697,646.162987012987,"WA6 7EB","WA6","7EB","WA67EB"
57083,"WA69BA","E01018697","9E89103A-C20F-2C71-E053-A03BA40A7146","Playing Field",36331.8504999953,487.16733,4,69663,23.1466666666667,"300-600m",273.434089306667,16050.168993336,3.01333333333333,53819.6666666667,2454.02951251648,"WA6 9BA","WA6","9BA","WA69BA"
68592,"WA60HJ","E01018695","9E89103A-C20F-2C71-E053-A03BA40A7146","Playing Field",36331.8504999953,692.8925,2,39060,26.4848484848485,"600-900m",311.126579409091,34959.0093227229,2.89393939393939,50690.5,2454.02951251648,"WA6 0HJ","WA6","0HJ","WA60HJ"
68593,"WA66ED","E01018690","9E8910AA-F0BD-2C71-E053-A03BA40A7146","Public Park Or Garden",85956.3448500001,542.4067,3,135247,17.327868852459,"300-600m",505.728023,118207.481358195,3.08196721311475,187640.918032787,1092.87236959762,"WA6 6ED","WA6","6ED","WA66ED"
73864,"WA69LQ","E01018696","9E8910AA-F54C-2C71-E053-A03BA40A7146","Playing Field",8157.1938500007,188.3534,1,8157,21.5652173913044,"Less than or equal to 300m",575.662368913044,10230.5660282628,1.73913043478261,22396.2898550725,1169.89451176051,"WA6 9LQ","WA6","9LQ","WA69LQ"
73865,"WA69PN","E01018696","9E8910AA-F54C-2C71-E053-A03BA40A7146","Playing Field",8157.1938500007,677.8274,2,21087,21.5652173913044,"600-900m",575.662368913044,10230.5660282628,1.73913043478261,22396.2898550725,1169.89451176051,"WA6 9PN","WA6","9PN","WA69PN"
76039,"WA60BJ","E01018697","9E891096-2BCC-2C71-E053-A03BA40A7146","Playing Field",12929.9103000038,59.03389,3,51990,23.1466666666667,"Less than or equal to 300m",273.434089306667,16050.168993336,3.01333333333333,53819.6666666667,2005.45296442688,"WA6 0BJ","WA6","0BJ","WA60BJ"
79635,"WA60EX","E01018695","9E89103A-C20F-2C71-E053-A03BA40A7146","Playing Field",36331.8504999953,304.27783,3,51990,26.4848484848485,"300-600m",311.126579409091,34959.0093227229,2.89393939393939,50690.5,2454.02951251648,"WA6 0EX","WA6","0EX","WA60EX"
79636,"WA68AP","E01018698","9E8910AA-F631-2C71-E053-A03BA40A7146","Playing Field",14578.1605500023,234.0769,2,40310,13.9647887323944,"Less than or equal to 300m",356.683093932039,68334.6175587364,2.06796116504854,87764,540.997063387503,"WA6 8AP","WA6","8AP","WA68AP"
81093,"WA60BH","E01018697","9E891096-2BCC-2C71-E053-A03BA40A7146","Playing Field",12929.9103000038,122.0041,3,51990,23.1466666666667,"Less than or equal to 300m",273.434089306667,16050.168993336,3.01333333333333,53819.6666666667,2005.45296442688,"WA6 0BH","WA6","0BH","WA60BH"
81094,"WA67AU","E01018688","9E8910AA-F0BD-2C71-E053-A03BA40A7146","Public Park Or Garden",85956.3448500001,124.33825,6,189897,23.6363636363636,"Less than or equal to 300m",211.818566075758,16324.0143265136,6.42424242424242,219563.96969697,1092.87236959762,"WA6 7AU","WA6","7AU","WA67AU"
89299,"WA67HJ","E01018686","9E8910AA-F222-2C71-E053-A03BA40A7146","Playing Field",7287.50259999922,435.27692,6,216696,47.3225806451613,"300-600m",398.353148806451,53648.5155161303,2.64516129032258,85085.8709677419,1356.6921575199,"WA6 7HJ","WA6","7HJ","WA67HJ"
90498,"WA60ER","E01018695","9E89103A-C20F-2C71-E053-A03BA40A7146","Playing Field",36331.8504999953,464.31024,3,51990,26.4848484848485,"300-600m",311.126579409091,34959.0093227229,2.89393939393939,50690.5,2454.02951251648,"WA6 0ER","WA6","0ER","WA60ER"
90805,"WA60ED","E01018695","9E89103A-C20F-2C71-E053-A03BA40A7146","Playing Field",36331.8504999953,622.0129,2,39060,26.4848484848485,"600-900m",311.126579409091,34959.0093227229,2.89393939393939,50690.5,2454.02951251648,"WA6 0ED","WA6","0ED","WA60ED"
98227,"WA66RY","E01018689","9E8910AA-F0BD-2C71-E053-A03BA40A7146","Public Park Or Garden",85956.3448500001,68.47627,6,189897,28.44,"Less than or equal to 300m",206.72202698,38196.4843589993,6.1,203770.4,1092.87236959762,"WA6 6RY","WA6","6RY","WA66RY"
108068,"WA60DG","E01018695","9E89103A-C20F-2C71-E053-A03BA40A7146","Playing Field",36331.8504999953,128.65457,3,51990,26.4848484848485,"Less than or equal to 300m",311.126579409091,34959.0093227229,2.89393939393939,50690.5,2454.02951251648,"WA6 0DG","WA6","0DG","WA60DG"
108069,"WA67DH","E01018685","9E8910AA-E563-2C71-E053-A03BA40A7146","Playing Field",58615.7669000015,411.2578,6,216696,49.6785714285714,"300-600m",254.06628425,49756.3123392873,4.89285714285714,157390.178571429,2885.63563369652,"WA6 7DH","WA6","7DH","WA67DH"
111864,"WA66DR","E01018690","9E8910AA-F0BD-2C71-E053-A03BA40A7146","Public Park Or Garden",85956.3448500001,210.27838,4,172463,17.327868852459,"Less than or equal to 300m",505.728023,118207.481358195,3.08196721311475,187640.918032787,1092.87236959762,"WA6 6DR","WA6","6DR","WA66DR"
111865,"WA67LF","E01018688","9E8910AA-F222-2C71-E053-A03BA40A7146","Playing Field",7287.50259999922,342.06723,7,248512,23.6363636363636,"300-600m",211.818566075758,16324.0143265136,6.42424242424242,219563.96969697,1356.6921575199,"WA6 7LF","WA6","7LF","WA67LF"
115170,"WA60AU","E01018697","9E891096-2BCC-2C71-E053-A03BA40A7146","Playing Field",12929.9103000038,34.20526,3,51990,23.1466666666667,"Less than or equal to 300m",273.434089306667,16050.168993336,3.01333333333333,53819.6666666667,2005.45296442688,"WA6 0AU","WA6","0AU","WA60AU"
115171,"WA68EW","E01018698","9E891052-AD2F-2C71-E053-A03BA40A7146","Playing Field",11854.7360999996,410.2024,3,52165,13.9647887323944,"300-600m",356.683093932039,68334.6175587364,2.06796116504854,87764,251.366197183099,"WA6 8EW","WA6","8EW","WA68EW"
115172,"WA69QJ","E01018697","9E891096-2BCC-2C71-E053-A03BA40A7146","Playing Field",12929.9103000038,367.7839,3,51990,23.1466666666667,"300-600m",273.434089306667,16050.168993336,3.01333333333333,53819.6666666667,2005.45296442688,"WA6 9QJ","WA6","9QJ","WA69QJ"
118139,"WA66AE","E01018688","9E8911C4-76F7-2C71-E053-A03BA40A7146","Playing Field",17474.9169999944,147.67871,6,189897,23.6363636363636,"Less than or equal to 300m",211.818566075758,16324.0143265136,6.42424242424242,219563.96969697,2456.13287630403,"WA6 6AE","WA6","6AE","WA66AE"
118140,"WA66UW","E01018690","9E891038-59FB-2C71-E053-A03BA40A7146","Playing Field",31816.3304499978,202.52654,5,182609,17.327868852459,"Less than or equal to 300m",505.728023,118207.481358195,3.08196721311475,187640.918032787,80.4236065573771,"WA6 6UW","WA6","6UW","WA66UW"
120624,"WA67AL","E01018689","9E8910B4-89F3-2C71-E053-A03BA40A7146","Public Park Or Garden",10146.3672000035,171.95639,7,248512,28.44,"Less than or equal to 300m",206.72202698,38196.4843589993,6.1,203770.4,646.162987012987,"WA6 7AL","WA6","7AL","WA67AL"
124567,"WA66BL","E01018690","9E8911C4-76F7-2C71-E053-A03BA40A7146","Playing Field",17474.9169999944,260.0942,4,142535,17.327868852459,"Less than or equal to 300m",505.728023,118207.481358195,3.08196721311475,187640.918032787,2456.13287630403,"WA6 6BL","WA6","6BL","WA66BL"
