"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
5753,"WC1H0HJ","E01000852","9E8910B4-7B31-2C71-E053-A03BA40A7146","Public Park Or Garden",9203.59225000138,139.53136,16,131780,32.5737704918033,"Less than or equal to 300m",158.635199836066,11720.6292418027,14.5245901639344,409986.737704918,1510.65154037456,"WC1H 0HJ","WC1H","0HJ","WC1H0HJ"
5754,"WC1H8BG","E01000938","9E8910B4-7B2C-2C71-E053-A03BA40A7146","Public Park Or Garden",3168.85599999842,125.80143,22,168250,30.2769230769231,"Less than or equal to 300m",233.108618,2838.17490153723,21.5846153846154,156621.261538462,5557.1784152079,"WC1H 8BG","WC1H","8BG","WC1H8BG"
5755,"WC1H9AD","E01000942","9E8910BC-C021-2C71-E053-A03BA40A7146","Public Park Or Garden",5474.29949999901,171.94476,16,125999,27.1842105263158,"Less than or equal to 300m",175.700868618421,4522.32130591984,17.6578947368421,130458.578947368,4089.23221187296,"WC1H 9AD","WC1H","9AD","WC1H9AD"
10955,"WC1H8BP","E01000939","9E8910B4-7B2C-2C71-E053-A03BA40A7146","Public Park Or Garden",3168.85599999842,96.519424,17,131869,26.3103448275862,"Less than or equal to 300m",141.839018706897,3350.05304310181,19.7068965517241,148569.517241379,5557.1784152079,"WC1H 8BP","WC1H","8BP","WC1H8BP"
15412,"WC1H9GE","E01000942","9E8910B4-7B2C-2C71-E053-A03BA40A7146","Public Park Or Garden",3168.85599999842,214.00934,19,134175,27.1842105263158,"Less than or equal to 300m",175.700868618421,4522.32130591984,17.6578947368421,130458.578947368,5557.1784152079,"WC1H 9GE","WC1H","9GE","WC1H9GE"
19308,"WC1H8BZ","E01000941","9E8910B4-7B2C-2C71-E053-A03BA40A7146","Public Park Or Garden",3168.85599999842,162.79128,16,128131,33.2142857142857,"Less than or equal to 300m",141.476209261905,4342.45228809351,16.7380952380952,127894.071428571,5557.1784152079,"WC1H 8BZ","WC1H","8BZ","WC1H8BZ"
22591,"WC1H8DB","E01000941","9E8910B4-7B2C-2C71-E053-A03BA40A7146","Public Park Or Garden",3168.85599999842,169.1183,17,130690,33.2142857142857,"Less than or equal to 300m",141.476209261905,4342.45228809351,16.7380952380952,127894.071428571,5557.1784152079,"WC1H 8DB","WC1H","8DB","WC1H8DB"
25446,"WC1H0LP","E01000855","9E8910B4-7B4A-2C71-E053-A03BA40A7146","Public Park Or Garden",24816.7296499958,97.00516,14,129529,11.4117647058824,"Less than or equal to 300m",258.298863934641,20783.1724084932,13.202614379085,134649.816993464,4319.0896236926,"WC1H 0LP","WC1H","0LP","WC1H0LP"
52014,"WC1H8LG","E01000939","9E8910B4-7B2C-2C71-E053-A03BA40A7146","Public Park Or Garden",3168.85599999842,158.11388,19,142204,26.3103448275862,"Less than or equal to 300m",141.839018706897,3350.05304310181,19.7068965517241,148569.517241379,5557.1784152079,"WC1H 8LG","WC1H","8LG","WC1H8LG"
57105,"WC1H8LJ","E01000939","9E8910B4-7B2C-2C71-E053-A03BA40A7146","Public Park Or Garden",3168.85599999842,172.58621,20,142699,26.3103448275862,"Less than or equal to 300m",141.839018706897,3350.05304310181,19.7068965517241,148569.517241379,5557.1784152079,"WC1H 8LJ","WC1H","8LJ","WC1H8LJ"
