"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
5773,"WC2N6LU","E01004734","9E8910B4-7F2A-2C71-E053-A03BA40A7146","Public Park Or Garden",39345.0072499979,62.425957,11,342911,3.62669245647969,"Less than or equal to 300m",278.552323413927,6907.99853868454,9.41392649903288,393111.891682785,959.586939190402,"WC2N 6LU","WC2N","6LU","WC2N6LU"
19314,"WC2N5NF","E01004736","9E8910B4-7F2A-2C71-E053-A03BA40A7146","Public Park Or Garden",39345.0072499979,120.66897,9,303257,5.29032258064516,"Less than or equal to 300m",234.512734463441,84962.065248117,10.2069892473118,835395.440860215,959.586939190402,"WC2N 5NF","WC2N","5NF","WC2N5NF"
19315,"WC2N6DF","E01004734","9E8910B4-7F2A-2C71-E053-A03BA40A7146","Public Park Or Garden",39345.0072499979,33.83785,10,339906,3.62669245647969,"Less than or equal to 300m",278.552323413927,6907.99853868454,9.41392649903288,393111.891682785,959.586939190402,"WC2N 6DF","WC2N","6DF","WC2N6DF"
25449,"WC2N6BY","E01004734","9E8910B4-7F2A-2C71-E053-A03BA40A7146","Public Park Or Garden",39345.0072499979,56.0803,9,330535,3.62669245647969,"Less than or equal to 300m",278.552323413927,6907.99853868454,9.41392649903288,393111.891682785,959.586939190402,"WC2N 6BY","WC2N","6BY","WC2N6BY"
61507,"WC2N4AL","E01004734","9E8911BE-3E3D-2C71-E053-A03BA40A7146","Public Park Or Garden",1521.59600000013,239.17567,9,332500,3.62669245647969,"Less than or equal to 300m",278.552323413927,6907.99853868454,9.41392649903288,393111.891682785,2574.24108031022,"WC2N 4AL","WC2N","4AL","WC2N4AL"
65294,"WC2N5BW","E01004736","9E8910B4-7F2A-2C71-E053-A03BA40A7146","Public Park Or Garden",39345.0072499979,267.32938,10,490926,5.29032258064516,"Less than or equal to 300m",234.512734463441,84962.065248117,10.2069892473118,835395.440860215,959.586939190402,"WC2N 5BW","WC2N","5BW","WC2N5BW"
65295,"WC2N6JN","E01004734","9E8910B4-7F2A-2C71-E053-A03BA40A7146","Public Park Or Garden",39345.0072499979,44.777225,10,339906,3.62669245647969,"Less than or equal to 300m",278.552323413927,6907.99853868454,9.41392649903288,393111.891682785,959.586939190402,"WC2N 6JN","WC2N","6JN","WC2N6JN"
65296,"WC2N6LS","E01004734","9E8910B4-7F2A-2C71-E053-A03BA40A7146","Public Park Or Garden",39345.0072499979,22.472204,10,339906,3.62669245647969,"Less than or equal to 300m",278.552323413927,6907.99853868454,9.41392649903288,393111.891682785,959.586939190402,"WC2N 6LS","WC2N","6LS","WC2N6LS"
98261,"WC2N4AJ","E01004734","9E8911BE-3E3D-2C71-E053-A03BA40A7146","Public Park Or Garden",1521.59600000013,252.23996,9,332500,3.62669245647969,"Less than or equal to 300m",278.552323413927,6907.99853868454,9.41392649903288,393111.891682785,2574.24108031022,"WC2N 4AJ","WC2N","4AJ","WC2N4AJ"
98262,"WC2N4BY","E01004734","9E8911BE-3E3D-2C71-E053-A03BA40A7146","Public Park Or Garden",1521.59600000013,111.220505,11,338056,3.62669245647969,"Less than or equal to 300m",278.552323413927,6907.99853868454,9.41392649903288,393111.891682785,2574.24108031022,"WC2N 4BY","WC2N","4BY","WC2N4BY"
98263,"WC2N6EG","E01004734","9E8910B4-7F2A-2C71-E053-A03BA40A7146","Public Park Or Garden",39345.0072499979,52.23983,10,339906,3.62669245647969,"Less than or equal to 300m",278.552323413927,6907.99853868454,9.41392649903288,393111.891682785,959.586939190402,"WC2N 6EG","WC2N","6EG","WC2N6EG"
