"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"WD11AA",-0.424507,51.64862,301.3691,21999.46,"81B3347F-2D11-33F1-E053-A03BA40A2BEA","375F0515-0C9D-4ABE-8729-D93ABAD56B9D","WD1","1AA",51.6461,-0.4228814
"WD11AB",-0.396595,51.66377,651.9703,708.4825,"81B33305-979C-33F1-E053-A03BA40A2BEA","5131D9B4-895D-4B7C-8971-42400A2955AC","WD1","1AB",51.66963,-0.3968799
"WD11AD",-0.395513,51.66248,800.7953,708.4825,"81B33305-979C-33F1-E053-A03BA40A2BEA","5131D9B4-895D-4B7C-8971-42400A2955AC","WD1","1AD",51.66963,-0.3968799
"WD11AE",-0.395513,51.66248,800.7953,708.4825,"81B33305-979C-33F1-E053-A03BA40A2BEA","5131D9B4-895D-4B7C-8971-42400A2955AC","WD1","1AE",51.66963,-0.3968799
"WD11AF",-0.424507,51.64862,301.3691,21999.46,"81B3347F-2D11-33F1-E053-A03BA40A2BEA","375F0515-0C9D-4ABE-8729-D93ABAD56B9D","WD1","1AF",51.6461,-0.4228814
"WD11AG",-0.395513,51.66248,800.7953,708.4825,"81B33305-979C-33F1-E053-A03BA40A2BEA","5131D9B4-895D-4B7C-8971-42400A2955AC","WD1","1AG",51.66963,-0.3968799
"WD11AH",-0.395513,51.66248,800.7953,708.4825,"81B33305-979C-33F1-E053-A03BA40A2BEA","5131D9B4-895D-4B7C-8971-42400A2955AC","WD1","1AH",51.66963,-0.3968799
"WD11AJ",-0.395513,51.66248,800.7953,708.4825,"81B33305-979C-33F1-E053-A03BA40A2BEA","5131D9B4-895D-4B7C-8971-42400A2955AC","WD1","1AJ",51.66963,-0.3968799
"WD11AL",-0.390482,51.66328,688.523,15121.5,"81B33479-A8F3-33F1-E053-A03BA40A2BEA","35560B3F-EA1B-459E-BFEE-F38CAD86A483","WD1","1AL",51.65861,-0.3839282
"WD11AN",-0.391709,51.66414,706.6719,708.4825,"81B33305-979C-33F1-E053-A03BA40A2BEA","5131D9B4-895D-4B7C-8971-42400A2955AC","WD1","1AN",51.66963,-0.3968799
"WD11AP",-0.398796,51.66367,675.4025,708.4825,"81B33305-979C-33F1-E053-A03BA40A2BEA","5131D9B4-895D-4B7C-8971-42400A2955AC","WD1","1AP",51.66963,-0.3968799
"WD11AQ",-0.395513,51.66248,800.7953,708.4825,"81B33305-979C-33F1-E053-A03BA40A2BEA","5131D9B4-895D-4B7C-8971-42400A2955AC","WD1","1AQ",51.66963,-0.3968799
"WD11AR",-0.390709,51.66299,674.9662,15121.5,"81B33479-A8F3-33F1-E053-A03BA40A2BEA","35560B3F-EA1B-459E-BFEE-F38CAD86A483","WD1","1AR",51.65861,-0.3839282
"WD11AS",-0.392265,51.66314,764.0556,15121.5,"81B33479-A8F3-33F1-E053-A03BA40A2BEA","35560B3F-EA1B-459E-BFEE-F38CAD86A483","WD1","1AS",51.65861,-0.3839282
"WD11AT",-0.398796,51.66367,675.4025,708.4825,"81B33305-979C-33F1-E053-A03BA40A2BEA","5131D9B4-895D-4B7C-8971-42400A2955AC","WD1","1AT",51.66963,-0.3968799
"WD11AU",-0.395442,51.66244,805.4693,708.4825,"81B33305-979C-33F1-E053-A03BA40A2BEA","5131D9B4-895D-4B7C-8971-42400A2955AC","WD1","1AU",51.66963,-0.3968799
"WD11AW",-0.392015,51.66368,741.7875,708.4825,"81B33305-979C-33F1-E053-A03BA40A2BEA","5131D9B4-895D-4B7C-8971-42400A2955AC","WD1","1AW",51.66963,-0.3968799
"WD11AX",-0.391605,51.66342,752.0342,15121.5,"81B33479-A8F3-33F1-E053-A03BA40A2BEA","35560B3F-EA1B-459E-BFEE-F38CAD86A483","WD1","1AX",51.65861,-0.3839282
"WD11AY",-0.395442,51.66244,805.4693,708.4825,"81B33305-979C-33F1-E053-A03BA40A2BEA","5131D9B4-895D-4B7C-8971-42400A2955AC","WD1","1AY",51.66963,-0.3968799
"WD11AZ",-0.396595,51.66377,651.9703,708.4825,"81B33305-979C-33F1-E053-A03BA40A2BEA","5131D9B4-895D-4B7C-8971-42400A2955AC","WD1","1AZ",51.66963,-0.3968799
