"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"WF41AA",-1.417162,53.66642,724.2526,26093.79,"81B332FC-B45B-33F1-E053-A03BA40A2BEA","060E2BBD-3FBB-4A4C-AE63-BD94B3A89E5F","WF4","1AA",53.66594,-1.406199
"WF41AB",-1.388208,53.651,265.9071,163443.1,"81B33330-1EB1-33F1-E053-A03BA40A2BEA","4769741E-8C2E-4C66-AC01-AC8A12D9A925","WF4","1AB",53.65322,-1.389698
"WF41AD",-1.416167,53.66616,657.175,26093.79,"81B332FC-B45B-33F1-E053-A03BA40A2BEA","060E2BBD-3FBB-4A4C-AE63-BD94B3A89E5F","WF4","1AD",53.66594,-1.406199
"WF41AE",-1.417068,53.66558,717.1594,26093.79,"81B332FC-B45B-33F1-E053-A03BA40A2BEA","060E2BBD-3FBB-4A4C-AE63-BD94B3A89E5F","WF4","1AE",53.66594,-1.406199
"WF41AF",-1.415631,53.66768,650.9955,26093.79,"81B332FC-B45B-33F1-E053-A03BA40A2BEA","060E2BBD-3FBB-4A4C-AE63-BD94B3A89E5F","WF4","1AF",53.66594,-1.406199
"WF41AG",-1.415453,53.66854,675.105,26093.79,"81B332FC-B45B-33F1-E053-A03BA40A2BEA","060E2BBD-3FBB-4A4C-AE63-BD94B3A89E5F","WF4","1AG",53.66594,-1.406199
"WF41AH",-1.413422,53.6687,566.717,26093.79,"81B332FC-B45B-33F1-E053-A03BA40A2BEA","060E2BBD-3FBB-4A4C-AE63-BD94B3A89E5F","WF4","1AH",53.66594,-1.406199
"WF41AJ",-1.414219,53.66911,635.5768,26093.79,"81B332FC-B45B-33F1-E053-A03BA40A2BEA","060E2BBD-3FBB-4A4C-AE63-BD94B3A89E5F","WF4","1AJ",53.66594,-1.406199
"WF41AL",-1.413409,53.67074,715.2451,26093.79,"81B332FC-B45B-33F1-E053-A03BA40A2BEA","060E2BBD-3FBB-4A4C-AE63-BD94B3A89E5F","WF4","1AL",53.66594,-1.406199
"WF41AN",-1.425463,53.65267,923.7282,627208.1,"81B33330-1EB5-33F1-E053-A03BA40A2BEA","17C787B0-CB3E-4455-944C-5A46DE01F6F9","WF4","1AN",53.64439,-1.42436
"WF41AP",-1.414086,53.66994,684.1849,26093.79,"81B332FC-B45B-33F1-E053-A03BA40A2BEA","060E2BBD-3FBB-4A4C-AE63-BD94B3A89E5F","WF4","1AP",53.66594,-1.406199
"WF41AQ",-1.414645,53.66893,648.6963,26093.79,"81B332FC-B45B-33F1-E053-A03BA40A2BEA","060E2BBD-3FBB-4A4C-AE63-BD94B3A89E5F","WF4","1AQ",53.66594,-1.406199
"WF41AR",-1.412693,53.66996,618.9966,26093.79,"81B332FC-B45B-33F1-E053-A03BA40A2BEA","060E2BBD-3FBB-4A4C-AE63-BD94B3A89E5F","WF4","1AR",53.66594,-1.406199
"WF41AS",-1.412662,53.66893,540.1484,26093.79,"81B332FC-B45B-33F1-E053-A03BA40A2BEA","060E2BBD-3FBB-4A4C-AE63-BD94B3A89E5F","WF4","1AS",53.66594,-1.406199
"WF41AT",-1.411706,53.66914,508.1796,26093.79,"81B332FC-B45B-33F1-E053-A03BA40A2BEA","060E2BBD-3FBB-4A4C-AE63-BD94B3A89E5F","WF4","1AT",53.66594,-1.406199
"WF41AU",-1.413679,53.66986,657.9021,26093.79,"81B332FC-B45B-33F1-E053-A03BA40A2BEA","060E2BBD-3FBB-4A4C-AE63-BD94B3A89E5F","WF4","1AU",53.66594,-1.406199
"WF41AW",-1.437499,53.65878,620.5882,781345.2,"81B33479-E7E7-33F1-E053-A03BA40A2BEA","024B840D-C45B-4992-BCE3-86A15DBD5103","WF4","1AW",53.65658,-1.446155
"WF41AX",-1.415697,53.66951,741.0197,26093.79,"81B332FC-B45B-33F1-E053-A03BA40A2BEA","060E2BBD-3FBB-4A4C-AE63-BD94B3A89E5F","WF4","1AX",53.66594,-1.406199
"WF41AY",-1.415421,53.66971,738.5109,26093.79,"81B332FC-B45B-33F1-E053-A03BA40A2BEA","060E2BBD-3FBB-4A4C-AE63-BD94B3A89E5F","WF4","1AY",53.66594,-1.406199
"WF41AZ",-1.416319,53.66826,715.027,26093.79,"81B332FC-B45B-33F1-E053-A03BA40A2BEA","060E2BBD-3FBB-4A4C-AE63-BD94B3A89E5F","WF4","1AZ",53.66594,-1.406199
"WF41BA",-1.417396,53.66921,822.5422,26093.79,"81B332FC-B45B-33F1-E053-A03BA40A2BEA","060E2BBD-3FBB-4A4C-AE63-BD94B3A89E5F","WF4","1BA",53.66594,-1.406199
