"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
5868,"WF50BA","E01011832","9E89108D-07B8-2C71-E053-A03BA40A7146","Playing Field",31370.9960000051,52.83938,9,210269,36.0731707317073,"Less than or equal to 300m",154.179874170732,30561.5954487789,11.9024390243902,250478.121951219,726.837385788718,"WF5 0BA","WF5","0BA","WF50BA"
5869,"WF50PU","E01011827","9E89108C-FB4F-2C71-E053-A03BA40A7146","Playing Field",50022.3150499992,399.4396,13,263156,36.0606060606061,"300-600m",296.235422787879,58771.4863287865,7.87878787878788,334919.424242424,1411.94166359956,"WF5 0PU","WF5","0PU","WF50PU"
5870,"WF58AG","E01011832","9E8911C4-4A76-2C71-E053-A03BA40A7146","Public Park Or Garden",3719.23625000136,168.07439,12,240598,36.0731707317073,"Less than or equal to 300m",154.179874170732,30561.5954487789,11.9024390243902,250478.121951219,658.035647279549,"WF5 8AG","WF5","8AG","WF58AG"
5871,"WF59PH","E01011824","9E891045-5768-2C71-E053-A03BA40A7146","Public Park Or Garden",1142.99669999994,445.5334,7,108160,49,"300-600m",410.31162,6408.12577878717,6.15151515151515,81808.696969697,2485.49160134379,"WF5 9PH","WF5","9PH","WF59PH"
11040,"WF50BJ","E01011796","9E89108D-07B8-2C71-E053-A03BA40A7146","Playing Field",31370.9960000051,114.21471,9,210269,42.3947368421053,"Less than or equal to 300m",156.442619131579,14290.9742355266,8.8421052631579,204382.815789474,726.837385788718,"WF5 0BJ","WF5","0BJ","WF50BJ"
11041,"WF58DH","E01011831","9E89103C-C0B2-2C71-E053-A03BA40A7146","Public Park Or Garden",3900.83669999955,58.463665,8,87017,39.093023255814,"Less than or equal to 300m",214.596765139535,8757.64827906888,8.93023255813953,115911.395348837,1090.15698082415,"WF5 8DH","WF5","8DH","WF58DH"
11042,"WF58RN","E01011830","9E89108C-F7C2-2C71-E053-A03BA40A7146","Playing Field",17343.4334499969,29.410883,12,194464,21.7692307692308,"Less than or equal to 300m",174.464926,11913.4710646146,11.8,220382.923076923,1232.84897869572,"WF5 8RN","WF5","8RN","WF58RN"
11043,"WF59NU","E01011824","9E891045-5768-2C71-E053-A03BA40A7146","Public Park Or Garden",1142.99669999994,569.45325,7,61294,49,"300-600m",410.31162,6408.12577878717,6.15151515151515,81808.696969697,2485.49160134379,"WF5 9NU","WF5","9NU","WF59NU"
19370,"WF58HH","E01011831","9E89108C-F051-2C71-E053-A03BA40A7146","Public Park Or Garden",1058.45170000064,196.59604,9,93115,39.093023255814,"Less than or equal to 300m",214.596765139535,8757.64827906888,8.93023255813953,115911.395348837,1192.30754919499,"WF5 8HH","WF5","8HH","WF58HH"
22638,"WF50EJ","E01011795","9E89108D-0958-2C71-E053-A03BA40A7146","Playing Field",22558.0114999999,380.78867,7,376435,39.3529411764706,"300-600m",217.0211195,31479.8501970567,9.58823529411765,292837.352941176,2766.25562561353,"WF5 0EJ","WF5","0EJ","WF50EJ"
