"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"WR12LB",-2.220734,52.18943,197.4029,6276.114,"81B3334D-DF1F-33F1-E053-A03BA40A2BEA","F35BD55F-706F-4FC6-B066-76B64F1DEE84","WR1","2LB",52.19092,-2.222306
"WR12LD",-2.221187,52.18942,183.402,6276.114,"81B3334D-DF1F-33F1-E053-A03BA40A2BEA","F35BD55F-706F-4FC6-B066-76B64F1DEE84","WR1","2LD",52.19092,-2.222306
"WR12LE",-2.219365,52.18764,247.2164,21194.16,"81B3334D-DF46-33F1-E053-A03BA40A2BEA","E32BCF6E-7921-42A0-9179-974B18463909","WR1","2LE",52.18751,-2.215745
"WR12LF",-2.216951,52.19667,710.4659,6276.114,"81B3334D-DF1F-33F1-E053-A03BA40A2BEA","BDFD4768-8D58-4985-9DBE-E825332107DA","WR1","2LF",52.19132,-2.222654
"WR12LG",-2.219442,52.18854,276.7563,21194.16,"81B3334D-DF46-33F1-E053-A03BA40A2BEA","E32BCF6E-7921-42A0-9179-974B18463909","WR1","2LG",52.18751,-2.215745
"WR12LH",-2.22147,52.18737,390.6343,21194.16,"81B3334D-DF46-33F1-E053-A03BA40A2BEA","E32BCF6E-7921-42A0-9179-974B18463909","WR1","2LH",52.18751,-2.215745
"WR12LJ",-2.219848,52.18777,281.2508,21194.16,"81B3334D-DF46-33F1-E053-A03BA40A2BEA","E32BCF6E-7921-42A0-9179-974B18463909","WR1","2LJ",52.18751,-2.215745
"WR12LL",-2.220593,52.18754,330.5292,21194.16,"81B3334D-DF46-33F1-E053-A03BA40A2BEA","E32BCF6E-7921-42A0-9179-974B18463909","WR1","2LL",52.18751,-2.215745
"WR12LN",-2.220886,52.18756,350.5243,21194.16,"81B3334D-DF46-33F1-E053-A03BA40A2BEA","E32BCF6E-7921-42A0-9179-974B18463909","WR1","2LN",52.18751,-2.215745
"WR12LP",-2.22229,52.18763,365.0497,6276.114,"81B3334D-DF1F-33F1-E053-A03BA40A2BEA","F35BD55F-706F-4FC6-B066-76B64F1DEE84","WR1","2LP",52.19092,-2.222306
"WR12LQ",-2.220832,52.18854,283.1757,6276.114,"81B3334D-DF1F-33F1-E053-A03BA40A2BEA","F35BD55F-706F-4FC6-B066-76B64F1DEE84","WR1","2LQ",52.19092,-2.222306
"WR12LR",-2.219027,52.18825,238.2155,21194.16,"81B3334D-DF46-33F1-E053-A03BA40A2BEA","E32BCF6E-7921-42A0-9179-974B18463909","WR1","2LR",52.18751,-2.215745
"WR12LS",-2.219282,52.18869,274.5786,21194.16,"81B3334D-DF46-33F1-E053-A03BA40A2BEA","E32BCF6E-7921-42A0-9179-974B18463909","WR1","2LS",52.18751,-2.215745
"WR12LT",-2.219135,52.18851,256.5246,21194.16,"81B3334D-DF46-33F1-E053-A03BA40A2BEA","E32BCF6E-7921-42A0-9179-974B18463909","WR1","2LT",52.18751,-2.215745
"WR12LU",-2.219358,52.18922,275.5074,6276.114,"81B3334D-DF1F-33F1-E053-A03BA40A2BEA","F35BD55F-706F-4FC6-B066-76B64F1DEE84","WR1","2LU",52.19092,-2.222306
"WR12LW",-2.22229,52.18763,365.0497,6276.114,"81B3334D-DF1F-33F1-E053-A03BA40A2BEA","F35BD55F-706F-4FC6-B066-76B64F1DEE84","WR1","2LW",52.19092,-2.222306
"WR12LX",-2.220832,52.18854,283.1757,6276.114,"81B3334D-DF1F-33F1-E053-A03BA40A2BEA","F35BD55F-706F-4FC6-B066-76B64F1DEE84","WR1","2LX",52.19092,-2.222306
"WR12LY",-2.219607,52.18937,252.1729,6276.114,"81B3334D-DF1F-33F1-E053-A03BA40A2BEA","F35BD55F-706F-4FC6-B066-76B64F1DEE84","WR1","2LY",52.19092,-2.222306
"WR12LZ",-2.219028,52.19047,228.8599,6276.114,"81B3334D-DF1F-33F1-E053-A03BA40A2BEA","F35BD55F-706F-4FC6-B066-76B64F1DEE84","WR1","2LZ",52.19092,-2.222306
"WR12NA",-2.218598,52.18936,274.5402,21194.16,"81B3334D-DF46-33F1-E053-A03BA40A2BEA","CCACC4B6-E22D-4CA2-B166-65F050E4F48D","WR1","2NA",52.18811,-2.215124
"WR12NB",-2.21973,52.18758,271.7787,21194.16,"81B3334D-DF46-33F1-E053-A03BA40A2BEA","E32BCF6E-7921-42A0-9179-974B18463909","WR1","2NB",52.18751,-2.215745
"WR12ND",-2.219446,52.18717,255.2225,21194.16,"81B3334D-DF46-33F1-E053-A03BA40A2BEA","E32BCF6E-7921-42A0-9179-974B18463909","WR1","2ND",52.18751,-2.215745
"WR12NE",-2.219035,52.18684,236.2488,21194.16,"81B3334D-DF46-33F1-E053-A03BA40A2BEA","E32BCF6E-7921-42A0-9179-974B18463909","WR1","2NE",52.18751,-2.215745
"WR12NF",-2.222254,52.18626,465.0784,21194.16,"81B3334D-DF46-33F1-E053-A03BA40A2BEA","E32BCF6E-7921-42A0-9179-974B18463909","WR1","2NF",52.18751,-2.215745
"WR12NG",-2.221852,52.1856,467.5425,21194.16,"81B3334D-DF46-33F1-E053-A03BA40A2BEA","E32BCF6E-7921-42A0-9179-974B18463909","WR1","2NG",52.18751,-2.215745
"WR12NH",-2.220258,52.18573,366.1478,21194.16,"81B3334D-DF46-33F1-E053-A03BA40A2BEA","E32BCF6E-7921-42A0-9179-974B18463909","WR1","2NH",52.18751,-2.215745
"WR12NJ",-2.221756,52.18617,436.0889,21194.16,"81B3334D-DF46-33F1-E053-A03BA40A2BEA","E32BCF6E-7921-42A0-9179-974B18463909","WR1","2NJ",52.18751,-2.215745
"WR12NL",-2.221367,52.18519,461.8309,21194.16,"81B3334D-DF46-33F1-E053-A03BA40A2BEA","E32BCF6E-7921-42A0-9179-974B18463909","WR1","2NL",52.18751,-2.215745
"WR12NN",-2.217896,52.18941,238.2491,21194.16,"81B3334D-DF46-33F1-E053-A03BA40A2BEA","CCACC4B6-E22D-4CA2-B166-65F050E4F48D","WR1","2NN",52.18811,-2.215124
"WR12NP",-2.220319,52.18545,386.7983,21194.16,"81B3334D-DF46-33F1-E053-A03BA40A2BEA","E32BCF6E-7921-42A0-9179-974B18463909","WR1","2NP",52.18751,-2.215745
"WR12NQ",-2.221384,52.18557,440.7778,21194.16,"81B3334D-DF46-33F1-E053-A03BA40A2BEA","E32BCF6E-7921-42A0-9179-974B18463909","WR1","2NQ",52.18751,-2.215745
"WR12NR",-2.221279,52.18431,518.6903,21194.16,"81B3334D-DF46-33F1-E053-A03BA40A2BEA","E32BCF6E-7921-42A0-9179-974B18463909","WR1","2NR",52.18751,-2.215745
"WR12NS",-2.222478,52.18504,535.0364,21194.16,"81B3334D-DF46-33F1-E053-A03BA40A2BEA","E32BCF6E-7921-42A0-9179-974B18463909","WR1","2NS",52.18751,-2.215745
"WR12NT",-2.218565,52.18856,224.7628,21194.16,"81B3334D-DF46-33F1-E053-A03BA40A2BEA","E32BCF6E-7921-42A0-9179-974B18463909","WR1","2NT",52.18751,-2.215745
"WR12NU",-2.219533,52.18624,294.5581,21194.16,"81B3334D-DF46-33F1-E053-A03BA40A2BEA","E32BCF6E-7921-42A0-9179-974B18463909","WR1","2NU",52.18751,-2.215745
"WR12NW",-2.220225,52.18486,424.2504,21194.16,"81B3334D-DF46-33F1-E053-A03BA40A2BEA","E32BCF6E-7921-42A0-9179-974B18463909","WR1","2NW",52.18751,-2.215745
"WR12NX",-2.218936,52.18763,217.93,21194.16,"81B3334D-DF46-33F1-E053-A03BA40A2BEA","E32BCF6E-7921-42A0-9179-974B18463909","WR1","2NX",52.18751,-2.215745
"WR12NY",-2.219528,52.18515,368.107,21194.16,"81B3334D-DF46-33F1-E053-A03BA40A2BEA","E32BCF6E-7921-42A0-9179-974B18463909","WR1","2NY",52.18751,-2.215745
"WR12NZ",-2.218672,52.18736,200.2911,21194.16,"81B3334D-DF46-33F1-E053-A03BA40A2BEA","E32BCF6E-7921-42A0-9179-974B18463909","WR1","2NZ",52.18751,-2.215745
"WR12PA",-2.214352,52.19472,674.2993,6276.114,"81B3334D-DF1F-33F1-E053-A03BA40A2BEA","3257E46C-9732-4572-B1F9-1DE4C70DE7E3","WR1","2PA",52.19124,-2.222462
"WR12PB",-2.214592,52.19579,736.7356,6276.114,"81B3334D-DF1F-33F1-E053-A03BA40A2BEA","3257E46C-9732-4572-B1F9-1DE4C70DE7E3","WR1","2PB",52.19124,-2.222462
"WR12PD",-2.217722,52.18673,160.0478,21194.16,"81B3334D-DF46-33F1-E053-A03BA40A2BEA","E32BCF6E-7921-42A0-9179-974B18463909","WR1","2PD",52.18751,-2.215745
"WR12PE",-2.217911,52.18654,183.137,21194.16,"81B3334D-DF46-33F1-E053-A03BA40A2BEA","E32BCF6E-7921-42A0-9179-974B18463909","WR1","2PE",52.18751,-2.215745
"WR12PF",-2.215058,52.19543,686.2104,6276.114,"81B3334D-DF1F-33F1-E053-A03BA40A2BEA","3257E46C-9732-4572-B1F9-1DE4C70DE7E3","WR1","2PF",52.19124,-2.222462
"WR12PG",-2.218144,52.18634,209.1334,21194.16,"81B3334D-DF46-33F1-E053-A03BA40A2BEA","E32BCF6E-7921-42A0-9179-974B18463909","WR1","2PG",52.18751,-2.215745
"WR12PH",-2.219208,52.18623,275.6254,21194.16,"81B3334D-DF46-33F1-E053-A03BA40A2BEA","E32BCF6E-7921-42A0-9179-974B18463909","WR1","2PH",52.18751,-2.215745
"WR12PJ",-2.217636,52.18714,135.3712,21194.16,"81B3334D-DF46-33F1-E053-A03BA40A2BEA","E32BCF6E-7921-42A0-9179-974B18463909","WR1","2PJ",52.18751,-2.215745
"WR12PL",-2.219145,52.19347,335.6937,6276.114,"81B3334D-DF1F-33F1-E053-A03BA40A2BEA","3257E46C-9732-4572-B1F9-1DE4C70DE7E3","WR1","2PL",52.19124,-2.222462
"WR12PN",-2.219407,52.19325,305.1944,6276.114,"81B3334D-DF1F-33F1-E053-A03BA40A2BEA","3257E46C-9732-4572-B1F9-1DE4C70DE7E3","WR1","2PN",52.19124,-2.222462
"WR12PP",-2.218752,52.18586,274.9007,21194.16,"81B3334D-DF46-33F1-E053-A03BA40A2BEA","E32BCF6E-7921-42A0-9179-974B18463909","WR1","2PP",52.18751,-2.215745
"WR12PQ",-2.220719,52.1931,237.4022,6276.114,"81B3334D-DF1F-33F1-E053-A03BA40A2BEA","BDFD4768-8D58-4985-9DBE-E825332107DA","WR1","2PQ",52.19132,-2.222654
"WR12PS",-2.220382,52.19294,235.7169,6276.114,"81B3334D-DF1F-33F1-E053-A03BA40A2BEA","3257E46C-9732-4572-B1F9-1DE4C70DE7E3","WR1","2PS",52.19124,-2.222462
"WR12PT",-2.220078,52.19288,243.9688,6276.114,"81B3334D-DF1F-33F1-E053-A03BA40A2BEA","3257E46C-9732-4572-B1F9-1DE4C70DE7E3","WR1","2PT",52.19124,-2.222462
"WR12PU",-2.220371,52.19294,236.6122,6276.114,"81B3334D-DF1F-33F1-E053-A03BA40A2BEA","3257E46C-9732-4572-B1F9-1DE4C70DE7E3","WR1","2PU",52.19124,-2.222462
"WR12PW",-2.219768,52.19315,280.0487,6276.114,"81B3334D-DF1F-33F1-E053-A03BA40A2BEA","3257E46C-9732-4572-B1F9-1DE4C70DE7E3","WR1","2PW",52.19124,-2.222462
"WR12PX",-2.22085,52.19213,147.7655,6276.114,"81B3334D-DF1F-33F1-E053-A03BA40A2BEA","3257E46C-9732-4572-B1F9-1DE4C70DE7E3","WR1","2PX",52.19124,-2.222462
"WR12PY",-2.220633,52.19274,208.283,6276.114,"81B3334D-DF1F-33F1-E053-A03BA40A2BEA","3257E46C-9732-4572-B1F9-1DE4C70DE7E3","WR1","2PY",52.19124,-2.222462
"WR12PZ",-2.22085,52.19213,147.7655,6276.114,"81B3334D-DF1F-33F1-E053-A03BA40A2BEA","3257E46C-9732-4572-B1F9-1DE4C70DE7E3","WR1","2PZ",52.19124,-2.222462
"WR12QA",-2.220805,52.19268,195.1782,6276.114,"81B3334D-DF1F-33F1-E053-A03BA40A2BEA","3257E46C-9732-4572-B1F9-1DE4C70DE7E3","WR1","2QA",52.19124,-2.222462
"WR12QB",-2.220582,52.19205,156.1562,6276.114,"81B3334D-DF1F-33F1-E053-A03BA40A2BEA","3257E46C-9732-4572-B1F9-1DE4C70DE7E3","WR1","2QB",52.19124,-2.222462
"WR12QD",-2.220512,52.19178,145.7842,6276.114,"81B3334D-DF1F-33F1-E053-A03BA40A2BEA","3257E46C-9732-4572-B1F9-1DE4C70DE7E3","WR1","2QD",52.19124,-2.222462
