"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
5955,"WS54PR","E01010337","9E89103E-4207-2C71-E053-A03BA40A7146","Public Park Or Garden",97603.6618500083,206.1965,8,331266,55.7307692307692,"Less than or equal to 300m",106.252970230769,61209.3099807688,6.73076923076923,294455.576923077,3631.16174636175,"WS5 4PR","WS5","4PR","WS54PR"
5956,"WS54QB","E01010335","9E891043-D190-2C71-E053-A03BA40A7146","Public Park Or Garden",33872.4522499932,122.80065,8,388793,74.7826086956522,"Less than or equal to 300m",201.888786130435,33614.1733021734,8.26086956521739,376559.913043478,2691.9610955437,"WS5 4QB","WS5","4QB","WS54QB"
15565,"WS53PG","E01010328","9E8911C1-0C8D-2C71-E053-A03BA40A7146","Public Park Or Garden",641209.453249996,447.55783,4,725088,62.75,"300-600m",240.597206166667,514763.013887497,3.95833333333333,723294.25,8265.84484765628,"WS5 3PG","WS5","3PG","WS53PG"
19440,"WS54NW","E01010338","9E891071-DE1E-2C71-E053-A03BA40A7146","Playing Field",33212.4060500093,24.351591,9,363978,83.0869565217391,"Less than or equal to 300m",180.788075391304,29759.5196913086,8.26086956521739,336041.347826087,1928.14975845411,"WS5 4NW","WS5","4NW","WS54NW"
22700,"WS53DT","E01010329","9E8911C1-0C8D-2C71-E053-A03BA40A7146","Public Park Or Garden",641209.453249996,300.04166,3,705252,41.3684210526316,"300-600m",475.192523184211,543417.782386838,2.84210526315789,784419.210526316,8265.84484765628,"WS5 3DT","WS5","3DT","WS53DT"
22701,"WS54ND","E01010339","9E891071-DE1E-2C71-E053-A03BA40A7146","Playing Field",33212.4060500093,227.20035,9,379879,91.8888888888889,"Less than or equal to 300m",121.4872125,57256.429533338,8.44444444444444,348254.055555556,1928.14975845411,"WS5 4ND","WS5","4ND","WS54ND"
30288,"WS54RZ","E01009973","9E89103A-05FD-2C71-E053-A03BA40A7146","Playing Field",7967.93189999874,308.35855,4,188005,64.4324324324324,"300-600m",311.224927297297,50869.2250756763,5.05405405405405,220512.513513514,2965.04932432432,"WS5 4RZ","WS5","4RZ","WS54RZ"
32169,"WS53EP","E01010331","9E8911BC-3249-2C71-E053-A03BA40A7146","Public Park Or Garden",20797.0662499956,393.44885,2,662006,57.6785714285714,"300-600m",238.02618775,20797.0662499956,2.67857142857143,691351.5,5822.0966507177,"WS5 3EP","WS5","3EP","WS53EP"
36546,"WS54RE","E01009973","9E891043-D190-2C71-E053-A03BA40A7146","Public Park Or Garden",33872.4522499932,361.6974,5,205183,64.4324324324324,"300-600m",311.224927297297,50869.2250756763,5.05405405405405,220512.513513514,2691.9610955437,"WS5 4RE","WS5","4RE","WS54RE"
37659,"WS53NG","E01010332","9E8911BC-3249-2C71-E053-A03BA40A7146","Public Park Or Garden",20797.0662499956,574.04266,2,69358,58.969696969697,"300-600m",484.529406060606,64661.5763863596,5.09090909090909,569206.303030303,5822.0966507177,"WS5 3NG","WS5","3NG","WS53NG"
38650,"WS53LF","E01010334","9E8911BC-3249-2C71-E053-A03BA40A7146","Public Park Or Garden",20797.0662499956,804.8385,1,20797,51.5666666666667,"600-900m",595.102951666667,22499.6102249958,1.4,58754,5822.0966507177,"WS5 3LF","WS5","3LF","WS53LF"
40329,"WS53DR","E01010331","9E8911BC-3249-2C71-E053-A03BA40A7146","Public Park Or Garden",20797.0662499956,277.2454,3,705252,57.6785714285714,"Less than or equal to 300m",238.02618775,20797.0662499956,2.67857142857143,691351.5,5822.0966507177,"WS5 3DR","WS5","3DR","WS53DR"
40330,"WS53PW","E01010328","9E8911C1-0C8D-2C71-E053-A03BA40A7146","Public Park Or Garden",641209.453249996,269.25824,4,725088,62.75,"Less than or equal to 300m",240.597206166667,514763.013887497,3.95833333333333,723294.25,8265.84484765628,"WS5 3PW","WS5","3PW","WS53PW"
52199,"WS54LX","E01010338","9E891071-DE1E-2C71-E053-A03BA40A7146","Playing Field",33212.4060500093,164.53874,9,379879,83.0869565217391,"Less than or equal to 300m",180.788075391304,29759.5196913086,8.26086956521739,336041.347826087,1928.14975845411,"WS5 4LX","WS5","4LX","WS54LX"
57272,"WS53AQ","E01010328","9E8911C1-0C8D-2C71-E053-A03BA40A7146","Public Park Or Garden",641209.453249996,158.2182,5,728023,62.75,"Less than or equal to 300m",240.597206166667,514763.013887497,3.95833333333333,723294.25,8265.84484765628,"WS5 3AQ","WS5","3AQ","WS53AQ"
57273,"WS53AS","E01010329","9E8911C1-0C8D-2C71-E053-A03BA40A7146","Public Park Or Garden",641209.453249996,380.62186,4,1039451,41.3684210526316,"300-600m",475.192523184211,543417.782386838,2.84210526315789,784419.210526316,8265.84484765628,"WS5 3AS","WS5","3AS","WS53AS"
61657,"WS53BT","E01010329","9E8911C1-0C8D-2C71-E053-A03BA40A7146","Public Park Or Garden",641209.453249996,715.9567,3,996205,41.3684210526316,"600-900m",475.192523184211,543417.782386838,2.84210526315789,784419.210526316,8265.84484765628,"WS5 3BT","WS5","3BT","WS53BT"
61658,"WS54JL","E01009970","9E891047-5E5B-2C71-E053-A03BA40A7146","Playing Field",48561.6932499962,140.24622,7,295087,53.28125,"Less than or equal to 300m",154.30176253125,84602.6276109438,5.75,250121,2282.07228049728,"WS5 4JL","WS5","4JL","WS54JL"
65414,"WS54SR","E01009973","9E891043-D190-2C71-E053-A03BA40A7146","Public Park Or Garden",33872.4522499932,189.2353,7,293310,64.4324324324324,"Less than or equal to 300m",311.224927297297,50869.2250756763,5.05405405405405,220512.513513514,2691.9610955437,"WS5 4SR","WS5","4SR","WS54SR"
68698,"WS54EZ","E01009973","9E89103E-4207-2C71-E053-A03BA40A7146","Public Park Or Garden",97603.6618500083,141.15594,7,293310,64.4324324324324,"Less than or equal to 300m",311.224927297297,50869.2250756763,5.05405405405405,220512.513513514,3631.16174636175,"WS5 4EZ","WS5","4EZ","WS54EZ"
73930,"WS53EU","E01010331","9E8911BC-3249-2C71-E053-A03BA40A7146","Public Park Or Garden",20797.0662499956,307.4557,2,662006,57.6785714285714,"300-600m",238.02618775,20797.0662499956,2.67857142857143,691351.5,5822.0966507177,"WS5 3EU","WS5","3EU","WS53EU"
76124,"WS54HN","E01009973","9E89103E-4207-2C71-E053-A03BA40A7146","Public Park Or Garden",97603.6618500083,272.5234,5,223919,64.4324324324324,"Less than or equal to 300m",311.224927297297,50869.2250756763,5.05405405405405,220512.513513514,3631.16174636175,"WS5 4HN","WS5","4HN","WS54HN"
79680,"WS53NT","E01010333","9E8911BC-3249-2C71-E053-A03BA40A7146","Public Park Or Garden",20797.0662499956,461.93723,2,69358,50.75,"300-600m",275.967708125,24267.6446249957,2.21875,322188.1875,5822.0966507177,"WS5 3NT","WS5","3NT","WS53NT"
98472,"WS54JW","E01009970","9E89103E-4207-2C71-E053-A03BA40A7146","Public Park Or Garden",97603.6618500083,221.77692,7,295087,53.28125,"Less than or equal to 300m",154.30176253125,84602.6276109438,5.75,250121,3631.16174636175,"WS5 4JW","WS5","4JW","WS54JW"
103729,"WS53ER","E01010331","9E8911BC-3249-2C71-E053-A03BA40A7146","Public Park Or Garden",20797.0662499956,271.2803,3,705252,57.6785714285714,"Less than or equal to 300m",238.02618775,20797.0662499956,2.67857142857143,691351.5,5822.0966507177,"WS5 3ER","WS5","3ER","WS53ER"
112014,"WS53NY","E01010332","9E891047-5E5B-2C71-E053-A03BA40A7146","Playing Field",48561.6932499962,515.1398,7,268096,58.969696969697,"300-600m",484.529406060606,64661.5763863596,5.09090909090909,569206.303030303,2282.07228049728,"WS5 3NY","WS5","3NY","WS53NY"
118236,"WS54RJ","E01009973","9E89103E-4207-2C71-E053-A03BA40A7146","Public Park Or Garden",97603.6618500083,414.8373,5,217567,64.4324324324324,"300-600m",311.224927297297,50869.2250756763,5.05405405405405,220512.513513514,3631.16174636175,"WS5 4RJ","WS5","4RJ","WS54RJ"
124630,"WS53PR","E01010332","9E8911BC-3249-2C71-E053-A03BA40A7146","Public Park Or Garden",20797.0662499956,332.28,3,705252,58.969696969697,"300-600m",484.529406060606,64661.5763863596,5.09090909090909,569206.303030303,5822.0966507177,"WS5 3PR","WS5","3PR","WS53PR"
124631,"WS54HF","E01009973","9E89103E-4207-2C71-E053-A03BA40A7146","Public Park Or Garden",97603.6618500083,184.53185,6,257131,64.4324324324324,"Less than or equal to 300m",311.224927297297,50869.2250756763,5.05405405405405,220512.513513514,3631.16174636175,"WS5 4HF","WS5","4HF","WS54HF"
