"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"WS66HB",-2.014516,52.64993,704.4465,3551.44,"81B332FA-93EF-33F1-E053-A03BA40A2BEA","77C2EDAD-3ED3-41D1-8AFF-D2CE0349BB7F","WS6","6HB",52.65583,-2.010689
"WS66HD",-2.014414,52.65221,474.5605,3551.44,"81B332FA-93EF-33F1-E053-A03BA40A2BEA","77C2EDAD-3ED3-41D1-8AFF-D2CE0349BB7F","WS6","6HD",52.65583,-2.010689
"WS66HE",-2.017045,52.65198,605.5243,3551.44,"81B332FA-93EF-33F1-E053-A03BA40A2BEA","77C2EDAD-3ED3-41D1-8AFF-D2CE0349BB7F","WS6","6HE",52.65583,-2.010689
"WS66HF",-2.016772,52.65077,696.4231,3551.44,"81B332FA-93EF-33F1-E053-A03BA40A2BEA","77C2EDAD-3ED3-41D1-8AFF-D2CE0349BB7F","WS6","6HF",52.65583,-2.010689
"WS66HG",-2.01499,52.65164,548.524,3551.44,"81B332FA-93EF-33F1-E053-A03BA40A2BEA","77C2EDAD-3ED3-41D1-8AFF-D2CE0349BB7F","WS6","6HG",52.65583,-2.010689
"WS66HH",-2.016364,52.65017,736.7861,3551.44,"81B332FA-93EF-33F1-E053-A03BA40A2BEA","77C2EDAD-3ED3-41D1-8AFF-D2CE0349BB7F","WS6","6HH",52.65583,-2.010689
"WS66HJ",-2.017813,52.65142,686.6964,3551.44,"81B332FA-93EF-33F1-E053-A03BA40A2BEA","77C2EDAD-3ED3-41D1-8AFF-D2CE0349BB7F","WS6","6HJ",52.65583,-2.010689
"WS66HN",-2.015346,52.65416,364.8807,3551.44,"81B332FA-93EF-33F1-E053-A03BA40A2BEA","77C2EDAD-3ED3-41D1-8AFF-D2CE0349BB7F","WS6","6HN",52.65583,-2.010689
"WS66HP",-2.012522,52.65418,221.3837,3551.44,"81B332FA-93EF-33F1-E053-A03BA40A2BEA","77C2EDAD-3ED3-41D1-8AFF-D2CE0349BB7F","WS6","6HP",52.65583,-2.010689
"WS66HQ",-2.015433,52.65107,618.6499,3551.44,"81B332FA-93EF-33F1-E053-A03BA40A2BEA","77C2EDAD-3ED3-41D1-8AFF-D2CE0349BB7F","WS6","6HQ",52.65583,-2.010689
"WS66HR",-2.013217,52.65437,234.9449,3551.44,"81B332FA-93EF-33F1-E053-A03BA40A2BEA","77C2EDAD-3ED3-41D1-8AFF-D2CE0349BB7F","WS6","6HR",52.65583,-2.010689
"WS66HS",-2.013261,52.65443,233.0561,3551.44,"81B332FA-93EF-33F1-E053-A03BA40A2BEA","77C2EDAD-3ED3-41D1-8AFF-D2CE0349BB7F","WS6","6HS",52.65583,-2.010689
"WS66HU",-2.015213,52.65591,305.2898,3551.44,"81B332FA-93EF-33F1-E053-A03BA40A2BEA","77C2EDAD-3ED3-41D1-8AFF-D2CE0349BB7F","WS6","6HU",52.65583,-2.010689
"WS66HW",-2.014134,52.65463,267.5447,3551.44,"81B332FA-93EF-33F1-E053-A03BA40A2BEA","77C2EDAD-3ED3-41D1-8AFF-D2CE0349BB7F","WS6","6HW",52.65583,-2.010689
"WS66HX",-2.010527,52.65418,183.854,3551.44,"81B332FA-93EF-33F1-E053-A03BA40A2BEA","77C2EDAD-3ED3-41D1-8AFF-D2CE0349BB7F","WS6","6HX",52.65583,-2.010689
"WS66HY",-2.011384,52.65255,367.5563,3551.44,"81B332FA-93EF-33F1-E053-A03BA40A2BEA","77C2EDAD-3ED3-41D1-8AFF-D2CE0349BB7F","WS6","6HY",52.65583,-2.010689
