"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"WV21AA",-2.124648,52.58169,555.5089,3320.87,"81B33480-F7F5-33F1-E053-A03BA40A2BEA","1D1C0B70-F66C-4498-8684-87D6514DAA28","WV2","1AA",52.58638,-2.127476
"WV21AB",-2.123922,52.58065,681.2049,3320.87,"81B33480-F7F5-33F1-E053-A03BA40A2BEA","1D1C0B70-F66C-4498-8684-87D6514DAA28","WV2","1AB",52.58638,-2.127476
"WV21AD",-2.125131,52.5802,705.646,3320.87,"81B33480-F7F5-33F1-E053-A03BA40A2BEA","1D1C0B70-F66C-4498-8684-87D6514DAA28","WV2","1AD",52.58638,-2.127476
"WV21AE",-2.125398,52.58064,652.9747,3320.87,"81B33480-F7F5-33F1-E053-A03BA40A2BEA","1D1C0B70-F66C-4498-8684-87D6514DAA28","WV2","1AE",52.58638,-2.127476
"WV21AF",-2.121975,52.58084,719.6468,3320.87,"81B33480-F7F5-33F1-E053-A03BA40A2BEA","1D1C0B70-F66C-4498-8684-87D6514DAA28","WV2","1AF",52.58638,-2.127476
"WV21AG",-2.124909,52.57988,743.0685,3320.87,"81B33480-F7F5-33F1-E053-A03BA40A2BEA","1D1C0B70-F66C-4498-8684-87D6514DAA28","WV2","1AG",52.58638,-2.127476
"WV21AH",-2.123925,52.58155,588.6292,3320.87,"81B33480-F7F5-33F1-E053-A03BA40A2BEA","1D1C0B70-F66C-4498-8684-87D6514DAA28","WV2","1AH",52.58638,-2.127476
"WV21AJ",-2.123034,52.57971,799.7829,3320.87,"81B33480-F7F5-33F1-E053-A03BA40A2BEA","1D1C0B70-F66C-4498-8684-87D6514DAA28","WV2","1AJ",52.58638,-2.127476
"WV21AL",-2.123047,52.57908,864.8122,3320.87,"81B33480-F7F5-33F1-E053-A03BA40A2BEA","1D1C0B70-F66C-4498-8684-87D6514DAA28","WV2","1AL",52.58638,-2.127476
"WV21AN",-2.123915,52.57795,899.8859,72983.98,"81B33355-86C9-33F1-E053-A03BA40A2BEA","946135FD-A16D-4352-9359-A501941F39E4","WV2","1AN",52.5699,-2.122515
"WV21AP",-2.122623,52.58046,735.5145,3320.87,"81B33480-F7F5-33F1-E053-A03BA40A2BEA","1D1C0B70-F66C-4498-8684-87D6514DAA28","WV2","1AP",52.58638,-2.127476
"WV21AQ",-2.123234,52.57966,799.7915,3320.87,"81B33480-F7F5-33F1-E053-A03BA40A2BEA","1D1C0B70-F66C-4498-8684-87D6514DAA28","WV2","1AQ",52.58638,-2.127476
"WV21AR",-2.122446,52.58065,722.3123,3320.87,"81B33480-F7F5-33F1-E053-A03BA40A2BEA","1D1C0B70-F66C-4498-8684-87D6514DAA28","WV2","1AR",52.58638,-2.127476
"WV21AS",-2.123109,52.58028,739.7857,3320.87,"81B33480-F7F5-33F1-E053-A03BA40A2BEA","1D1C0B70-F66C-4498-8684-87D6514DAA28","WV2","1AS",52.58638,-2.127476
"WV21AT",-2.122075,52.57986,811.8481,3320.87,"81B33480-F7F5-33F1-E053-A03BA40A2BEA","1D1C0B70-F66C-4498-8684-87D6514DAA28","WV2","1AT",52.58638,-2.127476
"WV21AU",-2.123138,52.57994,774.0636,3320.87,"81B33480-F7F5-33F1-E053-A03BA40A2BEA","1D1C0B70-F66C-4498-8684-87D6514DAA28","WV2","1AU",52.58638,-2.127476
"WV21AW",-2.122678,52.57886,896.9299,3320.87,"81B33480-F7F5-33F1-E053-A03BA40A2BEA","1D1C0B70-F66C-4498-8684-87D6514DAA28","WV2","1AW",52.58638,-2.127476
"WV21AX",-2.114955,52.58847,848.792,3320.87,"81B33480-F7F5-33F1-E053-A03BA40A2BEA","656DA027-925A-4D27-86E9-0A1DEAA592FB","WV2","1AX",52.5866,-2.127136
"WV21AY",-2.123,52.58338,445.709,3320.87,"81B33480-F7F5-33F1-E053-A03BA40A2BEA","298191C1-EDA4-4DFA-82FB-86C63257E5CD","WV2","1AY",52.58652,-2.127112
"WV21AZ",-2.123833,52.58288,460.1999,3320.87,"81B33480-F7F5-33F1-E053-A03BA40A2BEA","1D1C0B70-F66C-4498-8684-87D6514DAA28","WV2","1AZ",52.58638,-2.127476
"WV21BA",-2.124665,52.58254,467.0161,3320.87,"81B33480-F7F5-33F1-E053-A03BA40A2BEA","1D1C0B70-F66C-4498-8684-87D6514DAA28","WV2","1BA",52.58638,-2.127476
"WV21BB",-2.123872,52.58363,388.3157,3320.87,"81B33480-F7F5-33F1-E053-A03BA40A2BEA","298191C1-EDA4-4DFA-82FB-86C63257E5CD","WV2","1BB",52.58652,-2.127112
"WV21BD",-2.124222,52.58215,519.4007,3320.87,"81B33480-F7F5-33F1-E053-A03BA40A2BEA","1D1C0B70-F66C-4498-8684-87D6514DAA28","WV2","1BD",52.58638,-2.127476
"WV21BE",-2.124429,52.58238,490.0107,3320.87,"81B33480-F7F5-33F1-E053-A03BA40A2BEA","1D1C0B70-F66C-4498-8684-87D6514DAA28","WV2","1BE",52.58638,-2.127476
"WV21BG",-2.122081,52.5819,615.7554,3320.87,"81B33480-F7F5-33F1-E053-A03BA40A2BEA","298191C1-EDA4-4DFA-82FB-86C63257E5CD","WV2","1BG",52.58652,-2.127112
"WV21BH",-2.121277,52.58159,674.7241,3320.87,"81B33480-F7F5-33F1-E053-A03BA40A2BEA","298191C1-EDA4-4DFA-82FB-86C63257E5CD","WV2","1BH",52.58652,-2.127112
"WV21BJ",-2.123925,52.58155,588.6292,3320.87,"81B33480-F7F5-33F1-E053-A03BA40A2BEA","1D1C0B70-F66C-4498-8684-87D6514DAA28","WV2","1BJ",52.58638,-2.127476
"WV21BL",-2.122374,52.58116,674.9837,3320.87,"81B33480-F7F5-33F1-E053-A03BA40A2BEA","1D1C0B70-F66C-4498-8684-87D6514DAA28","WV2","1BL",52.58638,-2.127476
"WV21BP",-2.120784,52.58238,628.2081,3320.87,"81B33480-F7F5-33F1-E053-A03BA40A2BEA","298191C1-EDA4-4DFA-82FB-86C63257E5CD","WV2","1BP",52.58652,-2.127112
"WV21BQ",-2.122449,52.58155,635.7358,3320.87,"81B33480-F7F5-33F1-E053-A03BA40A2BEA","1D1C0B70-F66C-4498-8684-87D6514DAA28","WV2","1BQ",52.58638,-2.127476
