"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
11146,"WV30UF","E01010464","9E891090-9BA6-2C71-E053-A03BA40A7146","Public Park Or Garden",188628.288199996,212.46176,6,388502,29.1228070175439,"Less than or equal to 300m",214.760787438597,53715.0988228064,6.29824561403509,361409.894736842,10277.856941564,"WV3 0UF","WV3","0UF","WV30UF"
11147,"WV37EA","E01010468","9E891097-FEA0-2C71-E053-A03BA40A7146","Playing Field",26647.3055000013,199.68475,4,326544,55.3333333333333,"Less than or equal to 300m",219.145407407407,112163.760285189,4.59259259259259,298152.074074074,4147.78530377668,"WV3 7EA","WV3","7EA","WV37EA"
15588,"WV30SP","E01010521","9E891098-1995-2C71-E053-A03BA40A7146","Public Park Or Garden",11948.9678000017,490.0663,6,240697,15.9021276595745,"300-600m",328.104742570213,41800.1263521299,4.12340425531915,305156.365957447,4504.55737390031,"WV3 0SP","WV3","0SP","WV30SP"
15589,"WV30TY","E01010508","9E891090-9BA6-2C71-E053-A03BA40A7146","Public Park Or Garden",188628.288199996,153.07515,6,388502,34.3555555555556,"Less than or equal to 300m",141.581384466667,188628.288199996,4.66666666666667,304556.377777778,10277.856941564,"WV3 0TY","WV3","0TY","WV30TY"
15590,"WV37EE","E01010469","9E891097-FEA0-2C71-E053-A03BA40A7146","Playing Field",26647.3055000013,75.96052,3,304910,59.75,"Less than or equal to 300m",143.44732575,44685.9326812519,3.95833333333333,328983.416666667,4147.78530377668,"WV3 7EE","WV3","7EE","WV37EE"
15591,"WV39NG","E01010506","9E891090-9BA6-2C71-E053-A03BA40A7146","Public Park Or Garden",188628.288199996,243.34749,5,385181,47.7567567567568,"Less than or equal to 300m",382.33538054054,117300.444564862,4.75675675675676,386229.72972973,10277.856941564,"WV3 9NG","WV3","9NG","WV39NG"
22713,"WV30QU","E01010464","9E891098-1995-2C71-E053-A03BA40A7146","Public Park Or Garden",11948.9678000017,280.06427,7,411654,29.1228070175439,"Less than or equal to 300m",214.760787438597,53715.0988228064,6.29824561403509,361409.894736842,4504.55737390031,"WV3 0QU","WV3","0QU","WV30QU"
22714,"WV38LZ","E01010552","9E891090-9B76-2C71-E053-A03BA40A7146","Playing Field",21804.9761999991,230.09781,4,126437,47.5384615384615,"Less than or equal to 300m",307.569126051282,21707.9186846145,3.51282051282051,77502.1538461538,2715.83457898209,"WV3 8LZ","WV3","8LZ","WV38LZ"
22715,"WV39ED","E01010507","9E891090-9BA0-2C71-E053-A03BA40A7146","Playing Field",9541.58825000045,402.08084,3,212858,31.3863636363636,"300-600m",376.7002925,82911.9222045486,2.52272727272727,197412.977272727,3419.27407864394,"WV3 9ED","WV3","9ED","WV39ED"
25535,"WV39AB","E01010507","9E891090-9BA0-2C71-E053-A03BA40A7146","Playing Field",9541.58825000045,581.7388,2,180497,31.3863636363636,"300-600m",376.7002925,82911.9222045486,2.52272727272727,197412.977272727,3419.27407864394,"WV3 9AB","WV3","9AB","WV39AB"
25536,"WV39LL","E01010505","9E891097-F605-2C71-E053-A03BA40A7146","Public Park Or Garden",170956.322950006,216.53638,2,183499,43.2666666666667,"Less than or equal to 300m",256.140490466667,144554.142225005,3.5,254342.866666667,7056.4784503238,"WV3 9LL","WV3","9LL","WV39LL"
30306,"WV30ET","E01010463","9E891098-1995-2C71-E053-A03BA40A7146","Public Park Or Garden",11948.9678000017,233.4652,5,70382,44.0487804878049,"Less than or equal to 300m",199.032305121951,13574.1731731719,6.21951219512195,257898.292682927,4504.55737390031,"WV3 0ET","WV3","0ET","WV30ET"
30307,"WV39RX","E01010464","9E891090-9BA6-2C71-E053-A03BA40A7146","Public Park Or Garden",188628.288199996,314.22922,5,385181,29.1228070175439,"300-600m",214.760787438597,53715.0988228064,6.29824561403509,361409.894736842,10277.856941564,"WV3 9RX","WV3","9RX","WV39RX"
33812,"WV37LY","E01010518","9E891097-FEA0-2C71-E053-A03BA40A7146","Playing Field",26647.3055000013,311.19125,3,304910,57.0714285714286,"300-600m",370.930027142857,67060.8512767888,2.82142857142857,160274.892857143,4147.78530377668,"WV3 7LY","WV3","7LY","WV37LY"
35261,"WV30PH","E01010464","9E891098-1995-2C71-E053-A03BA40A7146","Public Park Or Garden",11948.9678000017,125.17188,8,433287,29.1228070175439,"Less than or equal to 300m",214.760787438597,53715.0988228064,6.29824561403509,361409.894736842,4504.55737390031,"WV3 0PH","WV3","0PH","WV30PH"
35262,"WV30ST","E01010464","9E891090-9BA6-2C71-E053-A03BA40A7146","Public Park Or Garden",188628.288199996,319.86246,6,240697,29.1228070175439,"300-600m",214.760787438597,53715.0988228064,6.29824561403509,361409.894736842,10277.856941564,"WV3 0ST","WV3","0ST","WV30ST"
40334,"WV38JZ","E01010552","9E891090-9B76-2C71-E053-A03BA40A7146","Playing Field",21804.9761999991,153.70752,3,62699,47.5384615384615,"Less than or equal to 300m",307.569126051282,21707.9186846145,3.51282051282051,77502.1538461538,2715.83457898209,"WV3 8JZ","WV3","8JZ","WV38JZ"
43215,"WV38AF","E01010493","9E891097-F605-2C71-E053-A03BA40A7146","Public Park Or Garden",170956.322950006,232.81967,2,197603,61.6923076923077,"Less than or equal to 300m",250.553936807692,170956.322950006,3.03846153846154,254772.846153846,7056.4784503238,"WV3 8AF","WV3","8AF","WV38AF"
52228,"WV37AP","E01010468","9E891097-F605-2C71-E053-A03BA40A7146","Public Park Or Garden",170956.322950006,103.40696,6,330507,55.3333333333333,"Less than or equal to 300m",219.145407407407,112163.760285189,4.59259259259259,298152.074074074,7056.4784503238,"WV3 7AP","WV3","7AP","WV37AP"
52229,"WV38JS","E01010552","9E8911C1-19B1-2C71-E053-A03BA40A7146","Playing Field",18019.7330999976,205.23401,3,62699,47.5384615384615,"Less than or equal to 300m",307.569126051282,21707.9186846145,3.51282051282051,77502.1538461538,328.219583987441,"WV3 8JS","WV3","8JS","WV38JS"
57303,"WV30BY","E01010470","9E891098-1995-2C71-E053-A03BA40A7146","Public Park Or Garden",11948.9678000017,137.17871,7,429966,39.3714285714286,"Less than or equal to 300m",126.9062358,37051.3678485716,5.57142857142857,379451.6,4504.55737390031,"WV3 0BY","WV3","0BY","WV30BY"
57304,"WV30RP","E01010466","9E8911BC-F0AE-2C71-E053-A03BA40A7146","Playing Field",12543.2385999986,314.9492,6,244834,71.25,"300-600m",319.024835416667,12805.5458833346,6.41666666666667,266230.666666667,2181.4199078778,"WV3 0RP","WV3","0RP","WV30RP"
61675,"WV30BS","E01010470","9E89103A-47D0-2C71-E053-A03BA40A7146","Public Park Or Garden",1105.05849999904,134.18271,7,429966,39.3714285714286,"Less than or equal to 300m",126.9062358,37051.3678485716,5.57142857142857,379451.6,621.125472217128,"WV3 0BS","WV3","0BS","WV30BS"
61676,"WV30PZ","E01010470","9E8911BC-F0AE-2C71-E053-A03BA40A7146","Playing Field",12543.2385999986,72.835434,5,385181,39.3714285714286,"Less than or equal to 300m",126.9062358,37051.3678485716,5.57142857142857,379451.6,2181.4199078778,"WV3 0PZ","WV3","0PZ","WV30PZ"
61677,"WV39RF","E01010505","9E8911BC-F0AE-2C71-E053-A03BA40A7146","Playing Field",12543.2385999986,268.7843,5,385181,43.2666666666667,"Less than or equal to 300m",256.140490466667,144554.142225005,3.5,254342.866666667,2181.4199078778,"WV3 9RF","WV3","9RF","WV39RF"
71522,"WV30LA","E01010464","9E891098-1995-2C71-E053-A03BA40A7146","Public Park Or Garden",11948.9678000017,28.284271,7,429966,29.1228070175439,"Less than or equal to 300m",214.760787438597,53715.0988228064,6.29824561403509,361409.894736842,4504.55737390031,"WV3 0LA","WV3","0LA","WV30LA"
71523,"WV37HB","E01010469","9E891097-FEA0-2C71-E053-A03BA40A7146","Playing Field",26647.3055000013,64.070274,5,350985,59.75,"Less than or equal to 300m",143.44732575,44685.9326812519,3.95833333333333,328983.416666667,4147.78530377668,"WV3 7HB","WV3","7HB","WV37HB"
73950,"WV39JS","E01010504","9E8911C1-DDD8-2C71-E053-A03BA40A7146","Playing Field",32360.7333499954,571.2661,4,404488,41.7567567567568,"300-600m",437.242780918919,76693.9206499991,2.78378378378378,224254.486486486,2111.57192996371,"WV3 9JS","WV3","9JS","WV39JS"
73951,"WV39QZ","E01010506","9E8911BC-F0AE-2C71-E053-A03BA40A7146","Playing Field",12543.2385999986,404.37234,5,385181,47.7567567567568,"300-600m",382.33538054054,117300.444564862,4.75675675675676,386229.72972973,2181.4199078778,"WV3 9QZ","WV3","9QZ","WV39QZ"
76137,"WV37DP","E01010467","9E891097-FEA0-2C71-E053-A03BA40A7146","Playing Field",26647.3055000013,533.98505,4,326544,60.4137931034483,"300-600m",465.92972862069,24054.0271379314,4.44827586206896,246238.689655172,4147.78530377668,"WV3 7DP","WV3","7DP","WV37DP"
76138,"WV38JT","E01029672","9E8911C1-19B1-2C71-E053-A03BA40A7146","Playing Field",18019.7330999976,78.714676,3,62699,31.6428571428571,"Less than or equal to 300m",453.761850058823,14653.2770249997,1.85294117647059,36909.2352941177,328.219583987441,"WV3 8JT","WV3","8JT","WV38JT"
78059,"WV37JY","E01010488","9E891097-F605-2C71-E053-A03BA40A7146","Public Park Or Garden",170956.322950006,402.08707,4,342546,49.1034482758621,"300-600m",262.184274482759,61938.0203051757,4.75862068965517,322970.896551724,7056.4784503238,"WV3 7JY","WV3","7JY","WV37JY"
79692,"WV30QS","E01010464","9E89103A-47D0-2C71-E053-A03BA40A7146","Public Park Or Garden",1105.05849999904,323.30325,6,388502,29.1228070175439,"300-600m",214.760787438597,53715.0988228064,6.29824561403509,361409.894736842,621.125472217128,"WV3 0QS","WV3","0QS","WV30QS"
79693,"WV39QW","E01010506","9E8911BC-F0AE-2C71-E053-A03BA40A7146","Playing Field",12543.2385999986,179.04749,5,385181,47.7567567567568,"Less than or equal to 300m",382.33538054054,117300.444564862,4.75675675675676,386229.72972973,2181.4199078778,"WV3 9QW","WV3","9QW","WV39QW"
81156,"WV30AZ","E01010466","9E891036-7B78-2C71-E053-A03BA40A7146","Playing Field",21633.6339999996,580.9862,7,267985,71.25,"300-600m",319.024835416667,12805.5458833346,6.41666666666667,266230.666666667,5633.67009963784,"WV3 0AZ","WV3","0AZ","WV30AZ"
81157,"WV30HR","E01010466","9E891098-1995-2C71-E053-A03BA40A7146","Public Park Or Garden",11948.9678000017,259.45328,6,241338,71.25,"Less than or equal to 300m",319.024835416667,12805.5458833346,6.41666666666667,266230.666666667,4504.55737390031,"WV3 0HR","WV3","0HR","WV30HR"
82447,"WV39EG","E01010507","9E891090-9BA0-2C71-E053-A03BA40A7146","Playing Field",9541.58825000045,514.23047,2,180497,31.3863636363636,"300-600m",376.7002925,82911.9222045486,2.52272727272727,197412.977272727,3419.27407864394,"WV3 9EG","WV3","9EG","WV39EG"
