"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"YO124AA",-0.417567,54.27602,255.4823,75957.78,"81B33342-5BFA-33F1-E053-A03BA40A2BEA","C73E8805-0AC7-4F64-A8A2-FC42E3C22FF9","YO12","4AA",54.27457,-0.4206186
"YO124AB",-0.416386,54.27559,276.577,75957.78,"81B33342-5BFA-33F1-E053-A03BA40A2BEA","C465F9E5-664A-4A5D-825A-5B2995DFC3DE","YO12","4AB",54.27369,-0.4191409
"YO124AD",-0.418251,54.2742,80.97088,75957.78,"81B33342-5BFA-33F1-E053-A03BA40A2BEA","C465F9E5-664A-4A5D-825A-5B2995DFC3DE","YO12","4AD",54.27369,-0.4191409
"YO124AE",-0.417769,54.27396,88.23947,75957.78,"81B33342-5BFA-33F1-E053-A03BA40A2BEA","AB1675BD-78CB-450F-B692-5AE614EC63D8","YO12","4AE",54.27326,-0.4183983
"YO124AF",-0.419727,54.27458,57.90789,75957.78,"81B33342-5BFA-33F1-E053-A03BA40A2BEA","C73E8805-0AC7-4F64-A8A2-FC42E3C22FF9","YO12","4AF",54.27457,-0.4206186
"YO124AG",-0.421566,54.27507,83.25721,75957.78,"81B33342-5BFA-33F1-E053-A03BA40A2BEA","C73E8805-0AC7-4F64-A8A2-FC42E3C22FF9","YO12","4AG",54.27457,-0.4206186
"YO124AH",-0.419248,54.27585,168.1963,75957.78,"81B33342-5BFA-33F1-E053-A03BA40A2BEA","C73E8805-0AC7-4F64-A8A2-FC42E3C22FF9","YO12","4AH",54.27457,-0.4206186
"YO124AJ",-0.41878,54.27603,201.2916,75957.78,"81B33342-5BFA-33F1-E053-A03BA40A2BEA","C73E8805-0AC7-4F64-A8A2-FC42E3C22FF9","YO12","4AJ",54.27457,-0.4206186
"YO124AL",-0.418851,54.27578,177.3148,75957.78,"81B33342-5BFA-33F1-E053-A03BA40A2BEA","C73E8805-0AC7-4F64-A8A2-FC42E3C22FF9","YO12","4AL",54.27457,-0.4206186
"YO124AN",-0.418944,54.27537,140.7315,75957.78,"81B33342-5BFA-33F1-E053-A03BA40A2BEA","C73E8805-0AC7-4F64-A8A2-FC42E3C22FF9","YO12","4AN",54.27457,-0.4206186
"YO124AP",-0.418447,54.2747,120.7143,75957.78,"81B33342-5BFA-33F1-E053-A03BA40A2BEA","C465F9E5-664A-4A5D-825A-5B2995DFC3DE","YO12","4AP",54.27369,-0.4191409
"YO124AQ",-0.420404,54.27574,131.1279,75957.78,"81B33342-5BFA-33F1-E053-A03BA40A2BEA","C73E8805-0AC7-4F64-A8A2-FC42E3C22FF9","YO12","4AQ",54.27457,-0.4206186
"YO124AR",-0.418546,54.27493,140.6046,75957.78,"81B33342-5BFA-33F1-E053-A03BA40A2BEA","C73E8805-0AC7-4F64-A8A2-FC42E3C22FF9","YO12","4AR",54.27457,-0.4206186
"YO124AS",-0.414851,54.27476,284.4581,75957.78,"81B33342-5BFA-33F1-E053-A03BA40A2BEA","AB1675BD-78CB-450F-B692-5AE614EC63D8","YO12","4AS",54.27326,-0.4183983
"YO124AT",-0.414325,54.27485,318.3308,75957.78,"81B33342-5BFA-33F1-E053-A03BA40A2BEA","AB1675BD-78CB-450F-B692-5AE614EC63D8","YO12","4AT",54.27326,-0.4183983
"YO124AU",-0.418908,54.26229,731.7296,12004.42,"81B332FA-4F28-33F1-E053-A03BA40A2BEA","4D1A57C0-0BF3-4BAE-BCC4-1799D9E977B6","YO12","4AU",54.26887,-0.4186543
"YO124AW",-0.418844,54.27516,132.8949,75957.78,"81B33342-5BFA-33F1-E053-A03BA40A2BEA","C73E8805-0AC7-4F64-A8A2-FC42E3C22FF9","YO12","4AW",54.27457,-0.4206186
